 frequency       v(finalp,finaln) v(finalp,finaln) v(v1p,v1n)      v(v1p,v1n)      v(vga1p,vga1n)  v(vga1p,vga1n)  v(v2p,v2n)      v(v2p,v2n)      v(vga2p,vga2n)  v(vga2p,vga2n)  v(bufinp,bufinn) v(bufinp,bufinn) v(outp,outn)    v(outp,outn)   
 1.00000000e+06 -1.56418471e+03  3.90952003e+03 -4.98741582e+02 -1.80963988e+02  1.28761692e+03  4.65132460e+02  9.83662099e+02  8.20835361e+02 -3.57511649e+03 -2.97102356e+03  1.07910282e+03 -2.69681795e+03 -1.56418477e+03  3.90952001e+03 
 1.02329299e+06 -1.45499390e+03  4.04758721e+03 -5.01367252e+02 -1.77774983e+02  1.29434337e+03  4.56915733e+02  1.00079173e+03  8.10598588e+02 -3.63697933e+03 -2.93373356e+03  1.00378695e+03 -2.79206112e+03 -1.45499396e+03  4.04758719e+03 
 1.04712855e+06 -1.33931596e+03  4.18132800e+03 -5.03900686e+02 -1.74605389e+02  1.30083300e+03  4.48750183e+02  1.01743779e+03  8.00153065e+02 -3.69708575e+03 -2.89569982e+03  9.23996243e+02 -2.88432015e+03 -1.33931602e+03  4.18132798e+03 
 1.07151931e+06 -1.21747545e+03  4.31039287e+03 -5.06344113e+02 -1.71457457e+02  1.30709160e+03  4.40641537e+02  1.03360240e+03  7.89521925e+02 -3.75544419e+03 -2.85700602e+03  8.39954581e+02 -2.97335394e+03 -1.21747552e+03  4.31039285e+03 
 1.09647820e+06 -1.08981753e+03  4.43446145e+03 -5.08699791e+02 -1.68333282e+02  1.31312499e+03  4.32595128e+02  1.04928870e+03  7.78727469e+02 -3.81206678e+03 -2.81773278e+03  7.51900049e+02 -3.05894150e+03 -1.08981760e+03  4.43446143e+03 
 1.12201845e+06 -9.56705059e+02  4.55324356e+03 -5.10969998e+02 -1.65234812e+02  1.31893905e+03  4.24615902e+02  1.06450080e+03  7.67791142e+02 -3.86696905e+03 -2.77795758e+03  6.60082943e+02 -3.14088265e+03 -9.56705130e+02  4.55324354e+03 
 1.14815362e+06 -8.18515671e+02  4.66648006e+03 -5.13157026e+02 -1.62163848e+02  1.32453970e+03  4.16708433e+02  1.07924364e+03  7.56733514e+02 -3.92016960e+03 -2.73775469e+03  5.64763751e+02 -3.21899866e+03 -8.18515745e+02  4.66648005e+03 
 1.17489755e+06 -6.75638849e+02  4.77394333e+03 -5.15263170e+02 -1.59122048e+02  1.32993287e+03  4.08876935e+02  1.09352296e+03  7.45574261e+02 -3.97168985e+03 -2.69719514e+03  4.66211136e+02 -3.29313251e+03 -6.75638927e+02  4.77394332e+03 
 1.20226443e+06 -5.28473044e+02  4.87543748e+03 -5.17290724e+02 -1.56110936e+02  1.33512445e+03  4.01125271e+02  1.10734521e+03  7.34332166e+02 -4.02155369e+03 -2.65634666e+03  3.64699943e+02 -3.36314906e+03 -5.28473125e+02  4.87543748e+03 
 1.23026877e+06 -3.77422852e+02  4.97079828e+03 -5.19241975e+02 -1.53131905e+02  1.34012036e+03  3.93456970e+02  1.12071746e+03  7.23025107e+02 -4.06978729e+03 -2.61527370e+03  2.60509259e+02 -3.42893503e+03 -3.77422936e+02  4.97079827e+03 
 1.25892541e+06 -2.22896292e+02  5.05989283e+03 -5.21119196e+02 -1.50186221e+02  1.34492644e+03  3.85875235e+02  1.13364731e+03  7.11670068e+02 -4.11641874e+03 -2.57403746e+03  1.53920533e+02 -3.49039876e+03 -2.22896380e+02  5.05989282e+03 
 1.28824955e+06 -6.53021943e+01  5.14261902e+03 -5.22924644e+02 -1.47275030e+02  1.34954849e+03  3.78382963e+02  1.14614289e+03  7.00283139e+02 -4.16147790e+03 -2.53269588e+03  4.52157722e+01 -3.54746981e+03 -6.53022858e+01  5.14261902e+03 
