 frequency       v(finalp,finaln) v(finalp,finaln)
 1.04712855e+07 -2.88034718e+03 -2.41938383e+02 
 1.07151931e+07 -2.88344482e+03 -2.46659598e+02 
 1.09647820e+07 -2.88666471e+03 -2.51432447e+02 
 1.12201845e+07 -2.89001060e+03 -2.56254739e+02 
 1.14815362e+07 -2.89348626e+03 -2.61124068e+02 
 1.17489755e+07 -2.89709547e+03 -2.66037808e+02 
 1.20226443e+07 -2.90084203e+03 -2.70993103e+02 
 1.23026877e+07 -2.90472971e+03 -2.75986859e+02 
 1.25892541e+07 -2.90876225e+03 -2.81015739e+02 
 1.28824955e+07 -2.91294337e+03 -2.86076150e+02 
 1.31825674e+07 -2.91727673e+03 -2.91164241e+02 
 1.34896288e+07 -2.92176594e+03 -2.96275897e+02 
 1.38038426e+07 -2.92641451e+03 -3.01406730e+02 
 1.41253754e+07 -2.93122585e+03 -3.06552077e+02 
 1.44543977e+07 -2.93620328e+03 -3.11706994e+02 
 1.47910839e+07 -2.94134994e+03 -3.16866260e+02 
 1.51356125e+07 -2.94666886e+03 -3.22024365e+02 
 1.54881662e+07 -2.95216285e+03 -3.27175522e+02 
 1.58489319e+07 -2.95783456e+03 -3.32313656e+02 
 1.62181010e+07 -2.96368639e+03 -3.37432420e+02 
 1.65958691e+07 -2.96972050e+03 -3.42525189e+02 
 1.69824365e+07 -2.97593881e+03 -3.47585072e+02 
 1.73780083e+07 -2.98234291e+03 -3.52604920e+02 
 1.77827941e+07 -2.98893410e+03 -3.57577336e+02 
 1.81970086e+07 -2.99571333e+03 -3.62494687e+02 
 1.86208714e+07 -3.00268121e+03 -3.67349121e+02 
 1.90546072e+07 -3.00983794e+03 -3.72132580e+02 
 1.94984460e+07 -3.01718331e+03 -3.76836827e+02 
 1.99526231e+07 -3.02471671e+03 -3.81453459e+02 
 2.04173794e+07 -3.03243706e+03 -3.85973936e+02 
 2.08929613e+07 -3.04034280e+03 -3.90389610e+02 
 2.13796209e+07 -3.04843191e+03 -3.94691748e+02 
 2.18776162e+07 -3.05670186e+03 -3.98871566e+02 
 2.23872114e+07 -3.06514959e+03 -4.02920262e+02 
 2.29086765e+07 -3.07377154e+03 -4.06829050e+02 
 2.34422882e+07 -3.08256358e+03 -4.10589197e+02 
 2.39883292e+07 -3.09152107e+03 -4.14192064e+02 
 2.45470892e+07 -3.10063882e+03 -4.17629138e+02 
 2.51188643e+07 -3.10991108e+03 -4.20892081e+02 
 2.57039578e+07 -3.11933160e+03 -4.23972764e+02 
 2.63026799e+07 -3.12889356e+03 -4.26863313e+02 
 2.69153480e+07 -3.13858965e+03 -4.29556148e+02 
 2.75422870e+07 -3.14841205e+03 -4.32044025e+02 
 2.81838293e+07 -3.15835244e+03 -4.34320074e+02 
 2.88403150e+07 -3.16840207e+03 -4.36377842e+02 
 2.95120923e+07 -3.17855174e+03 -4.38211325e+02 
 3.01995172e+07 -3.18879185e+03 -4.39815008e+02 
 3.09029543e+07 -3.19911242e+03 -4.41183894e+02 
 3.16227766e+07 -3.20950316e+03 -4.42313538e+02 
 3.23593657e+07 -3.21995346e+03 -4.43200070e+02 
 3.31131121e+07 -3.23045249e+03 -4.43840222e+02 
 3.38844156e+07 -3.24098918e+03 -4.44231346e+02 
 3.46736850e+07 -3.25155232e+03 -4.44371432e+02 
 3.54813389e+07 -3.26213060e+03 -4.44259116e+02 
 3.63078055e+07 -3.27271261e+03 -4.43893691e+02 
 3.71535229e+07 -3.28328695e+03 -4.43275111e+02 
 3.80189396e+07 -3.29384227e+03 -4.42403985e+02 
 3.89045145e+07 -3.30436726e+03 -4.41281577e+02 
 3.98107171e+07 -3.31485079e+03 -4.39909793e+02 
 4.07380278e+07 -3.32528189e+03 -4.38291167e+02 
 4.16869383e+07 -3.33564979e+03 -4.36428844e+02 
 4.26579519e+07 -3.34594404e+03 -4.34326558e+02 
 4.36515832e+07 -3.35615445e+03 -4.31988606e+02 
 4.46683592e+07 -3.36627121e+03 -4.29419819e+02 
 4.57088190e+07 -3.37628488e+03 -4.26625532e+02 
 4.67735141e+07 -3.38618642e+03 -4.23611548e+02 
 4.78630092e+07 -3.39596727e+03 -4.20384105e+02 
 4.89778819e+07 -3.40561931e+03 -4.16949835e+02 
 5.01187234e+07 -3.41513491e+03 -4.13315723e+02 
 5.12861384e+07 -3.42450694e+03 -4.09489071e+02 
 5.24807460e+07 -3.43372882e+03 -4.05477457e+02 
 5.37031796e+07 -3.44279447e+03 -4.01288687e+02 
 5.49540874e+07 -3.45169836e+03 -3.96930764e+02 
 5.62341325e+07 -3.46043549e+03 -3.92411839e+02 
 5.75439937e+07 -3.46900140e+03 -3.87740175e+02 
 5.88843655e+07 -3.47739218e+03 -3.82924108e+02 
 6.02559586e+07 -3.48560443e+03 -3.77972009e+02 
 6.16595002e+07 -3.49363528e+03 -3.72892249e+02 
 6.30957344e+07 -3.50148235e+03 -3.67693165e+02 
 6.45654229e+07 -3.50914378e+03 -3.62383026e+02 
 6.60693448e+07 -3.51661816e+03 -3.56970007e+02 
 6.76082975e+07 -3.52390456e+03 -3.51462157e+02 
 6.91830971e+07 -3.53100247e+03 -3.45867375e+02 
 7.07945784e+07 -3.53791181e+03 -3.40193387e+02 
 7.24435960e+07 -3.54463289e+03 -3.34447726e+02 
 7.41310241e+07 -3.55116641e+03 -3.28637711e+02 
 7.58577575e+07 -3.55751339e+03 -3.22770431e+02 
 7.76247117e+07 -3.56367522e+03 -3.16852734e+02 
 7.94328235e+07 -3.56965356e+03 -3.10891209e+02 
 8.12830516e+07 -3.57545036e+03 -3.04892182e+02 
 8.31763771e+07 -3.58106784e+03 -2.98861704e+02 
 8.51138038e+07 -3.58650845e+03 -2.92805545e+02 
 8.70963590e+07 -3.59177483e+03 -2.86729192e+02 
 8.91250938e+07 -3.59686984e+03 -2.80637845e+02 
 9.12010839e+07 -3.60179650e+03 -2.74536413e+02 
 9.33254301e+07 -3.60655799e+03 -2.68429518e+02 
 9.54992586e+07 -3.61115758e+03 -2.62321495e+02 
 9.77237221e+07 -3.61559871e+03 -2.56216393e+02 
 1.00000000e+08 -3.61988486e+03 -2.50117980e+02 
 1.02329299e+08 -3.62401962e+03 -2.44029749e+02 
 1.04712855e+08 -3.62800663e+03 -2.37954917e+02 
 1.07151931e+08 -3.63184957e+03 -2.31896441e+02 
 1.09647820e+08 -3.63555217e+03 -2.25857013e+02 
 1.12201845e+08 -3.63911815e+03 -2.19839077e+02 
 1.14815362e+08 -3.64255128e+03 -2.13844830e+02 
 1.17489755e+08 -3.64585528e+03 -2.07876233e+02 
 1.20226443e+08 -3.64903388e+03 -2.01935017e+02 
 1.23026877e+08 -3.65209080e+03 -1.96022694e+02 
 1.25892541e+08 -3.65502970e+03 -1.90140560e+02 
 1.28824955e+08 -3.65785421e+03 -1.84289711e+02 
 1.31825674e+08 -3.66056794e+03 -1.78471045e+02 
 1.34896288e+08 -3.66317441e+03 -1.72685271e+02 
 1.38038426e+08 -3.66567710e+03 -1.66932922e+02 
 1.41253754e+08 -3.66807943e+03 -1.61214357e+02 
 1.44543977e+08 -3.67038475e+03 -1.55529773e+02 
 1.47910839e+08 -3.67259636e+03 -1.49879213e+02 
 1.51356125e+08 -3.67471744e+03 -1.44262569e+02 
 1.54881662e+08 -3.67675115e+03 -1.38679595e+02 
 1.58489319e+08 -3.67870054e+03 -1.33129910e+02 
 1.62181010e+08 -3.68056859e+03 -1.27613009e+02 
 1.65958691e+08 -3.68235820e+03 -1.22128264e+02 
 1.69824365e+08 -3.68407218e+03 -1.16674936e+02 
 1.73780083e+08 -3.68571328e+03 -1.11252177e+02 
 1.77827941e+08 -3.68728414e+03 -1.05859039e+02 
 1.81970086e+08 -3.68878735e+03 -1.00494475e+02 
 1.86208714e+08 -3.69022539e+03 -9.51573506e+01 
 1.90546072e+08 -3.69160067e+03 -8.98464432e+01 
 1.94984460e+08 -3.69291553e+03 -8.45604498e+01 
 1.99526231e+08 -3.69417222e+03 -7.92979905e+01 
 2.04173794e+08 -3.69537290e+03 -7.40576128e+01 
 2.08929613e+08 -3.69651967e+03 -6.88377955e+01 
 2.13796209e+08 -3.69761455e+03 -6.36369524e+01 
 2.18776162e+08 -3.69865948e+03 -5.84534358e+01 
 2.23872114e+08 -3.69965632e+03 -5.32855393e+01 
 2.29086765e+08 -3.70060688e+03 -4.81315014e+01 
 2.34422882e+08 -3.70151287e+03 -4.29895077e+01 
 2.39883292e+08 -3.70237595e+03 -3.78576936e+01 
 2.45470892e+08 -3.70319770e+03 -3.27341466e+01 
 2.51188643e+08 -3.70397964e+03 -2.76169085e+01 
 2.57039578e+08 -3.70472323e+03 -2.25039772e+01 
 2.63026799e+08 -3.70542985e+03 -1.73933088e+01 
 2.69153480e+08 -3.70610084e+03 -1.22828185e+01 
 2.75422870e+08 -3.70673744e+03 -7.17038258e+00 
 2.81838293e+08 -3.70734088e+03 -2.05383963e+00 
 2.88403150e+08 -3.70791229e+03  3.06900869e+00 
 2.95120923e+08 -3.70845278e+03  8.20039644e+00 
 3.01995172e+08 -3.70896337e+03  1.33425926e+01 
 3.09029543e+08 -3.70944505e+03  1.84979006e+01 
 3.16227766e+08 -3.70989875e+03  2.36686573e+01 
 3.23593657e+08 -3.71032534e+03  2.88572332e+01 
 3.31131121e+08 -3.71072566e+03  3.40660316e+01 
 3.38844156e+08 -3.71110048e+03  3.92974884e+01 
 3.46736850e+08 -3.71145053e+03  4.45540725e+01 
 3.54813389e+08 -3.71177650e+03  4.98382852e+01 
 3.63078055e+08 -3.71207902e+03  5.51526606e+01 
 3.71535229e+08 -3.71235868e+03  6.04997657e+01 
 3.80189396e+08 -3.71261605e+03  6.58822006e+01 
 3.89045145e+08 -3.71285161e+03  7.13025991e+01 
 3.98107171e+08 -3.71306583e+03  7.67636287e+01 
 4.07380278e+08 -3.71325913e+03  8.22679916e+01 
 4.16869383e+08 -3.71343190e+03  8.78184248e+01 
 4.26579519e+08 -3.71358446e+03  9.34177011e+01 
 4.36515832e+08 -3.71371712e+03  9.90686296e+01 
 4.46683592e+08 -3.71383013e+03  1.04774056e+02 
 4.57088190e+08 -3.71392371e+03  1.10536866e+02 
 4.67735141e+08 -3.71399804e+03  1.16359981e+02 
 4.78630092e+08 -3.71405326e+03  1.22246365e+02 
 4.89778819e+08 -3.71408947e+03  1.28199021e+02 
 5.01187234e+08 -3.71410673e+03  1.34220995e+02 
 5.12861384e+08 -3.71410506e+03  1.40315375e+02 
 5.24807460e+08 -3.71408445e+03  1.46485295e+02 
 5.37031796e+08 -3.71404484e+03  1.52733932e+02 
 5.49540874e+08 -3.71398613e+03  1.59064511e+02 
 5.62341325e+08 -3.71390820e+03  1.65480304e+02 
 5.75439937e+08 -3.71381087e+03  1.71984634e+02 
 5.88843655e+08 -3.71369392e+03  1.78580873e+02 
 6.02559586e+08 -3.71355709e+03  1.85272446e+02 
 6.16595002e+08 -3.71340010e+03  1.92062830e+02 
 6.30957344e+08 -3.71322259e+03  1.98955560e+02 
 6.45654229e+08 -3.71302420e+03  2.05954225e+02 
 6.60693448e+08 -3.71280448e+03  2.13062473e+02 
 6.76082975e+08 -3.71256297e+03  2.20284012e+02 
 6.91830971e+08 -3.71229916e+03  2.27622613e+02 
 7.07945784e+08 -3.71201247e+03  2.35082107e+02 
 7.24435960e+08 -3.71170230e+03  2.42666394e+02 
 7.41310241e+08 -3.71136799e+03  2.50379438e+02 
 7.58577575e+08 -3.71100881e+03  2.58225273e+02 
 7.76247117e+08 -3.71062400e+03  2.66208002e+02 
 7.94328235e+08 -3.71021275e+03  2.74331804e+02 
 8.12830516e+08 -3.70977418e+03  2.82600928e+02 
 8.31763771e+08 -3.70930736e+03  2.91019703e+02 
 8.51138038e+08 -3.70881128e+03  2.99592534e+02 
 8.70963590e+08 -3.70828490e+03  3.08323909e+02 
 8.91250938e+08 -3.70772709e+03  3.17218396e+02 
 9.12010839e+08 -3.70713667e+03  3.26280650e+02 
 9.33254301e+08 -3.70651237e+03  3.35515412e+02 
 9.54992586e+08 -3.70585288e+03  3.44927512e+02 
 9.77237221e+08 -3.70515679e+03  3.54521872e+02 
 1.00000000e+09 -3.70442262e+03  3.64303506e+02 
 1.02329299e+09 -3.70364880e+03  3.74277528e+02 
 1.04712855e+09 -3.70283369e+03  3.84449146e+02 
 1.07151931e+09 -3.70197555e+03  3.94823672e+02 
 1.09647820e+09 -3.70107256e+03  4.05406520e+02 
 1.12201845e+09 -3.70012279e+03  4.16203209e+02 
 1.14815362e+09 -3.69912422e+03  4.27219367e+02 
 1.17489755e+09 -3.69807474e+03  4.38460734e+02 
 1.20226443e+09 -3.69697209e+03  4.49933162e+02 
 1.23026877e+09 -3.69581394e+03  4.61642619e+02 
 1.25892541e+09 -3.69459781e+03  4.73595192e+02 
 1.28824955e+09 -3.69332112e+03  4.85797089e+02 
 1.31825674e+09 -3.69198114e+03  4.98254643e+02 
 1.34896288e+09 -3.69057502e+03  5.10974313e+02 
 1.38038426e+09 -3.68909976e+03  5.23962686e+02 
 1.41253754e+09 -3.68755221e+03  5.37226485e+02 
 1.44543977e+09 -3.68592908e+03  5.50772566e+02 
 1.47910839e+09 -3.68422688e+03  5.64607922e+02 
 1.51356125e+09 -3.68244201e+03  5.78739688e+02 
 1.54881662e+09 -3.68057063e+03  5.93175144e+02 
 1.58489319e+09 -3.67860876e+03  6.07921714e+02 
 1.62181010e+09 -3.67655219e+03  6.22986975e+02 
 1.65958691e+09 -3.67439654e+03  6.38378652e+02 
 1.69824365e+09 -3.67213719e+03  6.54104630e+02 
 1.73780083e+09 -3.66976930e+03  6.70172951e+02 
 1.77827941e+09 -3.66728781e+03  6.86591816e+02 
 1.81970086e+09 -3.66468739e+03  7.03369594e+02 
 1.86208714e+09 -3.66196247e+03  7.20514819e+02 
 1.90546072e+09 -3.65910721e+03  7.38036195e+02 
 1.94984460e+09 -3.65611546e+03  7.55942601e+02 
 1.99526231e+09 -3.65298081e+03  7.74243092e+02 
 2.04173794e+09 -3.64969651e+03  7.92946899e+02 
 2.08929613e+09 -3.64625550e+03  8.12063437e+02 
 2.13796209e+09 -3.64265035e+03  8.31602306e+02 
 2.18776162e+09 -3.63887330e+03  8.51573292e+02 
 2.23872114e+09 -3.63491619e+03  8.71986371e+02 
 2.29086765e+09 -3.63077046e+03  8.92851712e+02 
 2.34422882e+09 -3.62642716e+03  9.14179677e+02 
 2.39883292e+09 -3.62187686e+03  9.35980828e+02 
 2.45470892e+09 -3.61710970e+03  9.58265924e+02 
 2.51188643e+09 -3.61211531e+03  9.81045926e+02 
 2.57039578e+09 -3.60688283e+03  1.00433200e+03 
 2.63026799e+09 -3.60140085e+03  1.02813551e+03 
 2.69153480e+09 -3.59565740e+03  1.05246803e+03 
 2.75422870e+09 -3.58963991e+03  1.07734136e+03 
 2.81838293e+09 -3.58333519e+03  1.10276747e+03 
 2.88403150e+09 -3.57672939e+03  1.12875857e+03 
 2.95120923e+09 -3.56980797e+03  1.15532706e+03 
 3.01995172e+09 -3.56255563e+03  1.18248556e+03 
 3.09029543e+09 -3.55495633e+03  1.21024689e+03 
 3.16227766e+09 -3.54699321e+03  1.23862409e+03 
 3.23593657e+09 -3.53864853e+03  1.26763037e+03 
 3.31131121e+09 -3.52990367e+03  1.29727918e+03 
 3.38844156e+09 -3.52073903e+03  1.32758414e+03 
 3.46736850e+09 -3.51113401e+03  1.35855906e+03 
 3.54813389e+09 -3.50106693e+03  1.39021795e+03 
 3.63078055e+09 -3.49051499e+03  1.42257498e+03 
 3.71535229e+09 -3.47945417e+03  1.45564450e+03 
 3.80189396e+09 -3.46785921e+03  1.48944100e+03 
 3.89045145e+09 -3.45570349e+03  1.52397914e+03 
 3.98107171e+09 -3.44295897e+03  1.55927367e+03 
 4.07380278e+09 -3.42959609e+03  1.59533947e+03 
 4.16869383e+09 -3.41558370e+03  1.63219152e+03 
 4.26579519e+09 -3.40088896e+03  1.66984482e+03 
 4.36515832e+09 -3.38547720e+03  1.70831444e+03 
 4.46683592e+09 -3.36931184e+03  1.74761543e+03 
 4.57088190e+09 -3.35235429e+03  1.78776282e+03 
 4.67735141e+09 -3.33456375e+03  1.82877152e+03 
 4.78630092e+09 -3.31589714e+03  1.87065634e+03 
 4.89778819e+09 -3.29630893e+03  1.91343187e+03 
 5.01187234e+09 -3.27575097e+03  1.95711244e+03 
 5.12861384e+09 -3.25417233e+03  2.00171204e+03 
 5.24807460e+09 -3.23151912e+03  2.04724423e+03 
 5.37031796e+09 -3.20773429e+03  2.09372203e+03 
 5.49540874e+09 -3.18275744e+03  2.14115779e+03 
 5.62341325e+09 -3.15652456e+03  2.18956310e+03 
 5.75439937e+09 -3.12896785e+03  2.23894859e+03 
 5.88843655e+09 -3.10001542e+03  2.28932378e+03 
 6.02559586e+09 -3.06959106e+03  2.34069687e+03 
 6.16595002e+09 -3.03761390e+03  2.39307452e+03 
 6.30957344e+09 -3.00399819e+03  2.44646158e+03 
 6.45654229e+09 -2.96865289e+03  2.50086081e+03 
 6.60693448e+09 -2.93148143e+03  2.55627254e+03 
 6.76082975e+09 -2.89238126e+03  2.61269429e+03 
