 time            v(inp)          v(inn)          v(out)         
 1.50802800e-02  4.83294607e-04 -4.83294607e-04  7.50324739e-01 
 1.50812800e-02  4.88785694e-04 -4.88785694e-04  7.52440594e-01 
 1.50822800e-02  4.94257485e-04 -4.94257485e-04  7.54448444e-01 
 1.50832800e-02  4.99709764e-04 -4.99709764e-04  7.56309072e-01 
 1.50842800e-02  5.05142315e-04 -5.05142315e-04  7.58093559e-01 
 1.50852800e-02  5.10554924e-04 -5.10554924e-04  7.59763090e-01 
 1.50862800e-02  5.15947377e-04 -5.15947377e-04  7.61375912e-01 
 1.50872800e-02  5.21319461e-04 -5.21319461e-04  7.62895353e-01 
 1.50882800e-02  5.26670964e-04 -5.26670964e-04  7.64370851e-01 
 1.50892800e-02  5.32001675e-04 -5.32001675e-04  7.65768292e-01 
 1.50902800e-02  5.37311384e-04 -5.37311384e-04  7.67130643e-01 
 1.50912800e-02  5.42599881e-04 -5.42599881e-04  7.68426318e-01 
 1.50922800e-02  5.47866957e-04 -5.47866957e-04  7.69693300e-01 
 1.50932800e-02  5.53112404e-04 -5.53112404e-04  7.70902356e-01 
 1.50942800e-02  5.58336015e-04 -5.58336015e-04  7.72087495e-01 
 1.50952800e-02  5.63537583e-04 -5.63537583e-04  7.73221618e-01 
 1.50962800e-02  5.68716905e-04 -5.68716905e-04  7.74335484e-01 
 1.50972800e-02  5.73873774e-04 -5.73873774e-04  7.75403915e-01 
 1.50982800e-02  5.79007988e-04 -5.79007988e-04  7.76454954e-01 
 1.50992800e-02  5.84119343e-04 -5.84119343e-04  7.77465148e-01 
 1.51002800e-02  5.89207639e-04 -5.89207639e-04  7.78460236e-01 
 1.51012800e-02  5.94272674e-04 -5.94272674e-04  7.79418312e-01 
 1.51022800e-02  5.99314247e-04 -5.99314247e-04  7.80363134e-01 
 1.51032800e-02  6.04332161e-04 -6.04332161e-04  7.81274185e-01 
 1.51042800e-02  6.09326217e-04 -6.09326217e-04  7.82173506e-01 
 1.51052800e-02  6.14296218e-04 -6.14296218e-04  7.83041827e-01 
 1.51062800e-02  6.19241967e-04 -6.19241967e-04  7.83899684e-01 
 1.51072800e-02  6.24163270e-04 -6.24163270e-04  7.84728936e-01 
 1.51082800e-02  6.29059932e-04 -6.29059932e-04  7.85548787e-01 
 1.51092800e-02  6.33931759e-04 -6.33931759e-04  7.86342119e-01 
 1.51102800e-02  6.38778560e-04 -6.38778560e-04  7.87126952e-01 
 1.51112800e-02  6.43600143e-04 -6.43600143e-04  7.87887097e-01 
 1.51122800e-02  6.48396318e-04 -6.48396318e-04  7.88639516e-01 
 1.51132800e-02  6.53166896e-04 -6.53166896e-04  7.89368862e-01 
 1.51142800e-02  6.57911687e-04 -6.57911687e-04  7.90091149e-01 
 1.51152800e-02  6.62630506e-04 -6.62630506e-04  7.90791801e-01 
 1.51162800e-02  6.67323164e-04 -6.67323164e-04  7.91485970e-01 
 1.51172800e-02  6.71989478e-04 -6.71989478e-04  7.92159790e-01 
 1.51182800e-02  6.76629263e-04 -6.76629263e-04  7.92827632e-01 
 1.51192800e-02  6.81242336e-04 -6.81242336e-04  7.93476277e-01 
 1.51202800e-02  6.85828514e-04 -6.85828514e-04  7.94119390e-01 
 1.51212800e-02  6.90387618e-04 -6.90387618e-04  7.94744344e-01 
 1.51222800e-02  6.94919465e-04 -6.94919465e-04  7.95364159e-01 
 1.51232800e-02  6.99423879e-04 -6.99423879e-04  7.95966757e-01 
 1.51242800e-02  7.03900681e-04 -7.03900681e-04  7.96564566e-01 
 1.51252800e-02  7.08349693e-04 -7.08349693e-04  7.97146011e-01 
 1.51262800e-02  7.12770742e-04 -7.12770742e-04  7.97722980e-01 
 1.51272800e-02  7.17163651e-04 -7.17163651e-04  7.98284366e-01 
 1.51282800e-02  7.21528248e-04 -7.21528248e-04  7.98841554e-01 
 1.51292800e-02  7.25864360e-04 -7.25864360e-04  7.99383871e-01 
 1.51302800e-02  7.30171817e-04 -7.30171817e-04  7.99922244e-01 
 1.51312800e-02  7.34450447e-04 -7.34450447e-04  8.00446400e-01 
 1.51322800e-02  7.38700083e-04 -7.38700083e-04  8.00966839e-01 
 1.51332800e-02  7.42920556e-04 -7.42920556e-04  8.01473661e-01 
 1.51342800e-02  7.47111700e-04 -7.47111700e-04  8.01976974e-01 
 1.51352800e-02  7.51273349e-04 -7.51273349e-04  8.02467225e-01 
 1.51362800e-02  7.55405339e-04 -7.55405339e-04  8.02954154e-01 
 1.51372800e-02  7.59507507e-04 -7.59507507e-04  8.03428532e-01 
 1.51382800e-02  7.63579691e-04 -7.63579691e-04  8.03899761e-01 
 1.51392800e-02  7.67621730e-04 -7.67621730e-04  8.04358914e-01 
 1.51402800e-02  7.71633465e-04 -7.71633465e-04  8.04815074e-01 
 1.51412800e-02  7.75614737e-04 -7.75614737e-04  8.05259597e-01 
 1.51422800e-02  7.79565389e-04 -7.79565389e-04  8.05701273e-01 
 1.51432800e-02  7.83485265e-04 -7.83485265e-04  8.06131721e-01 
 1.51442800e-02  7.87374210e-04 -7.87374210e-04  8.06559454e-01 
 1.51452800e-02  7.91232071e-04 -7.91232071e-04  8.06976339e-01 
 1.51462800e-02  7.95058696e-04 -7.95058696e-04  8.07390633e-01 
 1.51472800e-02  7.98853933e-04 -7.98853933e-04  8.07794433e-01 
 1.51482800e-02  8.02617633e-04 -8.02617633e-04  8.08195756e-01 
 1.51492800e-02  8.06349647e-04 -8.06349647e-04  8.08586915e-01 
 1.51502800e-02  8.10049828e-04 -8.10049828e-04  8.08975703e-01 
 1.51512800e-02  8.13718029e-04 -8.13718029e-04  8.09354638e-01 
 1.51522800e-02  8.17354106e-04 -8.17354106e-04  8.09731299e-01 
