 frequency       v(finalp,finaln) v(finalp,finaln)
 1.00000000e+06  1.61592844e-05 -1.00877060e-03 
 1.02329299e+06  1.65676224e-05 -1.03228293e-03 
 1.04712855e+06  1.69951680e-05 -1.05634381e-03 
 1.07151931e+06  1.74428231e-05 -1.08096611e-03 
 1.09647820e+06  1.79115315e-05 -1.10616296e-03 
 1.12201845e+06  1.84022815e-05 -1.13194784e-03 
 1.14815362e+06  1.89161072e-05 -1.15833452e-03 
 1.17489755e+06  1.94540912e-05 -1.18533710e-03 
 1.20226443e+06  2.00173666e-05 -1.21297003e-03 
 1.23026877e+06  2.06071194e-05 -1.24124809e-03 
 1.25892541e+06  2.12245909e-05 -1.27018642e-03 
 1.28824955e+06  2.18710802e-05 -1.29980052e-03 
 1.31825674e+06  2.25479470e-05 -1.33010625e-03 
 1.34896288e+06  2.32566144e-05 -1.36111985e-03 
 1.38038426e+06  2.39985715e-05 -1.39285796e-03 
 1.41253754e+06  2.47753769e-05 -1.42533760e-03 
 1.44543977e+06  2.55886615e-05 -1.45857621e-03 
 1.47910839e+06  2.64401320e-05 -1.49259166e-03 
 1.51356125e+06  2.73315744e-05 -1.52740221e-03 
 1.54881662e+06  2.82648574e-05 -1.56302659e-03 
 1.58489319e+06  2.92419366e-05 -1.59948397e-03 
 1.62181010e+06  3.02648579e-05 -1.63679400e-03 
 1.65958691e+06  3.13357619e-05 -1.67497677e-03 
 1.69824365e+06  3.24568884e-05 -1.71405287e-03 
 1.73780083e+06  3.36305805e-05 -1.75404341e-03 
 1.77827941e+06  3.48592895e-05 -1.79496999e-03 
 1.81970086e+06  3.61455796e-05 -1.83685472e-03 
 1.86208714e+06  3.74921334e-05 -1.87972029e-03 
 1.90546072e+06  3.89017567e-05 -1.92358990e-03 
 1.94984460e+06  4.03773841e-05 -1.96848734e-03 
 1.99526231e+06  4.19220853e-05 -2.01443699e-03 
 2.04173794e+06  4.35390704e-05 -2.06146381e-03 
 2.08929613e+06  4.52316966e-05 -2.10959337e-03 
 2.13796209e+06  4.70034745e-05 -2.15885189e-03 
 2.18776162e+06  4.88580751e-05 -2.20926623e-03 
 2.23872114e+06  5.07993365e-05 -2.26086391e-03 
 2.29086765e+06  5.28312717e-05 -2.31367313e-03 
 2.34422882e+06  5.49580759e-05 -2.36772281e-03 
 2.39883292e+06  5.71841346e-05 -2.42304257e-03 
 2.45470892e+06  5.95140316e-05 -2.47966278e-03 
 2.51188643e+06  6.19525580e-05 -2.53761459e-03 
 2.57039578e+06  6.45047209e-05 -2.59692990e-03 
 2.63026799e+06  6.71757526e-05 -2.65764145e-03 
 2.69153480e+06  6.99711201e-05 -2.71978280e-03 
 2.75422870e+06  7.28965355e-05 -2.78338834e-03 
 2.81838293e+06  7.59579657e-05 -2.84849337e-03 
 2.88403150e+06  7.91616437e-05 -2.91513409e-03 
 2.95120923e+06  8.25140792e-05 -2.98334762e-03 
 3.01995172e+06  8.60220704e-05 -3.05317204e-03 
 3.09029543e+06  8.96927156e-05 -3.12464642e-03 
 3.16227766e+06  9.35334257e-05 -3.19781086e-03 
 3.23593657e+06  9.75519365e-05 -3.27270649e-03 
 3.31131121e+06  1.01756322e-04 -3.34937553e-03 
 3.38844156e+06  1.06155008e-04 -3.42786133e-03 
 3.46736850e+06  1.10756787e-04 -3.50820835e-03 
 3.54813389e+06  1.15570828e-04 -3.59046227e-03 
 3.63078055e+06  1.20606698e-04 -3.67466999e-03 
 3.71535229e+06  1.25874371e-04 -3.76087965e-03 
 3.80189396e+06  1.31384248e-04 -3.84914073e-03 
 3.89045145e+06  1.37147169e-04 -3.93950402e-03 
 3.98107171e+06  1.43174434e-04 -4.03202172e-03 
 4.07380278e+06  1.49477813e-04 -4.12674746e-03 
 4.16869383e+06  1.56069569e-04 -4.22373636e-03 
 4.26579519e+06  1.62962472e-04 -4.32304507e-03 
 4.36515832e+06  1.70169818e-04 -4.42473182e-03 
 4.46683592e+06  1.77705445e-04 -4.52885649e-03 
 4.57088190e+06  1.85583752e-04 -4.63548065e-03 
 4.67735141e+06  1.93819718e-04 -4.74466764e-03 
 4.78630092e+06  2.02428919e-04 -4.85648260e-03 
 4.89778819e+06  2.11427547e-04 -4.97099256e-03 
 5.01187234e+06  2.20832428e-04 -5.08826651e-03 
 5.12861384e+06  2.30661040e-04 -5.20837544e-03 
 5.24807460e+06  2.40931531e-04 -5.33139243e-03 
 5.37031796e+06  2.51662739e-04 -5.45739276e-03 
 5.49540874e+06  2.62874206e-04 -5.58645392e-03 
 5.62341325e+06  2.74586199e-04 -5.71865574e-03 
 5.75439937e+06  2.86819723e-04 -5.85408048e-03 
 5.88843655e+06  2.99596540e-04 -5.99281289e-03 
 6.02559586e+06  3.12939181e-04 -6.13494033e-03 
 6.16595002e+06  3.26870964e-04 -6.28055284e-03 
 6.30957344e+06  3.41416003e-04 -6.42974328e-03 
 6.45654229e+06  3.56599222e-04 -6.58260741e-03 
 6.60693448e+06  3.72446363e-04 -6.73924398e-03 
 6.76082975e+06  3.88983997e-04 -6.89975491e-03 
 6.91830971e+06  4.06239529e-04 -7.06424533e-03 
 7.07945784e+06  4.24241200e-04 -7.23282377e-03 
 7.24435960e+06  4.43018091e-04 -7.40560225e-03 
 7.41310241e+06  4.62600121e-04 -7.58269643e-03 
 7.58577575e+06  4.83018043e-04 -7.76422575e-03 
 7.76247117e+06  5.04303431e-04 -7.95031355e-03 
 7.94328235e+06  5.26488677e-04 -8.14108726e-03 
 8.12830516e+06  5.49606965e-04 -8.33667853e-03 
 8.31763771e+06  5.73692258e-04 -8.53722338e-03 
 8.51138038e+06  5.98779265e-04 -8.74286239e-03 
 8.70963590e+06  6.24903416e-04 -8.95374086e-03 
 8.91250938e+06  6.52100818e-04 -9.17000898e-03 
 9.12010839e+06  6.80408216e-04 -9.39182202e-03 
 9.33254301e+06  7.09862936e-04 -9.61934052e-03 
 9.54992586e+06  7.40502832e-04 -9.85273045e-03 
 9.77237221e+06  7.72366212e-04 -1.00921635e-02 
 1.00000000e+07  8.05491769e-04 -1.03378170e-02 
 1.02329299e+07  8.39918490e-04 -1.05898747e-02 
 1.04712855e+07  8.75685562e-04 -1.08485262e-02 
 1.07151931e+07  9.12832269e-04 -1.11139680e-02 
 1.09647820e+07  9.51397868e-04 -1.13864028e-02 
 1.12201845e+07  9.91421467e-04 -1.16660407e-02 
 1.14815362e+07  1.03294188e-03 -1.19530986e-02 
 1.17489755e+07  1.07599747e-03 -1.22478009e-02 
 1.20226443e+07  1.12062599e-03 -1.25503794e-02 
 1.23026877e+07  1.16686439e-03 -1.28610739e-02 
 1.25892541e+07  1.21474863e-03 -1.31801320e-02 
 1.28824955e+07  1.26431345e-03 -1.35078097e-02 
 1.31825674e+07  1.31559217e-03 -1.38443713e-02 
 1.34896288e+07  1.36861643e-03 -1.41900899e-02 
 1.38038426e+07  1.42341592e-03 -1.45452472e-02 
 1.41253754e+07  1.48001814e-03 -1.49101342e-02 
 1.44543977e+07  1.53844808e-03 -1.52850509e-02 
 1.47910839e+07  1.59872791e-03 -1.56703069e-02 
 1.51356125e+07  1.66087668e-03 -1.60662212e-02 
 1.54881662e+07  1.72490995e-03 -1.64731226e-02 
 1.58489319e+07  1.79083949e-03 -1.68913498e-02 
 1.62181010e+07  1.85867283e-03 -1.73212513e-02 
 1.65958691e+07  1.92841296e-03 -1.77631859e-02 
 1.69824365e+07  2.00005790e-03 -1.82175223e-02 
 1.73780083e+07  2.07360028e-03 -1.86846397e-02 
 1.77827941e+07  2.14902696e-03 -1.91649273e-02 
 1.81970086e+07  2.22631859e-03 -1.96587848e-02 
 1.86208714e+07  2.30544918e-03 -2.01666218e-02 
 1.90546072e+07  2.38638568e-03 -2.06888584e-02 
 1.94984460e+07  2.46908754e-03 -2.12259248e-02 
 1.99526231e+07  2.55350629e-03 -2.17782611e-02 
 2.04173794e+07  2.63958510e-03 -2.23463174e-02 
 2.08929613e+07  2.72725837e-03 -2.29305537e-02 
 2.13796209e+07  2.81645132e-03 -2.35314392e-02 
 2.18776162e+07  2.90707960e-03 -2.41494528e-02 
 2.23872114e+07  2.99904890e-03 -2.47850822e-02 
 2.29086765e+07  3.09225459e-03 -2.54388241e-02 
 2.34422882e+07  3.18658141e-03 -2.61111837e-02 
 2.39883292e+07  3.28190315e-03 -2.68026744e-02 
 2.45470892e+07  3.37808235e-03 -2.75138173e-02 
 2.51188643e+07  3.47497011e-03 -2.82451410e-02 
 2.57039578e+07  3.57240581e-03 -2.89971814e-02 
 2.63026799e+07  3.67021702e-03 -2.97704808e-02 
 2.69153480e+07  3.76821930e-03 -3.05655880e-02 
 2.75422870e+07  3.86621617e-03 -3.13830575e-02 
 2.81838293e+07  3.96399904e-03 -3.22234494e-02 
 2.88403150e+07  4.06134721e-03 -3.30873287e-02 
 2.95120923e+07  4.15802792e-03 -3.39752651e-02 
 3.01995172e+07  4.25379646e-03 -3.48878329e-02 
 3.09029543e+07  4.34839628e-03 -3.58256098e-02 
 3.16227766e+07  4.44155918e-03 -3.67891775e-02 
 3.23593657e+07  4.53300549e-03 -3.77791210e-02 
 3.31131121e+07  4.62244438e-03 -3.87960281e-02 
 3.38844156e+07  4.70957408e-03 -3.98404898e-02 
 3.46736850e+07  4.79408220e-03 -4.09130995e-02 
 3.54813389e+07  4.87564610e-03 -4.20144533e-02 
 3.63078055e+07  4.95393316e-03 -4.31451499e-02 
 3.71535229e+07  5.02860118e-03 -4.43057905e-02 
 3.80189396e+07  5.09929875e-03 -4.54969787e-02 
 3.89045145e+07  5.16566555e-03 -4.67193210e-02 
 3.98107171e+07  5.22733272e-03 -4.79734268e-02 
 4.07380278e+07  5.28392319e-03 -4.92599085e-02 
 4.16869383e+07  5.33505197e-03 -5.05793821e-02 
 4.26579519e+07  5.38032641e-03 -5.19324673e-02 
 4.36515832e+07  5.41934640e-03 -5.33197881e-02 
 4.46683592e+07  5.45170461e-03 -5.47419731e-02 
 4.57088190e+07  5.47698656e-03 -5.61996564e-02 
 4.67735141e+07  5.49477073e-03 -5.76934776e-02 
 4.78630092e+07  5.50462852e-03 -5.92240829e-02 
 4.89778819e+07  5.50612425e-03 -6.07921255e-02 
 5.01187234e+07  5.49881495e-03 -6.23982662e-02 
 5.12861384e+07  5.48225022e-03 -6.40431744e-02 
 5.24807460e+07  5.45597191e-03 -6.57275284e-02 
 5.37031796e+07  5.41951376e-03 -6.74520166e-02 
 5.49540874e+07  5.37240093e-03 -6.92173377e-02 
 5.62341325e+07  5.31414950e-03 -7.10242016e-02 
 5.75439937e+07  5.24426586e-03 -7.28733302e-02 
 5.88843655e+07  5.16224599e-03 -7.47654581e-02 
 6.02559586e+07  5.06757470e-03 -7.67013329e-02 
 6.16595002e+07  4.95972477e-03 -7.86817162e-02 
 6.30957344e+07  4.83815604e-03 -8.07073838e-02 
 6.45654229e+07  4.70231437e-03 -8.27791267e-02 
 6.60693448e+07  4.55163059e-03 -8.48977510e-02 
 6.76082975e+07  4.38551934e-03 -8.70640790e-02 
 6.91830971e+07  4.20337786e-03 -8.92789488e-02 
 7.07945784e+07  4.00458471e-03 -9.15432152e-02 
 7.24435960e+07  3.78849843e-03 -9.38577498e-02 
 7.41310241e+07  3.55445612e-03 -9.62234407e-02 
 7.58577575e+07  3.30177206e-03 -9.86411934e-02 
 7.76247117e+07  3.02973610e-03 -1.01111930e-01 
 7.94328235e+07  2.73761223e-03 -1.03636590e-01 
 8.12830516e+07  2.42463688e-03 -1.06216129e-01 
 8.31763771e+07  2.09001735e-03 -1.08851519e-01 
 8.51138038e+07  1.73293010e-03 -1.11543750e-01 
 8.70963590e+07  1.35251907e-03 -1.14293825e-01 
 8.91250938e+07  9.47893895e-04 -1.17102763e-01 
 9.12010839e+07  5.18128140e-04 -1.19971600e-01 
 9.33254301e+07  6.22575149e-05 -1.22901383e-01 
 9.54992586e+07 -4.20721980e-04 -1.25893173e-01 
 9.77237221e+07 -9.31855898e-04 -1.28948044e-01 
 1.00000000e+08 -1.47223322e-03 -1.32067079e-01 
 1.02329299e+08 -2.04298826e-03 -1.35251372e-01 
 1.04712855e+08 -2.64530254e-03 -1.38502028e-01 
 1.07151931e+08 -3.28040675e-03 -1.41820155e-01 
 1.09647820e+08 -3.94958263e-03 -1.45206869e-01 
 1.12201845e+08 -4.65416491e-03 -1.48663291e-01 
 1.14815362e+08 -5.39554327e-03 -1.52190542e-01 
 1.17489755e+08 -6.17516420e-03 -1.55789745e-01 
 1.20226443e+08 -6.99453295e-03 -1.59462020e-01 
 1.23026877e+08 -7.85521543e-03 -1.63208484e-01 
 1.25892541e+08 -8.75884005e-03 -1.67030246e-01 
 1.28824955e+08 -9.70709956e-03 -1.70928408e-01 
 1.31825674e+08 -1.07017529e-02 -1.74904059e-01 
 1.34896288e+08 -1.17446269e-02 -1.78958273e-01 
 1.38038426e+08 -1.28376179e-02 -1.83092107e-01 
 1.41253754e+08 -1.39826937e-02 -1.87306595e-01 
 1.44543977e+08 -1.51818947e-02 -1.91602749e-01 
 1.47910839e+08 -1.64373356e-02 -1.95981551e-01 
 1.51356125e+08 -1.77512068e-02 -2.00443950e-01 
 1.54881662e+08 -1.91257753e-02 -2.04990859e-01 
 1.58489319e+08 -2.05633864e-02 -2.09623151e-01 
 1.62181010e+08 -2.20664639e-02 -2.14341652e-01 
 1.65958691e+08 -2.36375115e-02 -2.19147140e-01 
 1.69824365e+08 -2.52791131e-02 -2.24040333e-01 
 1.73780083e+08 -2.69939331e-02 -2.29021894e-01 
 1.77827941e+08 -2.87847167e-02 -2.34092415e-01 
 1.81970086e+08 -3.06542896e-02 -2.39252418e-01 
 1.86208714e+08 -3.26055577e-02 -2.44502347e-01 
 1.90546072e+08 -3.46415063e-02 -2.49842561e-01 
 1.94984460e+08 -3.67651989e-02 -2.55273329e-01 
 1.99526231e+08 -3.89797757e-02 -2.60794822e-01 
 2.04173794e+08 -4.12884522e-02 -2.66407106e-01 
 2.08929613e+08 -4.36945161e-02 -2.72110137e-01 
 2.13796209e+08 -4.62013250e-02 -2.77903751e-01 
 2.18776162e+08 -4.88123031e-02 -2.83787659e-01 
 2.23872114e+08 -5.15309371e-02 -2.89761439e-01 
 2.29086765e+08 -5.43607719e-02 -2.95824526e-01 
 2.34422882e+08 -5.73054055e-02 -3.01976209e-01 
 2.39883292e+08 -6.03684831e-02 -3.08215617e-01 
 2.45470892e+08 -6.35536914e-02 -3.14541718e-01 
 2.51188643e+08 -6.68647504e-02 -3.20953308e-01 
 2.57039578e+08 -7.03054067e-02 -3.27449002e-01 
 2.63026799e+08 -7.38794238e-02 -3.34027231e-01 
 2.69153480e+08 -7.75905735e-02 -3.40686231e-01 
 2.75422870e+08 -8.14426253e-02 -3.47424038e-01 
 2.81838293e+08 -8.54393350e-02 -3.54238483e-01 
 2.88403150e+08 -8.95844335e-02 -3.61127183e-01 
 2.95120923e+08 -9.38816131e-02 -3.68087538e-01 
 3.01995172e+08 -9.83345146e-02 -3.75116725e-01 
 3.09029543e+08 -1.02946712e-01 -3.82211696e-01 
 3.16227766e+08 -1.07721699e-01 -3.89369172e-01 
 3.23593657e+08 -1.12662869e-01 -3.96585643e-01 
 3.31131121e+08 -1.17773502e-01 -4.03857368e-01 
 3.38844156e+08 -1.23056747e-01 -4.11180370e-01 
 3.46736850e+08 -1.28515599e-01 -4.18550443e-01 
 3.54813389e+08 -1.34152887e-01 -4.25963153e-01 
 3.63078055e+08 -1.39971249e-01 -4.33413839e-01 
 3.71535229e+08 -1.45973115e-01 -4.40897624e-01 
 3.80189396e+08 -1.52160685e-01 -4.48409417e-01 
 3.89045145e+08 -1.58535913e-01 -4.55943927e-01 
 3.98107171e+08 -1.65100482e-01 -4.63495671e-01 
 4.07380278e+08 -1.71855787e-01 -4.71058988e-01 
 4.16869383e+08 -1.78802913e-01 -4.78628055e-01 
 4.26579519e+08 -1.85942620e-01 -4.86196901e-01 
 4.36515832e+08 -1.93275321e-01 -4.93759430e-01 
 4.46683592e+08 -2.00801065e-01 -5.01309440e-01 
 4.57088190e+08 -2.08519523e-01 -5.08840645e-01 
 4.67735141e+08 -2.16429971e-01 -5.16346703e-01 
 4.78630092e+08 -2.24531278e-01 -5.23821241e-01 
 4.89778819e+08 -2.32821895e-01 -5.31257886e-01 
 5.01187234e+08 -2.41299844e-01 -5.38650293e-01 
 5.12861384e+08 -2.49962713e-01 -5.45992180e-01 
 5.24807460e+08 -2.58807651e-01 -5.53277361e-01 
 5.37031796e+08 -2.67831366e-01 -5.60499779e-01 
 5.49540874e+08 -2.77030129e-01 -5.67653545e-01 
 5.62341325e+08 -2.86399773e-01 -5.74732973e-01 
 5.75439937e+08 -2.95935705e-01 -5.81732619e-01 
 5.88843655e+08 -3.05632917e-01 -5.88647313e-01 
 6.02559586e+08 -3.15485998e-01 -5.95472204e-01 
 6.16595002e+08 -3.25489153e-01 -6.02202790e-01 
 6.30957344e+08 -3.35636226e-01 -6.08834958e-01 
 6.45654229e+08 -3.45920720e-01 -6.15365015e-01 
 6.60693448e+08 -3.56335832e-01 -6.21789724e-01 
 6.76082975e+08 -3.66874479e-01 -6.28106333e-01 
