 time            v(bufinp)       v(bufinn)       v(outp)         v(outn)        
 0.00000000e+00  1.80000000e+00  1.80000000e+00  2.69238308e+00  2.69238308e+00 
 5.00000000e-15  1.80000471e+00  1.79999529e+00  2.69238500e+00  2.69238117e+00 
 1.00000000e-14  1.80000942e+00  1.79999058e+00  2.69238633e+00  2.69237984e+00 
 2.00000000e-14  1.80001885e+00  1.79998115e+00  2.69238816e+00  2.69237801e+00 
 4.00000000e-14  1.80003770e+00  1.79996230e+00  2.69238908e+00  2.69237708e+00 
 8.00000000e-14  1.80007540e+00  1.79992460e+00  2.69238809e+00  2.69237808e+00 
 1.60000000e-13  1.80015080e+00  1.79984920e+00  2.69238286e+00  2.69238331e+00 
 3.20000000e-13  1.80030159e+00  1.79969841e+00  2.69236189e+00  2.69240428e+00 
 6.40000000e-13  1.80060318e+00  1.79939682e+00  2.69228651e+00  2.69247965e+00 
 1.14000000e-12  1.80107442e+00  1.79892558e+00  2.69210392e+00  2.69266221e+00 
 1.64000000e-12  1.80154564e+00  1.79845436e+00  2.69186356e+00  2.69290249e+00 
 2.14000000e-12  1.80201684e+00  1.79798316e+00  2.69157878e+00  2.69318722e+00 
 2.64000000e-12  1.80248803e+00  1.79751197e+00  2.69125598e+00  2.69350997e+00 
 3.14000000e-12  1.80295919e+00  1.79704081e+00  2.69089936e+00  2.69386652e+00 
 3.64000000e-12  1.80343032e+00  1.79656968e+00  2.69051219e+00  2.69425362e+00 
 4.14000000e-12  1.80390142e+00  1.79609858e+00  2.69009735e+00  2.69466837e+00 
 4.64000000e-12  1.80437248e+00  1.79562752e+00  2.68965736e+00  2.69510828e+00 
 5.14000000e-12  1.80484349e+00  1.79515651e+00  2.68919454e+00  2.69557100e+00 
 5.64000000e-12  1.80531446e+00  1.79468554e+00  2.68871096e+00  2.69605449e+00 
 6.14000000e-12  1.80578538e+00  1.79421462e+00  2.68820855e+00  2.69655682e+00 
 6.64000000e-12  1.80625624e+00  1.79374376e+00  2.68768899e+00  2.69707628e+00 
 7.14000000e-12  1.80672703e+00  1.79327297e+00  2.68715388e+00  2.69761130e+00 
 7.64000000e-12  1.80719777e+00  1.79280223e+00  2.68660464e+00  2.69816046e+00 
 8.14000000e-12  1.80766843e+00  1.79233157e+00  2.68604257e+00  2.69872245e+00 
 8.64000000e-12  1.80813901e+00  1.79186099e+00  2.68546884e+00  2.69929610e+00 
 9.14000000e-12  1.80860951e+00  1.79139049e+00  2.68488453e+00  2.69988033e+00 
 9.64000000e-12  1.80907993e+00  1.79092007e+00  2.68429062e+00  2.70047418e+00 
 1.01400000e-11  1.80955026e+00  1.79044974e+00  2.68368799e+00  2.70107674e+00 
 1.06400000e-11  1.81002050e+00  1.78997950e+00  2.68307746e+00  2.70168721e+00 
 1.11400000e-11  1.81049063e+00  1.78950937e+00  2.68245976e+00  2.70230486e+00 
 1.16400000e-11  1.81096066e+00  1.78903934e+00  2.68183555e+00  2.70292902e+00 
 1.21400000e-11  1.81143059e+00  1.78856941e+00  2.68120546e+00  2.70355908e+00 
 1.26400000e-11  1.81190040e+00  1.78809960e+00  2.68057002e+00  2.70419448e+00 
 1.31400000e-11  1.81237009e+00  1.78762991e+00  2.67992976e+00  2.70483472e+00 
 1.36400000e-11  1.81283967e+00  1.78716033e+00  2.67928511e+00  2.70547935e+00 
 1.41400000e-11  1.81330911e+00  1.78669089e+00  2.67863652e+00  2.70612793e+00 
 1.46400000e-11  1.81377842e+00  1.78622158e+00  2.67798435e+00  2.70678009e+00 
 1.51400000e-11  1.81424760e+00  1.78575240e+00  2.67732896e+00  2.70743549e+00 
 1.56400000e-11  1.81471664e+00  1.78528336e+00  2.67667066e+00  2.70809381e+00 
 1.61400000e-11  1.81518553e+00  1.78481447e+00  2.67600973e+00  2.70875475e+00 
 1.66400000e-11  1.81565427e+00  1.78434573e+00  2.67534645e+00  2.70941806e+00 
