 time            v(finalp)       v(finaln)      
 9.00500000e-11  2.77977580e+00  2.77984617e+00 
 9.10500000e-11  2.77978596e+00  2.77983990e+00 
 9.20500000e-11  2.77979441e+00  2.77983544e+00 
 9.30500000e-11  2.77980114e+00  2.77983276e+00 
 9.40500000e-11  2.77980622e+00  2.77983180e+00 
 9.50500000e-11  2.77980974e+00  2.77983247e+00 
 9.60500000e-11  2.77981183e+00  2.77983463e+00 
 9.70500000e-11  2.77981263e+00  2.77983811e+00 
 9.80500000e-11  2.77981233e+00  2.77984274e+00 
 9.90500000e-11  2.77981111e+00  2.77984831e+00 
 1.00050000e-10  2.77980917e+00  2.77985462e+00 
 1.01050000e-10  2.77980671e+00  2.77986148e+00 
 1.02050000e-10  2.77980391e+00  2.77986867e+00 
 1.03050000e-10  2.77980098e+00  2.77987601e+00 
 1.04050000e-10  2.77979807e+00  2.77988332e+00 
 1.05050000e-10  2.77979535e+00  2.77989044e+00 
 1.06050000e-10  2.77979295e+00  2.77989724e+00 
 1.07050000e-10  2.77979098e+00  2.77990360e+00 
 1.08050000e-10  2.77978954e+00  2.77990942e+00 
 1.09050000e-10  2.77978870e+00  2.77991463e+00 
 1.10050000e-10  2.77978851e+00  2.77991920e+00 
 1.11050000e-10  2.77978898e+00  2.77992309e+00 
 1.12050000e-10  2.77979013e+00  2.77992629e+00 
 1.13050000e-10  2.77979195e+00  2.77992884e+00 
 1.14050000e-10  2.77979439e+00  2.77993075e+00 
 1.15050000e-10  2.77979743e+00  2.77993208e+00 
 1.16050000e-10  2.77980099e+00  2.77993288e+00 
 1.17050000e-10  2.77980502e+00  2.77993322e+00 
 1.18050000e-10  2.77980944e+00  2.77993317e+00 
 1.19000000e-10  2.77981394e+00  2.77993284e+00 
 1.19100000e-10  2.77981443e+00  2.77993279e+00 
 1.19300000e-10  2.77981542e+00  2.77993268e+00 
 1.19650000e-10  2.77981717e+00  2.77993247e+00 
 1.20000000e-10  2.77981894e+00  2.77993224e+00 
 1.20067666e-10  2.77981928e+00  2.77993220e+00 
 1.20202998e-10  2.77981998e+00  2.77993210e+00 
 1.20473663e-10  2.77982137e+00  2.77993190e+00 
 1.21014992e-10  2.77982417e+00  2.77993148e+00 
 1.22014992e-10  2.77982939e+00  2.77993065e+00 
 1.23014992e-10  2.77983450e+00  2.77992993e+00 
 1.24014992e-10  2.77983902e+00  2.77992981e+00 
 1.25014992e-10  2.77984174e+00  2.77993154e+00 
 1.26014992e-10  2.77984019e+00  2.77993759e+00 
 1.27014992e-10  2.77983027e+00  2.77995207e+00 
 1.28014992e-10  2.77980647e+00  2.77998050e+00 
 1.29014992e-10  2.77976302e+00  2.78002871e+00 
 1.30014992e-10  2.77969623e+00  2.78010051e+00 
 1.31014992e-10  2.77960811e+00  2.78019406e+00 
 1.32014992e-10  2.77951091e+00  2.78029736e+00 
 1.33014992e-10  2.77943202e+00  2.78038324e+00 
 1.34014992e-10  2.77941847e+00  2.78040470e+00 
 1.35014992e-10  2.77954021e+00  2.78029121e+00 
 1.36014992e-10  2.77989144e+00  2.77994679e+00 
