 time            v(bufinp)       v(bufinn)       v(outp)         v(outn)        
 0.00000000e+00  1.80000000e+00  1.80000000e+00  2.71959726e+00  2.71959726e+00 
 5.00000000e-15  1.80000314e+00  1.79999686e+00  2.71959950e+00  2.71959501e+00 
 1.00000000e-14  1.80000628e+00  1.79999372e+00  2.71960222e+00  2.71959229e+00 
 2.00000000e-14  1.80001257e+00  1.79998743e+00  2.71960798e+00  2.71958654e+00 
 4.00000000e-14  1.80002513e+00  1.79997487e+00  2.71961958e+00  2.71957493e+00 
 8.00000000e-14  1.80005027e+00  1.79994973e+00  2.71964089e+00  2.71955362e+00 
 1.60000000e-13  1.80010053e+00  1.79989947e+00  2.71967670e+00  2.71951782e+00 
 3.20000000e-13  1.80020106e+00  1.79979894e+00  2.71972090e+00  2.71947360e+00 
 6.40000000e-13  1.80040212e+00  1.79959788e+00  2.71971257e+00  2.71948189e+00 
 1.14000000e-12  1.80071628e+00  1.79928372e+00  2.71951103e+00  2.71968318e+00 
 1.64000000e-12  1.80103042e+00  1.79896958e+00  2.71918209e+00  2.72001153e+00 
 2.14000000e-12  1.80134456e+00  1.79865544e+00  2.71882053e+00  2.72037204e+00 
 2.64000000e-12  1.80165868e+00  1.79834132e+00  2.71847359e+00  2.72071749e+00 
 3.14000000e-12  1.80197279e+00  1.79802721e+00  2.71814804e+00  2.72104112e+00 
 3.64000000e-12  1.80228688e+00  1.79771312e+00  2.71782834e+00  2.72135853e+00 
 4.14000000e-12  1.80260095e+00  1.79739905e+00  2.71749243e+00  2.72169180e+00 
 4.64000000e-12  1.80291499e+00  1.79708501e+00  2.71712271e+00  2.72205861e+00 
 5.14000000e-12  1.80322900e+00  1.79677100e+00  2.71671003e+00  2.72246815e+00 
 5.64000000e-12  1.80354297e+00  1.79645703e+00  2.71625415e+00  2.72292080e+00 
 6.14000000e-12  1.80385692e+00  1.79614308e+00  2.71576083e+00  2.72341093e+00 
 6.64000000e-12  1.80417082e+00  1.79582918e+00  2.71523910e+00  2.72392968e+00 
 7.14000000e-12  1.80448469e+00  1.79551531e+00  2.71469814e+00  2.72446796e+00 
 7.64000000e-12  1.80479851e+00  1.79520149e+00  2.71414594e+00  2.72501790e+00 
 8.14000000e-12  1.80511228e+00  1.79488772e+00  2.71358810e+00  2.72557388e+00 
 8.64000000e-12  1.80542601e+00  1.79457399e+00  2.71302821e+00  2.72613230e+00 
 9.14000000e-12  1.80573968e+00  1.79426032e+00  2.71246796e+00  2.72669147e+00 
 9.64000000e-12  1.80605329e+00  1.79394671e+00  2.71190801e+00  2.72725072e+00 
 1.01400000e-11  1.80636684e+00  1.79363316e+00  2.71134827e+00  2.72781017e+00 
 1.06400000e-11  1.80668033e+00  1.79331967e+00  2.71078855e+00  2.72836999e+00 
 1.11400000e-11  1.80699375e+00  1.79300625e+00  2.71022856e+00  2.72893051e+00 
 1.16400000e-11  1.80730711e+00  1.79269289e+00  2.70966827e+00  2.72949172e+00 
 1.21400000e-11  1.80762039e+00  1.79237961e+00  2.70910763e+00  2.73005366e+00 
 1.26400000e-11  1.80793360e+00  1.79206640e+00  2.70854681e+00  2.73061609e+00 
 1.31400000e-11  1.80824673e+00  1.79175327e+00  2.70798590e+00  2.73117888e+00 
 1.36400000e-11  1.80855978e+00  1.79144022e+00  2.70742510e+00  2.73174177e+00 
 1.41400000e-11  1.80887274e+00  1.79112726e+00  2.70686449e+00  2.73230467e+00 
 1.46400000e-11  1.80918562e+00  1.79081438e+00  2.70630420e+00  2.73286742e+00 
 1.51400000e-11  1.80949840e+00  1.79050160e+00  2.70574421e+00  2.73343002e+00 
 1.56400000e-11  1.80981109e+00  1.79018891e+00  2.70518460e+00  2.73399237e+00 
 1.61400000e-11  1.81012369e+00  1.78987631e+00  2.70462530e+00  2.73455451e+00 
 1.66400000e-11  1.81043618e+00  1.78956382e+00  2.70406632e+00  2.73511639e+00 
 1.71400000e-11  1.81074857e+00  1.78925143e+00  2.70350761e+00  2.73567806e+00 
 1.76400000e-11  1.81106086e+00  1.78893914e+00  2.70294918e+00  2.73623945e+00 
 1.81400000e-11  1.81137304e+00  1.78862696e+00  2.70239099e+00  2.73680062e+00 
 1.86400000e-11  1.81168510e+00  1.78831490e+00  2.70183307e+00  2.73736151e+00 
 1.91400000e-11  1.81199705e+00  1.78800295e+00  2.70127537e+00  2.73792216e+00 
 1.96400000e-11  1.81230888e+00  1.78769112e+00  2.70071794e+00  2.73848252e+00 
 2.01400000e-11  1.81262059e+00  1.78737941e+00  2.70016073e+00  2.73904263e+00 
 2.06400000e-11  1.81293217e+00  1.78706783e+00  2.69960379e+00  2.73960242e+00 
 2.11400000e-11  1.81324363e+00  1.78675637e+00  2.69904707e+00  2.74016194e+00 
 2.16400000e-11  1.81355496e+00  1.78644504e+00  2.69849062e+00  2.74072113e+00 
 2.21400000e-11  1.81386615e+00  1.78613385e+00  2.69793439e+00  2.74128002e+00 
 2.26400000e-11  1.81417720e+00  1.78582280e+00  2.69737843e+00  2.74183858e+00 
 2.31400000e-11  1.81448812e+00  1.78551188e+00  2.69682271e+00  2.74239684e+00 
 2.36400000e-11  1.81479889e+00  1.78520111e+00  2.69626725e+00  2.74295474e+00 
 2.41400000e-11  1.81510952e+00  1.78489048e+00  2.69571203e+00  2.74351233e+00 
 2.46400000e-11  1.81542000e+00  1.78458000e+00  2.69515709e+00  2.74406956e+00 
 2.51400000e-11  1.81573032e+00  1.78426968e+00  2.69460239e+00  2.74462646e+00 
 2.56400000e-11  1.81604049e+00  1.78395951e+00  2.69404797e+00  2.74518299e+00 
 2.61400000e-11  1.81635050e+00  1.78364950e+00  2.69349381e+00  2.74573917e+00 
 2.66400000e-11  1.81666035e+00  1.78333965e+00  2.69293993e+00  2.74629497e+00 
 2.71400000e-11  1.81697004e+00  1.78302996e+00  2.69238632e+00  2.74685041e+00 
 2.76400000e-11  1.81727956e+00  1.78272044e+00  2.69183300e+00  2.74740546e+00 
 2.81400000e-11  1.81758891e+00  1.78241109e+00  2.69127996e+00  2.74796013e+00 
 2.86400000e-11  1.81789808e+00  1.78210192e+00  2.69072723e+00  2.74851440e+00 
 2.91400000e-11  1.81820708e+00  1.78179292e+00  2.69017477e+00  2.74906828e+00 
 2.96400000e-11  1.81851590e+00  1.78148410e+00  2.68962264e+00  2.74962174e+00 
 3.01400000e-11  1.81882453e+00  1.78117547e+00  2.68907079e+00  2.75017480e+00 
 3.06400000e-11  1.81913298e+00  1.78086702e+00  2.68851927e+00  2.75072742e+00 
 3.11400000e-11  1.81944124e+00  1.78055876e+00  2.68796806e+00  2.75127964e+00 
 3.16400000e-11  1.81974931e+00  1.78025069e+00  2.68741718e+00  2.75183141e+00 
 3.21400000e-11  1.82005718e+00  1.77994282e+00  2.68686662e+00  2.75238275e+00 
 3.26400000e-11  1.82036486e+00  1.77963514e+00  2.68631640e+00  2.75293364e+00 
 3.31400000e-11  1.82067233e+00  1.77932767e+00  2.68576651e+00  2.75348408e+00 
 3.36400000e-11  1.82097960e+00  1.77902040e+00  2.68521697e+00  2.75403406e+00 
 3.41400000e-11  1.82128667e+00  1.77871333e+00  2.68466778e+00  2.75458358e+00 
 3.46400000e-11  1.82159352e+00  1.77840648e+00  2.68411895e+00  2.75513262e+00 
 3.51400000e-11  1.82190016e+00  1.77809984e+00  2.68357047e+00  2.75568119e+00 
 3.56400000e-11  1.82220659e+00  1.77779341e+00  2.68302237e+00  2.75622926e+00 
 3.61400000e-11  1.82251279e+00  1.77748721e+00  2.68247464e+00  2.75677686e+00 
 3.66400000e-11  1.82281877e+00  1.77718123e+00  2.68192729e+00  2.75732395e+00 
 3.71400000e-11  1.82312453e+00  1.77687547e+00  2.68138031e+00  2.75787054e+00 
 3.76400000e-11  1.82343006e+00  1.77656994e+00  2.68083374e+00  2.75841661e+00 
 3.81400000e-11  1.82373536e+00  1.77626464e+00  2.68028755e+00  2.75896217e+00 
 3.86400000e-11  1.82404042e+00  1.77595958e+00  2.67974177e+00  2.75950720e+00 
 3.91400000e-11  1.82434525e+00  1.77565475e+00  2.67919640e+00  2.76005171e+00 
 3.96400000e-11  1.82464984e+00  1.77535016e+00  2.67865144e+00  2.76059567e+00 
 4.01400000e-11  1.82495418e+00  1.77504582e+00  2.67810690e+00  2.76113910e+00 
 4.06400000e-11  1.82525828e+00  1.77474172e+00  2.67756279e+00  2.76168197e+00 
 4.11400000e-11  1.82556212e+00  1.77443788e+00  2.67701911e+00  2.76222429e+00 
 4.16400000e-11  1.82586572e+00  1.77413428e+00  2.67647587e+00  2.76276604e+00 
 4.21400000e-11  1.82616906e+00  1.77383094e+00  2.67593308e+00  2.76330724e+00 
 4.26400000e-11  1.82647214e+00  1.77352786e+00  2.67539074e+00  2.76384785e+00 
 4.31400000e-11  1.82677496e+00  1.77322504e+00  2.67484885e+00  2.76438788e+00 
 4.36400000e-11  1.82707752e+00  1.77292248e+00  2.67430743e+00  2.76492733e+00 
 4.41400000e-11  1.82737981e+00  1.77262019e+00  2.67376647e+00  2.76546618e+00 
 4.46400000e-11  1.82768183e+00  1.77231817e+00  2.67322600e+00  2.76600443e+00 
 4.51400000e-11  1.82798357e+00  1.77201643e+00  2.67268601e+00  2.76654208e+00 
 4.56400000e-11  1.82828504e+00  1.77171496e+00  2.67214651e+00  2.76707912e+00 
 4.61400000e-11  1.82858623e+00  1.77141377e+00  2.67160750e+00  2.76761554e+00 
 4.66400000e-11  1.82888714e+00  1.77111286e+00  2.67106900e+00  2.76815133e+00 
 4.71400000e-11  1.82918776e+00  1.77081224e+00  2.67053099e+00  2.76868649e+00 
 4.76400000e-11  1.82948810e+00  1.77051190e+00  2.66999352e+00  2.76922102e+00 
 4.81400000e-11  1.82978814e+00  1.77021186e+00  2.66945655e+00  2.76975491e+00 
 4.86400000e-11  1.83008789e+00  1.76991211e+00  2.66892012e+00  2.77028814e+00 
 4.91400000e-11  1.83038734e+00  1.76961266e+00  2.66838422e+00  2.77082073e+00 
 4.96400000e-11  1.83068650e+00  1.76931350e+00  2.66784887e+00  2.77135265e+00 
 5.01400000e-11  1.83098535e+00  1.76901465e+00  2.66731405e+00  2.77188391e+00 
 5.06400000e-11  1.83128389e+00  1.76871611e+00  2.66677980e+00  2.77241450e+00 
 5.11400000e-11  1.83158213e+00  1.76841787e+00  2.66624610e+00  2.77294441e+00 
 5.16400000e-11  1.83188005e+00  1.76811995e+00  2.66571298e+00  2.77347363e+00 
 5.21400000e-11  1.83217766e+00  1.76782234e+00  2.66518042e+00  2.77400217e+00 
 5.26400000e-11  1.83247495e+00  1.76752505e+00  2.66464845e+00  2.77453001e+00 
 5.31400000e-11  1.83277192e+00  1.76722808e+00  2.66411706e+00  2.77505715e+00 
 5.36400000e-11  1.83306857e+00  1.76693143e+00  2.66358627e+00  2.77558358e+00 
 5.41400000e-11  1.83336489e+00  1.76663511e+00  2.66305608e+00  2.77610931e+00 
 5.46400000e-11  1.83366088e+00  1.76633912e+00  2.66252650e+00  2.77663431e+00 
 5.51400000e-11  1.83395654e+00  1.76604346e+00  2.66199752e+00  2.77715859e+00 
 5.56400000e-11  1.83425187e+00  1.76574813e+00  2.66146917e+00  2.77768214e+00 
 5.61400000e-11  1.83454685e+00  1.76545315e+00  2.66094144e+00  2.77820496e+00 
 5.66400000e-11  1.83484150e+00  1.76515850e+00  2.66041435e+00  2.77872703e+00 
 5.71400000e-11  1.83513580e+00  1.76486420e+00  2.65988790e+00  2.77924836e+00 
