 frequency       v(finalp,finaln) v(finalp,finaln) v(v1p,v1n)      v(v1p,v1n)      v(vga1p,vga1n)  v(vga1p,vga1n)  v(v2p,v2n)      v(v2p,v2n)      v(vga2p,vga2n)  v(vga2p,vga2n)  v(bufinp,bufinn) v(bufinp,bufinn) v(outp,outn)    v(outp,outn)   
 1.00000000e+06 -7.66873553e+01  5.08556574e+03 -5.91104964e+02 -2.35790040e+02  1.28362364e+03  5.07736293e+02  9.27164556e+02  8.75413342e+02 -3.11644088e+03 -2.89717612e+03  4.29705010e+01 -2.84557814e+03 -7.68305359e+01  5.09370134e+03 
 1.02329299e+06  6.25917927e+01  5.18099583e+03 -5.94780827e+02 -2.31854408e+02  1.29149097e+03  4.99215436e+02  9.46590000e+02  8.66089685e+02 -3.18049816e+03 -2.86500524e+03 -3.49592123e+01 -2.89897681e+03  6.26705603e+01  5.18928465e+03 
 1.04712855e+06  2.05660258e+02  5.27170860e+03 -5.98334184e+02 -2.27929024e+02  1.29909476e+03  4.90719598e+02  9.65526558e+02  8.56451088e+02 -3.24287926e+03 -2.83181738e+03 -1.15009173e+02 -2.94973607e+03  2.05967026e+02  5.28014316e+03 
 1.07151931e+06  3.52239714e+02  5.35753929e+03 -6.01767477e+02 -2.24017429e+02  1.30644038e+03  4.82256294e+02  9.83971254e+02  8.46524074e+02 -3.30357663e+03 -2.79770313e+03 -1.97023650e+02 -2.99776374e+03  3.52780091e+02  5.36611182e+03 
 1.09647820e+06  5.02044096e+02  5.43834264e+03 -6.05083233e+02 -2.20122965e+02  1.31353337e+03  4.73832608e+02  1.00192253e+03  8.36334511e+02 -3.36258754e+03 -2.76275067e+03 -2.80842582e+02 -3.04297854e+03  5.02823235e+02  5.44704513e+03 
 1.12201845e+06  6.54781169e+02  5.51399317e+03 -6.08284047e+02 -2.16248774e+02  1.32037939e+03  4.65455190e+02  1.01938014e+03  8.25907551e+02 -3.41991376e+03 -2.72704563e+03 -3.66302455e+02 -3.08531027e+03  6.55803756e+02  5.52281744e+03 
 1.14815362e+06  8.10154088e+02  5.58438541e+03 -6.11372575e+02 -2.12397802e+02  1.32698425e+03  4.57130272e+02  1.03634509e+03  8.15267582e+02 -3.47556124e+03 -2.69067090e+03 -4.53237176e+02 -3.12469990e+03  8.11424334e+02  5.59332307e+03 
 1.17489755e+06  9.67862949e+02  5.64943385e+03 -6.14351519e+02 -2.08572803e+02  1.33335381e+03  4.48863671e+02  1.05281953e+03  8.04438178e+02 -3.52953982e+03 -2.65370645e+03 -5.41478941e+02 -3.16109960e+03  9.69384588e+02  5.65847642e+03 
 1.20226443e+06  1.12760632e+03  5.70907294e+03 -6.17223616e+02 -2.04776344e+02  1.33949405e+03  4.40660803e+02  1.06880664e+03  7.93442071e+02 -3.58186288e+03 -2.61622924e+03 -6.30859091e+02 -3.19447269e+03  1.12938261e+03  5.71821179e+03 
 1.23026877e+06  1.28908274e+03  5.76325678e+03 -6.19991630e+02 -2.01010809e+02  1.34541096e+03  4.32526692e+02  1.08431058e+03  7.82301120e+02 -3.63254704e+03 -2.57831314e+03 -7.21208946e+02 -3.22479349e+03  1.29111644e+03  5.77248324e+03 
 1.25892541e+06  1.45199214e+03  5.81195882e+03 -6.22658339e+02 -1.97278404e+02  1.35111056e+03  4.24465982e+02  1.09933639e+03  7.71036290e+02 -3.68161186e+03 -2.54002882e+03 -8.12360614e+02 -3.25204714e+03  1.45428555e+03  5.82126418e+03 
 1.28824955e+06  1.61603726e+03  5.85517141e+03 -6.25226531e+02 -1.93581164e+02  1.35659891e+03  4.16482947e+02  1.11388992e+03  7.59667641e+02 -3.72907957e+03 -2.50144377e+03 -9.04147768e+02 -3.27622936e+03  1.61859220e+03  5.86454692e+03 
 1.31825674e+06  1.78092496e+03  5.89290521e+03 -6.27698990e+02 -1.89920957e+02  1.36188202e+03  4.08581508e+02  1.12797770e+03  7.48214316e+02 -3.77497475e+03 -2.46262223e+03 -9.96406388e+02 -3.29734613e+03  1.78374278e+03  5.90234216e+03 
 1.34896288e+06  1.94636746e+03  5.92518855e+03 -6.30078495e+02 -1.86299493e+02  1.36696591e+03  4.00765244e+02  1.14160694e+03  7.36694544e+02 -3.81932410e+03 -2.42362519e+03 -1.08897545e+03 -3.31541328e+03  1.94944906e+03  5.93467827e+03 
 1.38038426e+06  2.11208353e+03  5.95206668e+03 -6.32367808e+02 -1.82718325e+02  1.37185655e+03  3.93037406e+02  1.15478538e+03  7.25125636e+02 -3.86215615e+03 -2.38451045e+03 -1.18169760e+03 -3.33045614e+03  2.11542933e+03  5.96160056e+03 
 1.41253754e+06  2.27779951e+03  5.97360094e+03 -6.34569668e+02 -1.79178861e+02  1.37655985e+03  3.85400929e+02  1.16752129e+03  7.13523997e+02 -3.90350104e+03 -2.34533259e+03 -1.27441972e+03 -3.34250904e+03  2.28140953e+03  5.98317049e+03 
 1.44543977e+06  2.44325037e+03  5.98986786e+03 -6.36686791e+02 -1.75682366e+02  1.38108167e+03  3.77858447e+02  1.17982334e+03  7.01905135e+02 -3.94339029e+03 -2.30614305e+03 -1.36699351e+03 -3.35161479e+03  2.44712419e+03  5.99946469e+03 
 1.47910839e+06  2.60818053e+03  6.00095823e+03 -6.38721858e+02 -1.72229973e+02  1.38542780e+03  3.70412309e+02  1.19170059e+03  6.90283675e+02 -3.98185655e+03 -2.26699018e+03 -1.45927598e+03 -3.35782421e+03  2.61231733e+03  6.01057412e+03 
 1.51356125e+06  2.77234470e+03  6.00697608e+03 -6.40677514e+02 -1.68822684e+02  1.38960393e+03  3.63064587e+02  1.20316240e+03  6.78673374e+02 -4.01893344e+03 -2.22791931e+03 -1.55112987e+03 -3.36119549e+03  2.77674326e+03  6.01660297e+03 
 1.54881662e+06  2.93550851e+03  6.00803767e+03 -6.42556363e+02 -1.65461379e+02  1.39361568e+03  3.55817097e+02  1.21421839e+03  6.67087145e+02 -4.05465534e+03 -2.18897280e+03 -1.64242404e+03 -3.36179368e+03  2.94016724e+03  6.01766766e+03 
 1.58489319e+06  3.09744914e+03  6.00427038e+03 -6.44360966e+02 -1.62146823e+02  1.39746854e+03  3.48671405e+02  1.22487838e+03  6.55537078e+02 -4.08905720e+03 -2.15019015e+03 -1.73303383e+03 -3.35969007e+03  3.10236609e+03  6.01389581e+03 
 1.62181010e+06  3.25795578e+03  5.99581169e+03 -6.46093837e+02 -1.58879670e+02  1.40116794e+03  3.41628847e+02  1.23515235e+03  6.44034459e+02 -4.12217442e+03 -2.11160810e+03 -1.82284128e+03 -3.35496157e+03  3.26312867e+03  6.00542510e+03 
 1.65958691e+06  3.41683001e+03  5.98280806e+03 -6.47757440e+02 -1.55660470e+02  1.40471918e+03  3.34690536e+02  1.24505039e+03  6.32589800e+02 -4.15404264e+03 -2.07326069e+03 -1.91173537e+03 -3.34769014e+03  3.42225625e+03  5.99240223e+03 
 1.69824365e+06  3.57388611e+03  5.96541385e+03 -6.49354185e+02 -1.52489678e+02  1.40812742e+03  3.27857377e+02  1.25458267e+03  6.21212866e+02 -4.18469765e+03 -2.03517937e+03 -1.99961217e+03 -3.33796215e+03  3.57956279e+03  5.97498179e+03 
 1.73780083e+06  3.72895119e+03  5.94379024e+03 -6.50886431e+02 -1.49367652e+02  1.41139774e+03  3.21130081e+02  1.26375937e+03  6.09912698e+02 -4.21417526e+03 -1.99739310e+03 -2.08637497e+03 -3.32586778e+03  3.73487515e+03  5.95332525e+03 
 1.77827941e+06  3.88186538e+03  5.91810422e+03 -6.52356480e+02 -1.46294667e+02  1.41453508e+03  3.14509175e+02  1.27259072e+03  5.98697644e+02 -4.24251116e+03 -1.95992848e+03 -2.17193429e+03 -3.31150048e+03  3.88803319e+03  5.92759984e+03 
 1.81970086e+06  4.03248179e+03  5.88852752e+03 -6.53766578e+02 -1.43270914e+02  1.41754427e+03  3.07995014e+02  1.28108689e+03  5.87575386e+02 -4.26974083e+03 -1.92280982e+03 -2.25620795e+03 -3.29495632e+03  4.03888978e+03  5.89797757e+03 
 1.86208714e+06  4.18066644e+03  5.85523562e+03 -6.55118915e+02 -1.40296510e+02  1.42043000e+03  3.01587790e+02  1.28925799e+03  5.76552970e+02 -4.29589945e+03 -1.88605924e+03 -2.33912099e+03 -3.27633351e+03  4.18731074e+03  5.86463421e+03 
 1.90546072e+06  4.32629817e+03  5.81840681e+03 -6.56415619e+02 -1.37371500e+02  1.42319684e+03  2.95287546e+02  1.29711407e+03  5.65636831e+02 -4.32102184e+03 -1.84969682e+03 -2.42060562e+03 -3.25573179e+03  4.33317471e+03  5.82774834e+03 
 1.94984460e+06  4.46926841e+03  5.77822129e+03 -6.57658763e+02 -1.34495862e+02  1.42584923e+03  2.89094186e+02  1.30466506e+03  5.54832827e+02 -4.34514234e+03 -1.81374065e+03 -2.50060108e+03 -3.23325200e+03  4.47637295e+03  5.78750042e+03 
 1.99526231e+06  4.60948092e+03  5.73486025e+03 -6.58850359e+02 -1.31669513e+02  1.42839149e+03  2.83007481e+02  1.31192079e+03  5.44146263e+02 -4.36829478e+03 -1.77820697e+03 -2.57905353e+03 -3.20899553e+03  4.61680906e+03  5.74407196e+03 
 2.04173794e+06  4.74685148e+03  5.68850512e+03 -6.59992363e+02 -1.28892312e+02  1.43082781e+03  2.77027083e+02  1.31889091e+03  5.33581918e+02 -4.39051242e+03 -1.74311025e+03 -2.65591584e+03 -3.18306388e+03  4.75439870e+03  5.69764466e+03 
 2.08929613e+06  4.88130751e+03  5.63933677e+03 -6.61086671e+02 -1.26164065e+02  1.43316224e+03  2.71152532e+02  1.32558497e+03  5.23144076e+02 -4.41182789e+03 -1.70846329e+03 -2.73114740e+03 -3.15555827e+03  4.88906916e+03  5.64839970e+03 
 2.13796209e+06  5.01278769e+03  5.58753483e+03 -6.62135119e+02 -1.23484530e+02  1.43539873e+03  2.65383264e+02  1.33201230e+03  5.12836551e+02 -4.43227316e+03 -1.67427734e+03 -2.80471390e+03 -3.12657920e+03  5.02075901e+03  5.59651697e+03 
 2.18776162e+06  5.14124148e+03  5.53327699e+03 -6.63139489e+02 -1.20853419e+02  1.43754109e+03  2.59718621e+02  1.33818209e+03  5.02662710e+02 -4.45187949e+03 -1.64056215e+03 -2.87658707e+03 -3.09622610e+03  5.14941766e+03  5.54217447e+03 
