 frequency       v(finalp,finaln) v(finalp,finaln) v(v1p,v1n)      v(v1p,v1n)      v(vga1p,vga1n)  v(vga1p,vga1n)  v(v2p,v2n)      v(v2p,v2n)      v(vga2p,vga2n)  v(vga2p,vga2n)  v(bufinp,bufinn) v(bufinp,bufinn) v(outp,outn)    v(outp,outn)   
 1.00000000e+06 -9.38291954e+01  6.22590848e+03 -5.91104990e+02 -2.35790044e+02  1.35720347e+03  5.36839566e+02  9.80312089e+02  9.25592891e+02 -3.81527448e+03 -3.54678006e+03  5.25756925e+01 -3.48364568e+03 -9.40043954e+01  6.23586833e+03 
 1.02329299e+06  7.66816745e+01  6.34273427e+03 -5.94780853e+02 -2.31854412e+02  1.36552173e+03  5.27830284e+02  1.00085100e+03  9.15734769e+02 -3.89369431e+03 -3.50739412e+03 -4.28288487e+01 -3.54901647e+03  7.67781920e+01  6.35288171e+03 
 1.04712855e+06  2.51831402e+02  6.45378489e+03 -5.98334210e+02 -2.27929027e+02  1.37356136e+03  5.18847455e+02  1.02087301e+03  9.05543658e+02 -3.97006206e+03 -3.46676321e+03 -1.40828983e+02 -3.61115599e+03  2.52207046e+02  6.46411074e+03 
 1.07151931e+06  4.31279244e+02  6.55885865e+03 -6.01767503e+02 -2.24017432e+02  1.38132802e+03  5.09899028e+02  1.04037496e+03  8.95047598e+02 -4.04436848e+03 -3.42499821e+03 -2.41234055e+02 -3.66995137e+03  4.31940882e+02  6.56935339e+03 
 1.09647820e+06  6.14674989e+02  6.65777771e+03 -6.05083259e+02 -2.20122968e+02  1.38882756e+03  5.00992488e+02  1.05935520e+03  8.84273940e+02 -4.11661024e+03 -3.38220712e+03 -3.43848113e+02 -3.72530310e+03  6.15628927e+02  6.66843156e+03 
 1.12201845e+06  8.01660869e+02  6.75038848e+03 -6.08284073e+02 -2.16248777e+02  1.39606599e+03  4.92134870e+02  1.07781348e+03  8.73249279e+02 -4.18678950e+03 -3.33849476e+03 -4.48470974e+02 -3.77712526e+03  8.02912843e+02  6.76119140e+03 
 1.14815362e+06  9.91873471e+02  6.83656184e+03 -6.11372601e+02 -2.12397805e+02  1.40304941e+03  4.83332762e+02  1.09575087e+03  8.61999399e+02 -4.25491356e+03 -3.29396259e+03 -5.54899300e+02 -3.82534559e+03  9.93428638e+02  6.84750358e+03 
 1.17489755e+06  1.18494565e+03  6.91619313e+03 -6.14351545e+02 -2.08572806e+02  1.40978407e+03  4.74592315e+02  1.11316961e+03  8.50549228e+02 -4.32099446e+03 -3.24870853e+03 -6.62927659e+02 -3.86990554e+03  1.18680858e+03  6.92726329e+03 
 1.20226443e+06  1.38050837e+03  6.98920210e+03 -6.17223642e+02 -2.04776347e+02  1.41627625e+03  4.65919254e+02  1.13007310e+03  8.38922799e+02 -4.38504858e+03 -3.20282679e+03 -7.72349572e+02 -3.91076020e+03  1.38268304e+03  7.00039013e+03 
 1.23026877e+06  1.57819257e+03  7.05553258e+03 -6.19991656e+02 -2.01010812e+02  1.42253230e+03  4.57318892e+02  1.14646573e+03  8.27143224e+02 -4.44709628e+03 -3.15640779e+03 -8.82958536e+02 -3.94787815e+03  1.58068239e+03  7.06682786e+03 
 1.25892541e+06  1.77763092e+03  7.11515207e+03 -6.22658365e+02 -1.97278407e+02  1.42855859e+03  4.48796137e+02  1.16235282e+03  8.15232671e+02 -4.50716152e+03 -3.10953809e+03 -9.94549014e+02 -3.98124120e+03  1.78043867e+03  7.12654392e+03 
