 frequency       v(finalp,finaln) v(finalp,finaln) v(v1p,v1n)      v(v1p,v1n)      v(vga1p,vga1n)  v(vga1p,vga1n)  v(v2p,v2n)      v(v2p,v2n)      v(vga2p,vga2n)  v(vga2p,vga2n)  v(bufinp,bufinn) v(bufinp,bufinn) v(outp,outn)    v(outp,outn)   
 1.00000000e+06 -8.97525197e+01  5.95462808e+03 -5.91104982e+02 -2.35790043e+02  1.33923465e+03  5.29732311e+02  9.67332989e+02  9.13338619e+02 -3.64902564e+03 -3.39224413e+03  5.02913831e+01 -3.33185340e+03 -8.99201045e+01  5.96415395e+03 
 1.62181010e+06  3.81473257e+03  7.02037952e+03 -6.46093855e+02 -1.58879671e+02  1.46187100e+03  3.56428705e+02  1.28866340e+03  6.71935588e+02 -4.82660504e+03 -2.47241972e+03 -2.13436047e+03 -3.92825937e+03  3.82078950e+03  7.03163567e+03 
 1.65958691e+06  4.00075497e+03  7.00515199e+03 -6.47757457e+02 -1.55660472e+02  1.46557607e+03  3.49189813e+02  1.29899024e+03  6.59995114e+02 -4.86391804e+03 -2.42751907e+03 -2.23844463e+03 -3.91974438e+03  4.00710853e+03  7.01638561e+03 
 1.69824365e+06  4.18464845e+03  6.98478367e+03 -6.49354203e+02 -1.52489679e+02  1.46913195e+03  3.42060629e+02  1.30893547e+03  6.48125299e+02 -4.89981052e+03 -2.38293003e+03 -2.34133762e+03 -3.90835307e+03  4.19129525e+03  6.99598658e+03 
 1.73780083e+06  4.36621062e+03  6.95946329e+03 -6.50886448e+02 -1.49367653e+02  1.47254395e+03  3.35041894e+02  1.31850973e+03  6.36335575e+02 -4.93432440e+03 -2.33868650e+03 -2.44292620e+03 -3.89419104e+03  4.37314695e+03  6.97062763e+03 
 1.77827941e+06  4.54525428e+03  6.92938635e+03 -6.52356498e+02 -1.46294668e+02  1.47581720e+03  3.28134159e+02  1.32772367e+03  6.24634653e+02 -4.96750147e+03 -2.29481962e+03 -2.54310561e+03 -3.87736771e+03  4.55247613e+03  6.94050458e+03 
 1.81970086e+06  4.72160743e+03  6.89475395e+03 -6.53766596e+02 -1.43270916e+02  1.47895675e+03  3.21337792e+02  1.33658790e+03  6.13030548e+02 -4.99938328e+03 -2.25135784e+03 -2.64177963e+03 -3.85799558e+03  4.72911050e+03  6.90581882e+03 
 1.86208714e+06  4.89511322e+03  6.85577155e+03 -6.55118932e+02 -1.40296512e+02  1.48196749e+03  3.14652996e+02  1.34511299e+03  6.01530610e+02 -5.03001105e+03 -2.20832709e+03 -2.73886049e+03 -3.83618961e+03  4.90289299e+03  6.86677617e+03 
 1.90546072e+06  5.06562979e+03  6.81264792e+03 -6.56415636e+02 -1.37371502e+02  1.48485418e+03  3.08079815e+02  1.35330940e+03  5.90141554e+02 -5.05942551e+03 -2.16575085e+03 -2.83426881e+03 -3.81206663e+03  5.07368148e+03  6.82358571e+03 
 1.94984460e+06  5.23303002e+03  6.76559404e+03 -6.57658780e+02 -1.34495864e+02  1.48762148e+03  3.01618147e+02  1.36118752e+03  5.78869492e+02 -5.08766688e+03 -2.12365032e+03 -2.92793346e+03 -3.78574468e+03  5.24134866e+03  6.77645877e+03 
 1.99526231e+06  5.39720122e+03  6.71482207e+03 -6.58850377e+02 -1.31669515e+02  1.49027387e+03  2.95267756e+02  1.36875757e+03  5.67719956e+02 -5.11477479e+03 -2.08204451e+03 -3.01979141e+03 -3.75734248e+03  5.40578168e+03  6.72560786e+03 
 2.04173794e+06  5.55804479e+03  6.66054445e+03 -6.59992381e+02 -1.28892313e+02  1.49281572e+03  2.89028277e+02  1.37602965e+03  5.56697936e+02 -5.14078817e+03 -2.04095035e+03 -3.10978746e+03 -3.72697889e+03  5.56688176e+03  6.67124574e+03 
 2.08929613e+06  5.71547576e+03  6.60297295e+03 -6.61086688e+02 -1.26164067e+02  1.49525128e+03  2.82899230e+02  1.38301370e+03  5.45807899e+02 -5.16574522e+03 -2.00038284e+03 -3.19787408e+03 -3.69477241e+03  5.72456379e+03  6.61358453e+03 
 2.13796209e+06  5.86942232e+03  6.54231789e+03 -6.62135137e+02 -1.23484532e+02  1.49758466e+03  2.76880028e+02  1.38971948e+03  5.35053825e+02 -5.18968339e+03 -1.96035514e+03 -3.28401110e+03 -3.66084072e+03  5.87875586e+03  6.55283488e+03 
 2.18776162e+06  6.01982531e+03  6.47878734e+03 -6.63139506e+02 -1.20853420e+02  1.49981982e+03  2.70969983e+02  1.39615655e+03  5.24439227e+02 -5.21263927e+03 -1.92087866e+03 -3.36816540e+03 -3.62530025e+03  6.02939871e+03  6.48920520e+03 
 2.23872114e+06  6.16663765e+03  6.41258645e+03 -6.64101521e+02 -1.18270403e+02  1.50196062e+03  2.65168316e+02  1.40233429e+03  5.13967182e+02 -5.23464865e+03 -1.88196322e+03 -3.45031065e+03 -3.58826578e+03  6.17644520e+03  6.42290096e+03 
 2.29086765e+06  6.30982380e+03  6.34391681e+03 -6.65022846e+02 -1.15735111e+02  1.50401078e+03  2.59474167e+02  1.40826187e+03  5.03640356e+02 -5.25574639e+03 -1.84361709e+03 -3.53042695e+03 -3.54985012e+03  6.31985970e+03  6.35412408e+03 
 2.34422882e+06  6.44935909e+03  6.27297589e+03 -6.65905095e+02 -1.13247143e+02  1.50597390e+03  2.53886596e+02  1.41394823e+03  4.93461027e+02 -5.27596649e+03 -1.80584713e+03 -3.60850051e+03 -3.51016376e+03  6.45961753e+03  6.28307234e+03 
 2.39883292e+06  6.58522919e+03  6.19995653e+03 -6.66749824e+02 -1.10806065e+02  1.50785346e+03  2.48404597e+02  1.41940211e+03  4.83431110e+02 -5.29534201e+03 -1.76865887e+03 -3.68452331e+03 -3.46931460e+03  6.59570432e+03  6.20993890e+03 
 2.45470892e+06  6.71742942e+03  6.12504654e+03 -6.67558536e+02 -1.08411413e+02  1.50965280e+03  2.43027100e+02  1.42463204e+03  4.73552180e+02 -5.31390511e+03 -1.73205658e+03 -3.75849272e+03 -3.42740772e+03  6.72811538e+03  6.13491186e+03 
