 frequency       v(finalp,finaln) v(finalp,finaln)
 1.00000000e+06  9.20466826e+02  3.21677766e+03 
 1.02329299e+06  1.01584299e+03  3.22991196e+03 
 1.04712855e+06  1.11091181e+03  3.23968000e+03 
 1.07151931e+06  1.20550195e+03  3.24616452e+03 
 1.09647820e+06  1.29945204e+03  3.24945679e+03 
 1.12201845e+06  1.39261089e+03  3.24965555e+03 
 1.14815362e+06  1.48483772e+03  3.24686606e+03 
 1.17489755e+06  1.57600224e+03  3.24119902e+03 
 1.20226443e+06  1.66598466e+03  3.23276966e+03 
 1.23026877e+06  1.75467561e+03  3.22169680e+03 
 1.25892541e+06  1.84197600e+03  3.20810200e+03 
 1.28824955e+06  1.92779678e+03  3.19210874e+03 
 1.31825674e+06  2.01205874e+03  3.17384162e+03 
 1.34896288e+06  2.09469215e+03  3.15342571e+03 
 1.38038426e+06  2.17563642e+03  3.13098590e+03 
 1.41253754e+06  2.25483976e+03  3.10664625e+03 
 1.44543977e+06  2.33225870e+03  3.08052951e+03 
 1.47910839e+06  2.40785774e+03  3.05275664e+03 
 1.51356125e+06  2.48160887e+03  3.02344635e+03 
 1.54881662e+06  2.55349113e+03  2.99271479e+03 
 1.58489319e+06  2.62349016e+03  2.96067515e+03 
 1.62181010e+06  2.69159776e+03  2.92743746e+03 
 1.65958691e+06  2.75781142e+03  2.89310833e+03 
 1.69824365e+06  2.82213392e+03  2.85779073e+03 
 1.73780083e+06  2.88457286e+03  2.82158392e+03 
 1.77827941e+06  2.94514026e+03  2.78458325e+03 
 1.81970086e+06  3.00385215e+03  2.74688015e+03 
 1.86208714e+06  3.06072820e+03  2.70856203e+03 
 1.90546072e+06  3.11579135e+03  2.66971229e+03 
 1.94984460e+06  3.16906740e+03  2.63041030e+03 
 1.99526231e+06  3.22058478e+03  2.59073142e+03 
 2.04173794e+06  3.27037411e+03  2.55074708e+03 
 2.08929613e+06  3.31846802e+03  2.51052476e+03 
 2.13796209e+06  3.36490077e+03  2.47012814e+03 
 2.18776162e+06  3.40970807e+03  2.42961716e+03 
 2.23872114e+06  3.45292679e+03  2.38904807e+03 
 2.29086765e+06  3.49459475e+03  2.34847360e+03 
 2.34422882e+06  3.53475049e+03  2.30794304e+03 
 2.39883292e+06  3.57343315e+03  2.26750232e+03 
 2.45470892e+06  3.61068219e+03  2.22719421e+03 
 2.51188643e+06  3.64653732e+03  2.18705837e+03 
 2.57039578e+06  3.68103831e+03  2.14713151e+03 
 2.63026799e+06  3.71422488e+03  2.10744750e+03 
 2.69153480e+06  3.74613656e+03  2.06803750e+03 
 2.75422870e+06  3.77681261e+03  2.02893012e+03 
 2.81838293e+06  3.80629189e+03  1.99015146e+03 
 2.88403150e+06  3.83461282e+03  1.95172532e+03 
 2.95120923e+06  3.86181326e+03  1.91367327e+03 
 3.01995172e+06  3.88793050e+03  1.87601479e+03 
 3.09029543e+06  3.91300115e+03  1.83876736e+03 
 3.16227766e+06  3.93706113e+03  1.80194658e+03 
 3.23593657e+06  3.96014560e+03  1.76556631e+03 
 3.31131121e+06  3.98228895e+03  1.72963872e+03 
 3.38844156e+06  4.00352477e+03  1.69417441e+03 
 3.46736850e+06  4.02388580e+03  1.65918254e+03 
 3.54813389e+06  4.04340396e+03  1.62467088e+03 
 3.63078055e+06  4.06211030e+03  1.59064589e+03 
 3.71535229e+06  4.08003499e+03  1.55711286e+03 
 3.80189396e+06  4.09720736e+03  1.52407593e+03 
 3.89045145e+06  4.11365584e+03  1.49153821e+03 
 3.98107171e+06  4.12940799e+03  1.45950183e+03 
 4.07380278e+06  4.14449052e+03  1.42796801e+03 
 4.16869383e+06  4.15892927e+03  1.39693713e+03 
 4.26579519e+06  4.17274923e+03  1.36640881e+03 
 4.36515832e+06  4.18597455e+03  1.33638193e+03 
