 frequency       v(finalp,finaln) v(finalp,finaln)
 1.04712855e+07 -1.72212801e+03  2.70030601e+00 
 1.07151931e+07 -1.72208170e+03  2.89720339e+00 
 1.09647820e+07 -1.72203341e+03  3.09468462e+00 
 1.12201845e+07 -1.72198306e+03  3.29279345e+00 
 1.14815362e+07 -1.72193059e+03  3.49157041e+00 
 1.17489755e+07 -1.72187591e+03  3.69105263e+00 
 1.20226443e+07 -1.72181894e+03  3.89127373e+00 
 1.23026877e+07 -1.72175961e+03  4.09226362e+00 
 1.25892541e+07 -1.72169784e+03  4.29404837e+00 
 1.28824955e+07 -1.72163354e+03  4.49665001e+00 
 1.31825674e+07 -1.72156663e+03  4.70008638e+00 
 1.34896288e+07 -1.72149702e+03  4.90437097e+00 
 1.38038426e+07 -1.72142464e+03  5.10951271e+00 
 1.41253754e+07 -1.72134938e+03  5.31551580e+00 
 1.44543977e+07 -1.72127117e+03  5.52237957e+00 
 1.47910839e+07 -1.72118992e+03  5.73009825e+00 
 1.51356125e+07 -1.72110553e+03  5.93866085e+00 
 1.54881662e+07 -1.72101793e+03  6.14805096e+00 
 1.58489319e+07 -1.72092701e+03  6.35824659e+00 
 1.62181010e+07 -1.72083270e+03  6.56922004e+00 
 1.65958691e+07 -1.72073490e+03  6.78093773e+00 
 1.69824365e+07 -1.72063353e+03  6.99336010e+00 
 1.73780083e+07 -1.72052851e+03  7.20644144e+00 
 1.77827941e+07 -1.72041975e+03  7.42012986e+00 
 1.81970086e+07 -1.72030717e+03  7.63436713e+00 
 1.86208714e+07 -1.72019070e+03  7.84908870e+00 
 1.90546072e+07 -1.72007025e+03  8.06422359e+00 
 1.94984460e+07 -1.71994576e+03  8.27969442e+00 
 1.99526231e+07 -1.71981717e+03  8.49541744e+00 
 2.04173794e+07 -1.71968439e+03  8.71130255e+00 
 2.08929613e+07 -1.71954739e+03  8.92725340e+00 
 2.13796209e+07 -1.71940610e+03  9.14316754e+00 
 2.18776162e+07 -1.71926049e+03  9.35893655e+00 
 2.23872114e+07 -1.71911050e+03  9.57444626e+00 
 2.29086765e+07 -1.71895611e+03  9.78957702e+00 
 2.34422882e+07 -1.71879728e+03  1.00042040e+01 
 2.39883292e+07 -1.71863401e+03  1.02181975e+01 
 2.45470892e+07 -1.71846629e+03  1.04314234e+01 
 2.51188643e+07 -1.71829411e+03  1.06437437e+01 
 2.57039578e+07 -1.71811748e+03  1.08550167e+01 
 2.63026799e+07 -1.71793644e+03  1.10650980e+01 
 2.69153480e+07 -1.71775099e+03  1.12738409e+01 
 2.75422870e+07 -1.71756120e+03  1.14810968e+01 
 2.81838293e+07 -1.71736711e+03  1.16867166e+01 
 2.88403150e+07 -1.71716879e+03  1.18905506e+01 
 2.95120923e+07 -1.71696631e+03  1.20924501e+01 
 3.01995172e+07 -1.71675977e+03  1.22922676e+01 
 3.09029543e+07 -1.71654926e+03  1.24898582e+01 
 3.16227766e+07 -1.71633490e+03  1.26850801e+01 
 3.23593657e+07 -1.71611683e+03  1.28777959e+01 
 3.31131121e+07 -1.71589516e+03  1.30678732e+01 
 3.38844156e+07 -1.71567007e+03  1.32551859e+01 
 3.46736850e+07 -1.71544171e+03  1.34396148e+01 
 3.54813389e+07 -1.71521025e+03  1.36210491e+01 
 3.63078055e+07 -1.71497589e+03  1.37993868e+01 
 3.71535229e+07 -1.71473882e+03  1.39745359e+01 
 3.80189396e+07 -1.71449925e+03  1.41464154e+01 
 3.89045145e+07 -1.71425740e+03  1.43149559e+01 
 3.98107171e+07 -1.71401349e+03  1.44801007e+01 
 4.07380278e+07 -1.71376776e+03  1.46418062e+01 
 4.16869383e+07 -1.71352046e+03  1.48000432e+01 
 4.26579519e+07 -1.71327182e+03  1.49547968e+01 
 4.36515832e+07 -1.71302210e+03  1.51060675e+01 
 4.46683592e+07 -1.71277157e+03  1.52538714e+01 
 4.57088190e+07 -1.71252048e+03  1.53982406e+01 
 4.67735141e+07 -1.71226909e+03  1.55392236e+01 
 4.78630092e+07 -1.71201768e+03  1.56768854e+01 
 4.89778819e+07 -1.71176651e+03  1.58113077e+01 
 5.01187234e+07 -1.71151584e+03  1.59425887e+01 
 5.12861384e+07 -1.71126593e+03  1.60708431e+01 
 5.24807460e+07 -1.71101705e+03  1.61962018e+01 
 5.37031796e+07 -1.71076944e+03  1.63188120e+01 
 5.49540874e+07 -1.71052335e+03  1.64388362e+01 
 5.62341325e+07 -1.71027903e+03  1.65564524e+01 
 5.75439937e+07 -1.71003672e+03  1.66718528e+01 
 5.88843655e+07 -1.70979662e+03  1.67852439e+01 
 6.02559586e+07 -1.70955898e+03  1.68968454e+01 
 6.16595002e+07 -1.70932399e+03  1.70068897e+01 
 6.30957344e+07 -1.70909184e+03  1.71156209e+01 
 6.45654229e+07 -1.70886273e+03  1.72232940e+01 
 6.60693448e+07 -1.70863684e+03  1.73301743e+01 
 6.76082975e+07 -1.70841432e+03  1.74365363e+01 
 6.91830971e+07 -1.70819532e+03  1.75426627e+01 
 7.07945784e+07 -1.70797999e+03  1.76488440e+01 
 7.24435960e+07 -1.70776844e+03  1.77553771e+01 
 7.41310241e+07 -1.70756080e+03  1.78625645e+01 
 7.58577575e+07 -1.70735716e+03  1.79707138e+01 
 7.76247117e+07 -1.70715762e+03  1.80801366e+01 
 7.94328235e+07 -1.70696224e+03  1.81911477e+01 
 8.12830516e+07 -1.70677109e+03  1.83040643e+01 
 8.31763771e+07 -1.70658423e+03  1.84192054e+01 
 8.51138038e+07 -1.70640169e+03  1.85368913e+01 
 8.70963590e+07 -1.70622351e+03  1.86574426e+01 
 8.91250938e+07 -1.70604969e+03  1.87811797e+01 
 9.12010839e+07 -1.70588026e+03  1.89084225e+01 
 9.33254301e+07 -1.70571520e+03  1.90394897e+01 
 9.54992586e+07 -1.70555451e+03  1.91746987e+01 
 9.77237221e+07 -1.70539816e+03  1.93143648e+01 
 1.00000000e+08 -1.70524613e+03  1.94588012e+01 
 1.02329299e+08 -1.70509839e+03  1.96083187e+01 
 1.04712855e+08 -1.70495488e+03  1.97632254e+01 
 1.07151931e+08 -1.70481555e+03  1.99238267e+01 
 1.09647820e+08 -1.70468036e+03  2.00904249e+01 
 1.12201845e+08 -1.70454924e+03  2.02633195e+01 
 1.14815362e+08 -1.70442211e+03  2.04428069e+01 
 1.17489755e+08 -1.70429891e+03  2.06291808e+01 
 1.20226443e+08 -1.70417957e+03  2.08227315e+01 
 1.23026877e+08 -1.70406399e+03  2.10237470e+01 
 1.25892541e+08 -1.70395210e+03  2.12325122e+01 
 1.28824955e+08 -1.70384381e+03  2.14493097e+01 
 1.31825674e+08 -1.70373904e+03  2.16744196e+01 
 1.34896288e+08 -1.70363768e+03  2.19081198e+01 
 1.38038426e+08 -1.70353965e+03  2.21506864e+01 
 1.41253754e+08 -1.70344485e+03  2.24023937e+01 
 1.44543977e+08 -1.70335319e+03  2.26635145e+01 
 1.47910839e+08 -1.70326457e+03  2.29343205e+01 
 1.51356125e+08 -1.70317889e+03  2.32150824e+01 
 1.54881662e+08 -1.70309606e+03  2.35060706e+01 
 1.58489319e+08 -1.70301598e+03  2.38075548e+01 
 1.62181010e+08 -1.70293854e+03  2.41198049e+01 
 1.65958691e+08 -1.70286366e+03  2.44430912e+01 
 1.69824365e+08 -1.70279124e+03  2.47776846e+01 
 1.73780083e+08 -1.70272118e+03  2.51238569e+01 
 1.77827941e+08 -1.70265338e+03  2.54818813e+01 
 1.81970086e+08 -1.70258775e+03  2.58520325e+01 
 1.86208714e+08 -1.70252420e+03  2.62345874e+01 
 1.90546072e+08 -1.70246263e+03  2.66298249e+01 
 1.94984460e+08 -1.70240296e+03  2.70380267e+01 
 1.99526231e+08 -1.70234508e+03  2.74594774e+01 
 2.04173794e+08 -1.70228891e+03  2.78944647e+01 
 2.08929613e+08 -1.70223436e+03  2.83432801e+01 
 2.13796209e+08 -1.70218134e+03  2.88062189e+01 
 2.18776162e+08 -1.70212977e+03  2.92835806e+01 
 2.23872114e+08 -1.70207955e+03  2.97756692e+01 
 2.29086765e+08 -1.70203061e+03  3.02827937e+01 
 2.34422882e+08 -1.70198286e+03  3.08052681e+01 
 2.39883292e+08 -1.70193622e+03  3.13434117e+01 
 2.45470892e+08 -1.70189060e+03  3.18975500e+01 
 2.51188643e+08 -1.70184593e+03  3.24680142e+01 
 2.57039578e+08 -1.70180212e+03  3.30551419e+01 
 2.63026799e+08 -1.70175909e+03  3.36592775e+01 
 2.69153480e+08 -1.70171676e+03  3.42807723e+01 
 2.75422870e+08 -1.70167506e+03  3.49199846e+01 
 2.81838293e+08 -1.70163391e+03  3.55772806e+01 
 2.88403150e+08 -1.70159322e+03  3.62530341e+01 
 2.95120923e+08 -1.70155293e+03  3.69476272e+01 
 3.01995172e+08 -1.70151295e+03  3.76614501e+01 
 3.09029543e+08 -1.70147320e+03  3.83949019e+01 
 3.16227766e+08 -1.70143362e+03  3.91483908e+01 
 3.23593657e+08 -1.70139411e+03  3.99223341e+01 
 3.31131121e+08 -1.70135460e+03  4.07171585e+01 
 3.38844156e+08 -1.70131502e+03  4.15333010e+01 
 3.46736850e+08 -1.70127528e+03  4.23712083e+01 
 3.54813389e+08 -1.70123531e+03  4.32313379e+01 
 3.63078055e+08 -1.70119502e+03  4.41141577e+01 
 3.71535229e+08 -1.70115433e+03  4.50201468e+01 
 3.80189396e+08 -1.70111316e+03  4.59497958e+01 
 3.89045145e+08 -1.70107143e+03  4.69036065e+01 
 3.98107171e+08 -1.70102905e+03  4.78820931e+01 
 4.07380278e+08 -1.70098593e+03  4.88857817e+01 
 4.16869383e+08 -1.70094199e+03  4.99152112e+01 
 4.26579519e+08 -1.70089713e+03  5.09709332e+01 
 4.36515832e+08 -1.70085126e+03  5.20535125e+01 
 4.46683592e+08 -1.70080429e+03  5.31635276e+01 
 4.57088190e+08 -1.70075611e+03  5.43015705e+01 
 4.67735141e+08 -1.70070664e+03  5.54682477e+01 
 4.78630092e+08 -1.70065576e+03  5.66641800e+01 
 4.89778819e+08 -1.70060338e+03  5.78900033e+01 
 5.01187234e+08 -1.70054937e+03  5.91463683e+01 
 5.12861384e+08 -1.70049364e+03  6.04339416e+01 
 5.24807460e+08 -1.70043606e+03  6.17534056e+01 
 5.37031796e+08 -1.70037651e+03  6.31054588e+01 
 5.49540874e+08 -1.70031487e+03  6.44908167e+01 
 5.62341325e+08 -1.70025102e+03  6.59102115e+01 
 5.75439937e+08 -1.70018481e+03  6.73643930e+01 
 5.88843655e+08 -1.70011611e+03  6.88541286e+01 
 6.02559586e+08 -1.70004477e+03  7.03802041e+01 
 6.16595002e+08 -1.69997065e+03  7.19434238e+01 
 6.30957344e+08 -1.69989360e+03  7.35446109e+01 
 6.45654229e+08 -1.69981344e+03  7.51846082e+01 
 6.60693448e+08 -1.69973002e+03  7.68642783e+01 
 6.76082975e+08 -1.69964316e+03  7.85845041e+01 
 6.91830971e+08 -1.69955268e+03  8.03461890e+01 
 7.07945784e+08 -1.69945838e+03  8.21502578e+01 
 7.24435960e+08 -1.69936008e+03  8.39976570e+01 
 7.41310241e+08 -1.69925756e+03  8.58893549e+01 
 7.58577575e+08 -1.69915062e+03  8.78263425e+01 
 7.76247117e+08 -1.69903902e+03  8.98096339e+01 
 7.94328235e+08 -1.69892254e+03  9.18402667e+01 
 8.12830516e+08 -1.69880093e+03  9.39193023e+01 
 8.31763771e+08 -1.69867394e+03  9.60478268e+01 
 8.51138038e+08 -1.69854131e+03  9.82269513e+01 
 8.70963590e+08 -1.69840275e+03  1.00457812e+02 
 8.91250938e+08 -1.69825797e+03  1.02741573e+02 
 9.12010839e+08 -1.69810668e+03  1.05079422e+02 
 9.33254301e+08 -1.69794855e+03  1.07472575e+02 
 9.54992586e+08 -1.69778326e+03  1.09922277e+02 
 9.77237221e+08 -1.69761046e+03  1.12429801e+02 
 1.00000000e+09 -1.69742979e+03  1.14996445e+02 
 1.02329299e+09 -1.69724088e+03  1.17623542e+02 
 1.04712855e+09 -1.69704332e+03  1.20312451e+02 
 1.07151931e+09 -1.69683670e+03  1.23064562e+02 
 1.09647820e+09 -1.69662059e+03  1.25881297e+02 
 1.12201845e+09 -1.69639455e+03  1.28764108e+02 
 1.14815362e+09 -1.69615809e+03  1.31714481e+02 
 1.17489755e+09 -1.69591072e+03  1.34733934e+02 
 1.20226443e+09 -1.69565193e+03  1.37824017e+02 
 1.23026877e+09 -1.69538117e+03  1.40986316e+02 
 1.25892541e+09 -1.69509788e+03  1.44222450e+02 
 1.28824955e+09 -1.69480147e+03  1.47534073e+02 
 1.31825674e+09 -1.69449131e+03  1.50922875e+02 
 1.34896288e+09 -1.69416677e+03  1.54390583e+02 
 1.38038426e+09 -1.69382715e+03  1.57938959e+02 
 1.41253754e+09 -1.69347176e+03  1.61569804e+02 
 1.44543977e+09 -1.69309986e+03  1.65284955e+02 
 1.47910839e+09 -1.69271066e+03  1.69086290e+02 
 1.51356125e+09 -1.69230335e+03  1.72975723e+02 
 1.54881662e+09 -1.69187710e+03  1.76955212e+02 
 1.58489319e+09 -1.69143101e+03  1.81026749e+02 
 1.62181010e+09 -1.69096415e+03  1.85192373e+02 
 1.65958691e+09 -1.69047556e+03  1.89454160e+02 
 1.69824365e+09 -1.68996422e+03  1.93814228e+02 
 1.73780083e+09 -1.68942907e+03  1.98274741e+02 
 1.77827941e+09 -1.68886900e+03  2.02837900e+02 
 1.81970086e+09 -1.68828286e+03  2.07505954e+02 
 1.86208714e+09 -1.68766943e+03  2.12281193e+02 
 1.90546072e+09 -1.68702745e+03  2.17165953e+02 
 1.94984460e+09 -1.68635559e+03  2.22162612e+02 
 1.99526231e+09 -1.68565248e+03  2.27273595e+02 
 2.04173794e+09 -1.68491666e+03  2.32501372e+02 
 2.08929613e+09 -1.68414664e+03  2.37848457e+02 
 2.13796209e+09 -1.68334082e+03  2.43317413e+02 
 2.18776162e+09 -1.68249756e+03  2.48910847e+02 
 2.23872114e+09 -1.68161514e+03  2.54631411e+02 
 2.29086765e+09 -1.68069176e+03  2.60481807e+02 
 2.34422882e+09 -1.67972554e+03  2.66464782e+02 
 2.39883292e+09 -1.67871452e+03  2.72583130e+02 
 2.45470892e+09 -1.67765664e+03  2.78839691e+02 
 2.51188643e+09 -1.67654978e+03  2.85237354e+02 
 2.57039578e+09 -1.67539168e+03  2.91779054e+02 
 2.63026799e+09 -1.67418002e+03  2.98467771e+02 
 2.69153480e+09 -1.67291236e+03  3.05306534e+02 
 2.75422870e+09 -1.67158615e+03  3.12298418e+02 
 2.81838293e+09 -1.67019873e+03  3.19446542e+02 
 2.88403150e+09 -1.66874734e+03  3.26754072e+02 
 2.95120923e+09 -1.66722908e+03  3.34224219e+02 
 3.01995172e+09 -1.66564092e+03  3.41860238e+02 
 3.09029543e+09 -1.66397971e+03  3.49665428e+02 
 3.16227766e+09 -1.66224216e+03  3.57643131e+02 
 3.23593657e+09 -1.66042484e+03  3.65796731e+02 
 3.31131121e+09 -1.65852416e+03  3.74129651e+02 
 3.38844156e+09 -1.65653638e+03  3.82645357e+02 
 3.46736850e+09 -1.65445760e+03  3.91347351e+02 
 3.54813389e+09 -1.65228374e+03  4.00239172e+02 
 3.63078055e+09 -1.65001057e+03  4.09324397e+02 
 3.71535229e+09 -1.64763365e+03  4.18606632e+02 
 3.80189396e+09 -1.64514835e+03  4.28089519e+02 
 3.89045145e+09 -1.64254985e+03  4.37776725e+02 
 3.98107171e+09 -1.63983312e+03  4.47671948e+02 
 4.07380278e+09 -1.63699292e+03  4.57778908e+02 
 4.16869383e+09 -1.63402377e+03  4.68101346e+02 
 4.26579519e+09 -1.63091996e+03  4.78643023e+02 
 4.36515832e+09 -1.62767552e+03  4.89407712e+02 
 4.46683592e+09 -1.62428425e+03  5.00399199e+02 
 4.57088190e+09 -1.62073967e+03  5.11621276e+02 
 4.67735141e+09 -1.61703500e+03  5.23077738e+02 
 4.78630092e+09 -1.61316319e+03  5.34772375e+02 
 4.89778819e+09 -1.60911689e+03  5.46708970e+02 
 5.01187234e+09 -1.60488840e+03  5.58891292e+02 
 5.12861384e+09 -1.60046971e+03  5.71323088e+02 
 5.24807460e+09 -1.59585246e+03  5.84008078e+02 
 5.37031796e+09 -1.59102792e+03  5.96949943e+02 
 5.49540874e+09 -1.58598697e+03  6.10152322e+02 
 5.62341325e+09 -1.58072011e+03  6.23618800e+02 
 5.75439937e+09 -1.57521740e+03  6.37352894e+02 
 5.88843655e+09 -1.56946849e+03  6.51358046e+02 
 6.02559586e+09 -1.56346254e+03  6.65637611e+02 
 6.16595002e+09 -1.55718827e+03  6.80194838e+02 
 6.30957344e+09 -1.55063387e+03  6.95032859e+02 
 6.45654229e+09 -1.54378701e+03  7.10154670e+02 
 6.60693448e+09 -1.53663482e+03  7.25563115e+02 
 6.76082975e+09 -1.52916386e+03  7.41260863e+02 
 6.91830971e+09 -1.52136007e+03  7.57250386e+02 
 7.07945784e+09 -1.51320878e+03  7.73533936e+02 
 7.24435960e+09 -1.50469465e+03  7.90113517e+02 
 7.41310241e+09 -1.49580167e+03  8.06990856e+02 
 7.58577575e+09 -1.48651309e+03  8.24167371e+02 
 7.76247117e+09 -1.47681141e+03  8.41644132e+02 
 7.94328235e+09 -1.46667837e+03  8.59421828e+02 
 8.12830516e+09 -1.45609485e+03  8.77500718e+02 
 8.31763771e+09 -1.44504091e+03  8.95880590e+02 
