 time            v(finalp)       v(finaln)      
 9.00500000e-11  2.80107386e+00  2.80107430e+00 
 9.10500000e-11  2.80107503e+00  2.80107549e+00 
 9.20500000e-11  2.80107591e+00  2.80107634e+00 
 9.30500000e-11  2.80107644e+00  2.80107682e+00 
 9.40500000e-11  2.80107666e+00  2.80107695e+00 
 9.50500000e-11  2.80107659e+00  2.80107679e+00 
 9.60500000e-11  2.80107630e+00  2.80107642e+00 
 9.70500000e-11  2.80107585e+00  2.80107589e+00 
 9.80500000e-11  2.80107529e+00  2.80107528e+00 
 9.90500000e-11  2.80107470e+00  2.80107463e+00 
 1.00050000e-10  2.80107411e+00  2.80107401e+00 
 1.01050000e-10  2.80107355e+00  2.80107343e+00 
 1.02050000e-10  2.80107305e+00  2.80107293e+00 
 1.03050000e-10  2.80107263e+00  2.80107250e+00 
 1.04050000e-10  2.80107229e+00  2.80107217e+00 
 1.05050000e-10  2.80107203e+00  2.80107191e+00 
 1.06050000e-10  2.80107184e+00  2.80107174e+00 
 1.07050000e-10  2.80107173e+00  2.80107164e+00 
 1.08050000e-10  2.80107167e+00  2.80107160e+00 
 1.09050000e-10  2.80107167e+00  2.80107161e+00 
 1.10050000e-10  2.80107171e+00  2.80107166e+00 
 1.11050000e-10  2.80107177e+00  2.80107174e+00 
 1.12050000e-10  2.80107186e+00  2.80107184e+00 
 1.13050000e-10  2.80107197e+00  2.80107195e+00 
 1.14050000e-10  2.80107208e+00  2.80107207e+00 
 1.15050000e-10  2.80107219e+00  2.80107219e+00 
 1.16050000e-10  2.80107230e+00  2.80107230e+00 
 1.17050000e-10  2.80107240e+00  2.80107241e+00 
 1.18050000e-10  2.80107250e+00  2.80107251e+00 
 1.19000000e-10  2.80107258e+00  2.80107259e+00 
 1.19100000e-10  2.80107259e+00  2.80107260e+00 
 1.19300000e-10  2.80107261e+00  2.80107260e+00 
 1.19650000e-10  2.80107264e+00  2.80107264e+00 
 1.20000000e-10  2.80107268e+00  2.80107271e+00 
 1.20070000e-10  2.80107269e+00  2.80107273e+00 
 1.20210000e-10  2.80107270e+00  2.80107276e+00 
 1.20490000e-10  2.80107269e+00  2.80107283e+00 
 1.21050000e-10  2.80107271e+00  2.80107271e+00 
 1.22050000e-10  2.80107094e+00  2.80107321e+00 
 1.23050000e-10  2.80104487e+00  2.80109728e+00 
 1.24050000e-10  2.80093041e+00  2.80121080e+00 
 1.25050000e-10  2.80060741e+00  2.80153559e+00 
 1.26050000e-10  2.79990287e+00  2.80224457e+00 
 1.27050000e-10  2.79861120e+00  2.80353919e+00 
 1.28050000e-10  2.79652498e+00  2.80561616e+00 
 1.29050000e-10  2.79346765e+00  2.80863305e+00 
 1.30050000e-10  2.78932117e+00  2.81268181e+00 
 1.31050000e-10  2.78404410e+00  2.81777486e+00 
 1.32050000e-10  2.77767861e+00  2.82384481e+00 
 1.33050000e-10  2.77034634e+00  2.83075516e+00 
 1.34050000e-10  2.76223530e+00  2.83831789e+00 
 1.35050000e-10  2.75358064e+00  2.84631355e+00 
 1.36050000e-10  2.74464258e+00  2.85451061e+00 
 1.37050000e-10  2.73568472e+00  2.86268193e+00 
