 frequency       v(finalp,finaln) v(finalp,finaln)
 1.04712855e+07 -2.07691986e+03  3.68310990e-01 
 1.07151931e+07 -2.07691996e+03  4.98602250e-01 
 1.09647820e+07 -2.07692005e+03  6.29158037e-01 
 1.12201845e+07 -2.07692014e+03  7.60047584e-01 
 1.14815362e+07 -2.07692021e+03  8.91340299e-01 
 1.17489755e+07 -2.07692028e+03  1.02310581e+00 
 1.20226443e+07 -2.07692033e+03  1.15541398e+00 
 1.23026877e+07 -2.07692038e+03  1.28833499e+00 
 1.25892541e+07 -2.07692042e+03  1.42193932e+00 
 1.28824955e+07 -2.07692045e+03  1.55629783e+00 
 1.31825674e+07 -2.07692047e+03  1.69148177e+00 
 1.34896288e+07 -2.07692049e+03  1.82756284e+00 
 1.38038426e+07 -2.07692049e+03  1.96461320e+00 
 1.41253754e+07 -2.07692049e+03  2.10270554e+00 
 1.44543977e+07 -2.07692048e+03  2.24191311e+00 
 1.47910839e+07 -2.07692047e+03  2.38230972e+00 
 1.51356125e+07 -2.07692044e+03  2.52396986e+00 
 1.54881662e+07 -2.07692041e+03  2.66696866e+00 
 1.58489319e+07 -2.07692036e+03  2.81138196e+00 
 1.62181010e+07 -2.07692031e+03  2.95728636e+00 
 1.65958691e+07 -2.07692025e+03  3.10475927e+00 
 1.69824365e+07 -2.07692019e+03  3.25387890e+00 
 1.73780083e+07 -2.07692011e+03  3.40472436e+00 
 1.77827941e+07 -2.07692002e+03  3.55737567e+00 
 1.81970086e+07 -2.07691993e+03  3.71191382e+00 
 1.86208714e+07 -2.07691982e+03  3.86842078e+00 
 1.90546072e+07 -2.07691971e+03  4.02697959e+00 
 1.94984460e+07 -2.07691959e+03  4.18767438e+00 
 1.99526231e+07 -2.07691945e+03  4.35059040e+00 
 2.04173794e+07 -2.07691931e+03  4.51581409e+00 
 2.08929613e+07 -2.07691916e+03  4.68343313e+00 
 2.13796209e+07 -2.07691899e+03  4.85353646e+00 
 2.18776162e+07 -2.07691881e+03  5.02621435e+00 
 2.23872114e+07 -2.07691863e+03  5.20155843e+00 
 2.29086765e+07 -2.07691842e+03  5.37966177e+00 
 2.34422882e+07 -2.07691821e+03  5.56061888e+00 
 2.39883292e+07 -2.07691799e+03  5.74452581e+00 
 2.45470892e+07 -2.07691775e+03  5.93148019e+00 
 2.51188643e+07 -2.07691749e+03  6.12158125e+00 
 2.57039578e+07 -2.07691722e+03  6.31492990e+00 
 2.63026799e+07 -2.07691694e+03  6.51162880e+00 
