 frequency       v(finalp,finaln) v(finalp,finaln) v(v1p,v1n)      v(v1p,v1n)      v(vga1p,vga1n)  v(vga1p,vga1n)  v(v2p,v2n)      v(v2p,v2n)      v(vga2p,vga2n)  v(vga2p,vga2n)  v(bufinp,bufinn) v(bufinp,bufinn) v(outp,outn)    v(outp,outn)   
 1.00000000e+06 -8.37806102e+01  5.55732096e+03 -5.91104972e+02 -2.35790041e+02  1.31353346e+03  5.19566638e+02  9.48768725e+02  8.95811069e+02 -3.40554456e+03 -3.16591574e+03  4.69451063e+01 -3.10954412e+03 -8.39370398e+01  5.56621124e+03 
 1.02329299e+06  6.84189461e+01  5.66160244e+03 -5.94780835e+02 -2.31854410e+02  1.32158409e+03  5.10847238e+02  9.68646789e+02  8.86270155e+02 -3.47554360e+03 -3.13076007e+03 -3.82138565e+01 -3.16789566e+03  6.85050539e+01  5.67066017e+03 
 1.04712855e+06  2.24759275e+02  5.76072899e+03 -5.98334192e+02 -2.27929025e+02  1.32936504e+03  5.02153441e+02  9.88024576e+02  8.76406964e+02 -3.54371096e+03 -3.09449309e+03 -1.25689718e+02 -3.22336293e+03  2.25094535e+02  5.76994597e+03 
 1.07151931e+06  3.84936230e+02  5.85452056e+03 -6.01767486e+02 -2.24017430e+02  1.33688182e+03  4.93492937e+02  1.00689904e+03  8.66248636e+02 -3.61003838e+03 -3.05721379e+03 -2.15312299e+02 -3.27584521e+03  3.85526770e+02  5.86388830e+03 
 1.09647820e+06  5.48637209e+02  5.94281839e+03 -6.05083241e+02 -2.20122966e+02  1.34414007e+03  4.84872973e+02  1.02526858e+03  8.55821642e+02 -3.67452288e+03 -3.01901856e+03 -3.06906690e+02 -3.32525368e+03  5.49488659e+02  5.95232815e+03 
 1.12201845e+06  7.15542865e+02  6.02548541e+03 -6.08284055e+02 -2.16248775e+02  1.35114560e+03  4.76300356e+02  1.04313296e+03  8.45151720e+02 -3.73716639e+03 -2.98000096e+03 -4.00294208e+02 -3.37151161e+03  7.16660346e+02  6.03512823e+03 
 1.14815362e+06  8.85328816e+02  6.10240632e+03 -6.11372584e+02 -2.12397803e+02  1.35790434e+03  4.67781462e+02  1.06049321e+03  8.34263825e+02 -3.79797543e+03 -2.94025156e+03 -4.95293353e+02 -3.41455452e+03  8.86716929e+02  6.11217306e+03 
 1.17489755e+06  1.05766734e+03  6.17348773e+03 -6.14351528e+02 -2.08572804e+02  1.36442232e+03  4.59322245e+02  1.07735150e+03  8.23182083e+02 -3.85696073e+03 -2.89985776e+03 -5.91720752e+02 -3.45433014e+03  1.05933016e+03  6.18336910e+03 
 1.20226443e+06  1.23222904e+03  6.23865798e+03 -6.17223625e+02 -2.04776345e+02  1.37070561e+03  4.50928246e+02  1.09371111e+03  8.11929754e+02 -3.91413693e+03 -2.85890366e+03 -6.89392102e+02 -3.49079838e+03  1.23417013e+03  6.24864457e+03 
 1.23026877e+06  1.40868448e+03  6.29786693e+03 -6.19991638e+02 -2.01010810e+02  1.37676038e+03  4.42604607e+02  1.10957630e+03  8.00529206e+02 -3.96952219e+03 -2.81746998e+03 -7.88123074e+02 -3.52393118e+03  1.41090687e+03  6.30794926e+03 
 1.25892541e+06  1.58670577e+03  6.35108558e+03 -6.22658347e+02 -1.97278405e+02  1.38259278e+03  4.34356077e+02  1.12495222e+03  7.89001893e+02 -4.02313788e+03 -2.77563394e+03 -8.87730204e+02 -3.55371232e+03  1.58921196e+03  6.36125411e+03 
 1.28824955e+06  1.76596808e+03  6.39830555e+03 -6.25226539e+02 -1.93581165e+02  1.38820900e+03  4.26187034e+02  1.13984485e+03  7.77368342e+02 -4.07500830e+03 -2.73346930e+03 -9.88031736e+02 -3.58013712e+03  1.76876006e+03  6.40855075e+03 
 1.31825674e+06  1.94615106e+03  6.43953851e+03 -6.27698998e+02 -1.89920958e+02  1.39361521e+03  4.18101488e+02  1.15426088e+03  7.65648143e+02 -4.12516031e+03 -2.69104626e+03 -1.08884843e+03 -3.60321210e+03  1.94923031e+03  6.44985084e+03 
