 frequency       v(finalp,finaln) v(finalp,finaln) v(v1p,v1n)      v(v1p,v1n)      v(vga1p,vga1n)  v(vga1p,vga1n)  v(v2p,v2n)      v(v2p,v2n)      v(vga2p,vga2n)  v(vga2p,vga2n)  v(bufinp,bufinn) v(bufinp,bufinn) v(outp,outn)    v(outp,outn)   
 1.62181010e+06  4.19162555e+02  2.61239712e+03 -4.17543688e+02 -1.58710013e+02  4.68511142e+02  1.77394354e+02  2.98581438e+02  3.28060226e+02 -1.45648962e+03 -1.59589327e+03 -2.84928622e+02 -1.77649242e+03  4.19256033e+02  2.61320528e+03 
 1.65958691e+06  4.97350565e+02  2.63717559e+03 -4.19905680e+02 -1.55974361e+02  4.71142315e+02  1.74326789e+02  3.06314926e+02  3.25399824e+02 -1.49407708e+03 -1.58285737e+03 -3.38094211e+02 -1.79334596e+03  4.97466897e+02  2.63799258e+03 
 1.69824365e+06  5.76070620e+02  2.65902055e+03 -4.22186702e+02 -1.53251620e+02  4.73682954e+02  1.71274237e+02  3.13888972e+02  3.22580609e+02 -1.53088526e+03 -1.56905226e+03 -3.91621620e+02 -1.80820485e+03  5.76209977e+02  2.65984552e+03 
 1.73780083e+06  6.55153222e+02  2.67795121e+03 -4.24388550e+02 -1.50543925e+02  4.76135093e+02  1.68239069e+02  3.21299631e+02  3.19612533e+02 -1.56689522e+03 -1.55452648e+03 -4.45395592e+02 -1.82108215e+03  6.55315722e+02  2.67878333e+03 
 1.77827941e+06  7.34434027e+02  2.69399755e+03 -4.26513061e+02 -1.47853277e+02  4.78500808e+02  1.65223502e+02  3.28543589e+02  3.16505482e+02 -1.60209114e+03 -1.53932822e+03 -4.99304374e+02 -1.83199825e+03  7.34619741e+02  2.69483599e+03 
 1.81970086e+06  8.13754530e+02  2.70719960e+03 -4.28562104e+02 -1.45181547e+02  4.80782208e+02  1.62229609e+02  3.35618146e+02  3.13269238e+02 -1.63646015e+03 -1.52350514e+03 -5.53240187e+02 -1.84098037e+03  8.13963481e+02  2.70804355e+03 
 1.86208714e+06  8.92962667e+02  2.71760667e+03 -4.30537571e+02 -1.42530476e+02  4.82981428e+02  1.59259315e+02  3.42521181e+02  3.09913441e+02 -1.66999222e+03 -1.50710419e+03 -6.07099626e+02 -1.84806204e+03  8.93194833e+02  2.71845533e+03 
 1.90546072e+06  9.71913318e+02  2.72527656e+03 -4.32441372e+02 -1.39901678e+02  4.85100620e+02  1.56314407e+02  3.49251127e+02  3.06447564e+02 -1.70267999e+03 -1.49017151e+03 -6.60784013e+02 -1.85328257e+03  9.72168634e+02  2.72612915e+03 
 1.94984460e+06  1.05046872e+03  2.73027474e+03 -4.34275427e+02 -1.37296648e+02  4.87141945e+02  1.53396535e+02  3.55806941e+02  3.02880879e+02 -1.73451865e+03 -1.47275219e+03 -7.14199673e+02 -1.85668648e+03  1.05074708e+03  2.73113051e+03 
 1.99526231e+06  1.12849882e+03  2.73267357e+03 -4.36041660e+02 -1.34716761e+02  4.89107570e+02  1.50507218e+02  3.62188073e+02  2.99222436e+02 -1.76550577e+03 -1.45489028e+03 -7.67258162e+02 -1.85832296e+03  1.12880008e+03  2.73353177e+03 
