 frequency       v(finalp,finaln) v(finalp,finaln) v(v1p,v1n)      v(v1p,v1n)      v(vga1p,vga1n)  v(vga1p,vga1n)  v(v2p,v2n)      v(v2p,v2n)      v(vga2p,vga2n)  v(vga2p,vga2n)  v(bufinp,bufinn) v(bufinp,bufinn) v(outp,outn)    v(outp,outn)   
 1.00000000e+06  2.94130267e+03  7.46357495e+02 -3.18784602e+02 -2.06504049e+01  6.47036154e+02  4.18669327e+01  6.36959299e+02  9.37795903e+01 -2.24425276e+03 -3.30250398e+02 -2.17800483e+03 -5.52786336e+02  2.94511158e+03  7.47372130e+02 
 1.02329299e+06  2.94683972e+03  7.30119493e+02 -3.18841391e+02 -2.01835818e+01  6.47151151e+02  4.09201876e+01  6.37415503e+02  9.16875202e+01 -2.24585813e+03 -3.22883381e+02 -2.18210498e+03 -5.40764859e+02  2.95065581e+03  7.31114177e+02 
 1.04712855e+06  2.95213579e+03  7.14201035e+02 -3.18895642e+02 -1.97271554e+01  6.47261008e+02  3.99945227e+01  6.37851513e+02  8.96401951e+01 -2.24739243e+03 -3.15673958e+02 -2.18602669e+03 -5.28980065e+02  2.95595875e+03  7.15176208e+02 
 1.07151931e+06  2.95720102e+03  6.98598068e+02 -3.18947468e+02 -1.92809039e+01  6.47365954e+02  3.90894880e+01  6.38268208e+02  8.76367839e+01 -2.24885876e+03 -3.08619202e+02 -2.18977747e+03 -5.17428952e+02  2.96103054e+03  6.99554165e+02 
 1.09647820e+06  2.96204515e+03  6.83306427e+02 -3.18996976e+02 -1.88446097e+01  6.47466207e+02  3.82046417e+01  6.38666431e+02  8.56764622e+01 -2.25026009e+03 -3.01716208e+02 -2.19336452e+03 -5.06108439e+02  2.96588095e+03  6.84243878e+02 
 1.12201845e+06  2.96667753e+03  6.68321848e+02 -3.19044270e+02 -1.84180589e+01  6.47561976e+02  3.73395504e+01  6.39046988e+02  8.37584131e+01 -2.25159926e+03 -2.94962098e+02 -2.19679477e+03 -4.95015369e+02  2.97051934e+03  6.69241079e+02 
 1.14815362e+06  2.97110716e+03  6.53639987e+02 -3.19089448e+02 -1.80010419e+01  6.47653460e+02  3.64937887e+01  6.39410652e+02  8.18818274e+01 -2.25287897e+03 -2.88354022e+02 -2.20007488e+03 -4.84146527e+02  2.97495471e+03  6.54541418e+02 
 1.17489755e+06  2.97534265e+03  6.39256426e+02 -3.19132604e+02 -1.75933529e+01  6.47740849e+02  3.56669391e+01  6.39758163e+02  8.00459045e+01 -2.25410184e+03 -2.81889159e+02 -2.20321124e+03 -4.73498644e+02  2.97919570e+03  6.40140473e+02 
 1.20226443e+06  2.97939230e+03  6.25166692e+02 -3.19173828e+02 -1.71947902e+01  6.47824326e+02  3.48585924e+01  6.40090229e+02  7.82498524e+01 -2.25527036e+03 -2.75564720e+02 -2.20620998e+03 -4.63068408e+02  2.98325060e+03  6.26033764e+02 
 1.23026877e+06  2.98326405e+03  6.11366261e+02 -3.19213206e+02 -1.68051558e+01  6.47904065e+02  3.40683470e+01  6.40407528e+02  7.64928886e+01 -2.25638692e+03 -2.69377949e+02 -2.20907699e+03 -4.52852472e+02  2.98712738e+03  6.12216764e+02 
