 frequency       v(finalp,finaln) v(finalp,finaln)
 1.00000000e+06  1.03019897e+03  3.60014151e+03 
 1.02329299e+06  1.13694148e+03  3.61483982e+03 
 1.04712855e+06  1.24333995e+03  3.62577074e+03 
 1.07151931e+06  1.34920265e+03  3.63302684e+03 
 1.09647820e+06  1.45434896e+03  3.63671029e+03 
 1.12201845e+06  1.55860967e+03  3.63693162e+03 
 1.14815362e+06  1.66182724e+03  3.63380860e+03 
 1.17489755e+06  1.76385586e+03  3.62746514e+03 
 1.20226443e+06  1.86456147e+03  3.61803021e+03 
 1.23026877e+06  1.96382165e+03  3.60563678e+03 
 1.25892541e+06  2.06152551e+03  3.59042091e+03 
 1.28824955e+06  2.15757341e+03  3.57252077e+03 
 1.31825674e+06  2.25187669e+03  3.55207585e+03 
 1.34896288e+06  2.34435731e+03  3.52922610e+03 
 1.38038426e+06  2.43494748e+03  3.50411129e+03 
 1.41253754e+06  2.52358921e+03  3.47687028e+03 
 1.44543977e+06  2.61023388e+03  3.44764043e+03 
 1.47910839e+06  2.69484175e+03  3.41655713e+03 
 1.51356125e+06  2.77738148e+03  3.38375324e+03 
 1.54881662e+06  2.85782960e+03  3.34935873e+03 
 1.58489319e+06  2.93617007e+03  3.31350029e+03 
 1.62181010e+06  3.01239368e+03  3.27630107e+03 
 1.65958691e+06  3.08649766e+03  3.23788036e+03 
 1.69824365e+06  3.15848509e+03  3.19835343e+03 
 1.73780083e+06  3.22836449e+03  3.15783135e+03 
 1.77827941e+06  3.29614932e+03  3.11642083e+03 
 1.81970086e+06  3.36185752e+03  3.07422420e+03 
 1.86208714e+06  3.42551110e+03  3.03133930e+03 
 1.90546072e+06  3.48713573e+03  2.98785944e+03 
 1.94984460e+06  3.54676030e+03  2.94387346e+03 
 1.99526231e+06  3.60441661e+03  2.89946571e+03 
 2.04173794e+06  3.66013896e+03  2.85471611e+03 
 2.08929613e+06  3.71396384e+03  2.80970020e+03 
 2.13796209e+06  3.76592961e+03  2.76448924e+03 
 2.18776162e+06  3.81607623e+03  2.71915030e+03 
 2.23872114e+06  3.86444496e+03  2.67374636e+03 
 2.29086765e+06  3.91107813e+03  2.62833641e+03 
 2.34422882e+06  3.95601889e+03  2.58297561e+03 
 2.39883292e+06  3.99931101e+03  2.53771539e+03 
 2.45470892e+06  4.04099868e+03  2.49260359e+03 
 2.51188643e+06  4.08112634e+03  2.44768460e+03 
 2.57039578e+06  4.11973850e+03  2.40299950e+03 
 2.63026799e+06  4.15687961e+03  2.35858621e+03 
 2.69153480e+06  4.19259390e+03  2.31447961e+03 
 2.75422870e+06  4.22692532e+03  2.27071168e+03 
 2.81838293e+06  4.25991736e+03  2.22731166e+03 
 2.88403150e+06  4.29161301e+03  2.18430619e+03 
 2.95120923e+06  4.32205467e+03  2.14171939e+03 
 3.01995172e+06  4.35128404e+03  2.09957307e+03 
 3.09029543e+06  4.37934211e+03  2.05788679e+03 
 3.16227766e+06  4.40626907e+03  2.01667801e+03 
 3.23593657e+06  4.43210428e+03  1.97596224e+03 
 3.31131121e+06  4.45688622e+03  1.93575310e+03 
 3.38844156e+06  4.48065249e+03  1.89606247e+03 
 3.46736850e+06  4.50343973e+03  1.85690058e+03 
 3.54813389e+06  4.52528367e+03  1.81827611e+03 
 3.63078055e+06  4.54621904e+03  1.78019633e+03 
 3.71535229e+06  4.56627963e+03  1.74266713e+03 
 3.80189396e+06  4.58549824e+03  1.70569316e+03 
 3.89045145e+06  4.60390671e+03  1.66927789e+03 
 3.98107171e+06  4.62153587e+03  1.63342370e+03 
 4.07380278e+06  4.63841562e+03  1.59813197e+03 
 4.16869383e+06  4.65457488e+03  1.56340312e+03 
 4.26579519e+06  4.67004161e+03  1.52923671e+03 
 4.36515832e+06  4.68484284e+03  1.49563150e+03 
 4.46683592e+06  4.69900468e+03  1.46258551e+03 
 4.57088190e+06  4.71255232e+03  1.43009606e+03 
 4.67735141e+06  4.72551004e+03  1.39815986e+03 
 4.78630092e+06  4.73790127e+03  1.36677304e+03 
 4.89778819e+06  4.74974856e+03  1.33593120e+03 
 5.01187234e+06  4.76107363e+03  1.30562944e+03 
 5.12861384e+06  4.77189737e+03  1.27586246e+03 
 5.24807460e+06  4.78223987e+03  1.24662454e+03 
 5.37031796e+06  4.79212045e+03  1.21790959e+03 
 5.49540874e+06  4.80155765e+03  1.18971122e+03 
 5.62341325e+06  4.81056929e+03  1.16202271e+03 
 5.75439937e+06  4.81917245e+03  1.13483712e+03 
 5.88843655e+06  4.82738353e+03  1.10814726e+03 
 6.02559586e+06  4.83521822e+03  1.08194571e+03 
 6.16595002e+06  4.84269157e+03  1.05622490e+03 
 6.30957344e+06  4.84981799e+03  1.03097709e+03 
 6.45654229e+06  4.85661126e+03  1.00619439e+03 
 6.60693448e+06  4.86308456e+03  9.81868812e+02 
 6.76082975e+06  4.86925046e+03  9.57992244e+02 
 6.91830971e+06  4.87512101e+03  9.34556503e+02 
 7.07945784e+06  4.88070765e+03  9.11553333e+02 
 7.24435960e+06  4.88602133e+03  8.88974421e+02 
 7.41310241e+06  4.89107246e+03  8.66811415e+02 
 7.58577575e+06  4.89587093e+03  8.45055927e+02 
 7.76247117e+06  4.90042616e+03  8.23699550e+02 
 7.94328235e+06  4.90474708e+03  8.02733869e+02 
 8.12830516e+06  4.90884217e+03  7.82150461e+02 
 8.31763771e+06  4.91271944e+03  7.61940913e+02 
 8.51138038e+06  4.91638647e+03  7.42096821e+02 
 8.70963590e+06  4.91985039e+03  7.22609803e+02 
 8.91250938e+06  4.92311792e+03  7.03471497e+02 
 9.12010839e+06  4.92619537e+03  6.84673575e+02 
 9.33254301e+06  4.92908865e+03  6.66207738e+02 
 9.54992586e+06  4.93180324e+03  6.48065727e+02 
 9.77237221e+06  4.93434427e+03  6.30239323e+02 
 1.00000000e+07  4.93671645e+03  6.12720348e+02 
 1.02329299e+07  4.93892411e+03  5.95500674e+02 
 1.04712855e+07  4.94097121e+03  5.78572217e+02 
 1.07151931e+07  4.94286132e+03  5.61926945e+02 
 1.09647820e+07  4.94459764e+03  5.45556877e+02 
 1.12201845e+07  4.94618298e+03  5.29454084e+02 
 1.14815362e+07  4.94761975e+03  5.13610690e+02 
 1.17489755e+07  4.94891000e+03  4.98018878e+02 
 1.20226443e+07  4.95005538e+03  4.82670884e+02 
 1.23026877e+07  4.95105712e+03  4.67559003e+02 
 1.25892541e+07  4.95191605e+03  4.52675590e+02 
 1.28824955e+07  4.95263258e+03  4.38013063e+02 
 1.31825674e+07  4.95320666e+03  4.23563903e+02 
 1.34896288e+07  4.95363783e+03  4.09320661e+02 
 1.38038426e+07  4.95392511e+03  3.95275957e+02 
 1.41253754e+07  4.95406704e+03  3.81422491e+02 
 1.44543977e+07  4.95406166e+03  3.67753048e+02 
 1.47910839e+07  4.95390641e+03  3.54260503e+02 
 1.51356125e+07  4.95359820e+03  3.40937837e+02 
 1.54881662e+07  4.95313329e+03  3.27778147e+02 
 1.58489319e+07  4.95250727e+03  3.14774664e+02 
 1.62181010e+07  4.95171502e+03  3.01920770e+02 
 1.65958691e+07  4.95075068e+03  2.89210028e+02 
 1.69824365e+07  4.94960753e+03  2.76636210e+02 
 1.73780083e+07  4.94827798e+03  2.64193332e+02 
 1.77827941e+07  4.94675345e+03  2.51875705e+02 
 1.81970086e+07  4.94502434e+03  2.39677983e+02 
 1.86208714e+07  4.94307988e+03  2.27595240e+02 
 1.90546072e+07  4.94090806e+03  2.15623044e+02 
 1.94984460e+07  4.93849551e+03  2.03757557e+02 
 1.99526231e+07  4.93582740e+03  1.91995660e+02 
 2.04173794e+07  4.93288726e+03  1.80335094e+02 
 2.08929613e+07  4.92965686e+03  1.68774640e+02 
 2.13796209e+07  4.92611606e+03  1.57314326e+02 
 2.18776162e+07  4.92224263e+03  1.45955691e+02 
 2.23872114e+07  4.91801208e+03  1.34702091e+02 
 2.29086765e+07  4.91339749e+03  1.23559076e+02 
 2.34422882e+07  4.90836930e+03  1.12534840e+02 
 2.39883292e+07  4.90289520e+03  1.01640764e+02 
 2.45470892e+07  4.89693992e+03  9.08920674e+01 
 2.51188643e+07  4.89046517e+03  8.03085902e+01 
 2.57039578e+07  4.88342955e+03  6.99157222e+01 
 2.63026799e+07  4.87578864e+03  5.97455095e+01 
 2.69153480e+07  4.86749513e+03  4.98379600e+01 
 2.75422870e+07  4.85849924e+03  4.02425735e+01 
 2.81838293e+07  4.84874937e+03  3.10201135e+01 
 2.88403150e+07  4.83819309e+03  2.22446337e+01 
 2.95120923e+07  4.82677874e+03  1.40057485e+01 
 3.01995172e+07  4.81445761e+03  6.41110967e+00 
 3.09029543e+07  4.80118702e+03 -4.10997401e-01 
 3.16227766e+07  4.78693454e+03 -6.30910068e+00 
 3.23593657e+07  4.77168357e+03 -1.11062919e+01 
 3.31131121e+07  4.75544046e+03 -1.45986978e+01 
 3.38844156e+07  4.73824353e+03 -1.65552581e+01 
 3.46736850e+07  4.72017389e+03 -1.67196418e+01 
 3.54813389e+07  4.70136796e+03 -1.48153387e+01 
 3.63078055e+07  4.68203086e+03 -1.05551808e+01 
 3.71535229e+07  4.66244965e+03 -3.65657463e+00 
 3.80189396e+07  4.64300392e+03  6.13651668e+00 
 3.89045145e+07  4.62417100e+03  1.90245116e+01 
 3.98107171e+07  4.60652169e+03  3.51171109e+01 
 4.07380278e+07  4.59070279e+03  5.43952286e+01 
 4.16869383e+07  4.57740325e+03  7.66754558e+01 
 4.26579519e+07  4.56730358e+03  1.01584740e+02 
 4.36515832e+07  4.56101221e+03  1.28553817e+02 
 4.46683592e+07  4.55899695e+03  1.56836335e+02 
 4.57088190e+07  4.56152411e+03  1.85556070e+02 
 4.67735141e+07  4.56861820e+03  2.13777921e+02 
 4.78630092e+07  4.58005225e+03  2.40591564e+02 
 4.89778819e+07  4.59537193e+03  2.65192549e+02 
 5.01187234e+07  4.61394828e+03  2.86946054e+02 
 5.12861384e+07  4.63504757e+03  3.05423425e+02 
 5.24807460e+07  4.65790428e+03  3.20408888e+02 
 5.37031796e+07  4.68178489e+03  3.31880674e+02 
 5.49540874e+07  4.70603479e+03  3.39975042e+02 
 5.62341325e+07  4.73010598e+03  3.44942718e+02 
 5.75439937e+07  4.75356716e+03  3.47105754e+02 
 5.88843655e+07  4.77610043e+03  3.46820164e+02 
 6.02559586e+07  4.79748943e+03  3.44446829e+02 
 6.16595002e+07  4.81760310e+03  3.40331078e+02 
 6.30957344e+07  4.83637834e+03  3.34789926e+02 
 6.45654229e+07  4.85380370e+03  3.28105457e+02 
 6.60693448e+07  4.86990501e+03  3.20522622e+02 
 6.76082975e+07  4.88473372e+03  3.12250025e+02 
 6.91830971e+07  4.89835750e+03  3.03462482e+02 
 7.07945784e+07  4.91085332e+03  2.94304516e+02 
 7.24435960e+07  4.92230218e+03  2.84894173e+02 
 7.41310241e+07  4.93278554e+03  2.75326815e+02 
 7.58577575e+07  4.94238280e+03  2.65678659e+02 
 7.76247117e+07  4.95116976e+03  2.56009936e+02 
 7.94328235e+07  4.95921760e+03  2.46367668e+02 
