 frequency       v(finalp,finaln) v(finalp,finaln)
 1.04712855e+07 -1.76814016e+03 -3.36603820e+01 
 1.07151931e+07 -1.76814940e+03 -3.27092041e+01 
 1.09647820e+07 -1.76815653e+03 -3.17756385e+01 
 1.12201845e+07 -1.76816159e+03 -3.08592132e+01 
 1.14815362e+07 -1.76816457e+03 -2.99594667e+01 
 1.17489755e+07 -1.76816551e+03 -2.90759473e+01 
 1.20226443e+07 -1.76816442e+03 -2.82082133e+01 
 1.23026877e+07 -1.76816129e+03 -2.73558328e+01 
 1.25892541e+07 -1.76815614e+03 -2.65183835e+01 
 1.28824955e+07 -1.76814897e+03 -2.56954525e+01 
 1.31825674e+07 -1.76813977e+03 -2.48866366e+01 
 1.34896288e+07 -1.76812855e+03 -2.40915416e+01 
 1.38038426e+07 -1.76811529e+03 -2.33097826e+01 
 1.41253754e+07 -1.76809999e+03 -2.25409838e+01 
 1.44543977e+07 -1.76808263e+03 -2.17847784e+01 
 1.47910839e+07 -1.76806319e+03 -2.10408083e+01 
 1.51356125e+07 -1.76804166e+03 -2.03087246e+01 
 1.54881662e+07 -1.76801802e+03 -1.95881869e+01 
 1.58489319e+07 -1.76799224e+03 -1.88788636e+01 
 1.62181010e+07 -1.76796430e+03 -1.81804318e+01 
 1.65958691e+07 -1.76793417e+03 -1.74925772e+01 
 1.69824365e+07 -1.76790182e+03 -1.68149939e+01 
 1.73780083e+07 -1.76786721e+03 -1.61473848e+01 
 1.77827941e+07 -1.76783033e+03 -1.54894610e+01 
 1.81970086e+07 -1.76779112e+03 -1.48409424e+01 
 1.86208714e+07 -1.76774955e+03 -1.42015570e+01 
 1.90546072e+07 -1.76770560e+03 -1.35710413e+01 
 1.94984460e+07 -1.76765921e+03 -1.29491404e+01 
 1.99526231e+07 -1.76761034e+03 -1.23356074e+01 
 2.04173794e+07 -1.76755897e+03 -1.17302040e+01 
 2.08929613e+07 -1.76750504e+03 -1.11326999e+01 
 2.13796209e+07 -1.76744852e+03 -1.05428733e+01 
 2.18776162e+07 -1.76738936e+03 -9.96051055e+00 
 2.23872114e+07 -1.76732752e+03 -9.38540609e+00 
 2.29086765e+07 -1.76726297e+03 -8.81736250e+00 
 2.34422882e+07 -1.76719566e+03 -8.25619040e+00 
 2.39883292e+07 -1.76712556e+03 -7.70170836e+00 
 2.45470892e+07 -1.76705263e+03 -7.15374281e+00 
