 time            v(bufinp)       v(bufinn)       v(outp)         v(outn)        
 1.02560000e-10  2.30183028e+00  2.16816972e+00  2.61548422e+00  2.79335761e+00 
 1.04560000e-10  2.30294263e+00  2.16705737e+00  2.61396500e+00  2.79482235e+00 
 1.06560000e-10  2.30404424e+00  2.16595576e+00  2.61246060e+00  2.79627175e+00 
 1.08560000e-10  2.30513495e+00  2.16486505e+00  2.61097124e+00  2.79770561e+00 
 1.10560000e-10  2.30621459e+00  2.16378541e+00  2.60949717e+00  2.79912373e+00 
 1.12560000e-10  2.30728298e+00  2.16271702e+00  2.60803861e+00  2.80052589e+00 
 1.14560000e-10  2.30833996e+00  2.16166004e+00  2.60659581e+00  2.80191191e+00 
 1.16560000e-10  2.30938535e+00  2.16061465e+00  2.60516899e+00  2.80328158e+00 
 1.18560000e-10  2.31041900e+00  2.15958100e+00  2.60375838e+00  2.80463472e+00 
 1.20560000e-10  2.31144074e+00  2.15855926e+00  2.60236419e+00  2.80597113e+00 
 1.22560000e-10  2.31245041e+00  2.15754959e+00  2.60098664e+00  2.80729064e+00 
 1.24560000e-10  2.31344785e+00  2.15655215e+00  2.59962596e+00  2.80859306e+00 
 1.26560000e-10  2.31443290e+00  2.15556710e+00  2.59828234e+00  2.80987823e+00 
 1.28560000e-10  2.31540541e+00  2.15459459e+00  2.59695599e+00  2.81114596e+00 
 1.30560000e-10  2.31636522e+00  2.15363478e+00  2.59564713e+00  2.81239610e+00 
 1.32560000e-10  2.31731218e+00  2.15268782e+00  2.59435595e+00  2.81362849e+00 
 1.34560000e-10  2.31824614e+00  2.15175386e+00  2.59308264e+00  2.81484295e+00 
 1.36560000e-10  2.31916696e+00  2.15083304e+00  2.59182739e+00  2.81603935e+00 
 1.38560000e-10  2.32007449e+00  2.14992551e+00  2.59059041e+00  2.81721752e+00 
 1.40560000e-10  2.32096858e+00  2.14903142e+00  2.58937186e+00  2.81837732e+00 
 1.42560000e-10  2.32184910e+00  2.14815090e+00  2.58817193e+00  2.81951862e+00 
 1.44560000e-10  2.32271590e+00  2.14728410e+00  2.58699081e+00  2.82064127e+00 
 1.46560000e-10  2.32356885e+00  2.14643115e+00  2.58582865e+00  2.82174513e+00 
 1.48560000e-10  2.32440782e+00  2.14559218e+00  2.58468564e+00  2.82283009e+00 
 1.50560000e-10  2.32523267e+00  2.14476733e+00  2.58356194e+00  2.82389600e+00 
 1.52560000e-10  2.32604327e+00  2.14395673e+00  2.58245771e+00  2.82494276e+00 
 1.54560000e-10  2.32683949e+00  2.14316051e+00  2.58137310e+00  2.82597024e+00 
 1.56560000e-10  2.32762121e+00  2.14237879e+00  2.58030828e+00  2.82697832e+00 
 1.58560000e-10  2.32838830e+00  2.14161170e+00  2.57926340e+00  2.82796690e+00 
 1.60560000e-10  2.32914065e+00  2.14085935e+00  2.57823860e+00  2.82893587e+00 
 1.62560000e-10  2.32987813e+00  2.14012187e+00  2.57723402e+00  2.82988513e+00 
 1.64560000e-10  2.33060062e+00  2.13939938e+00  2.57624980e+00  2.83081457e+00 
 1.66560000e-10  2.33130802e+00  2.13869198e+00  2.57528609e+00  2.83172411e+00 
 1.68560000e-10  2.33200022e+00  2.13799978e+00  2.57434301e+00  2.83261365e+00 
 1.70560000e-10  2.33267709e+00  2.13732291e+00  2.57342070e+00  2.83348310e+00 
 1.72560000e-10  2.33333854e+00  2.13666146e+00  2.57251927e+00  2.83433237e+00 
 1.74560000e-10  2.33398447e+00  2.13601553e+00  2.57163884e+00  2.83516139e+00 
 1.76560000e-10  2.33461476e+00  2.13538524e+00  2.57077954e+00  2.83597008e+00 
 1.78560000e-10  2.33522932e+00  2.13477068e+00  2.56994149e+00  2.83675835e+00 
 1.80560000e-10  2.33582805e+00  2.13417195e+00  2.56912478e+00  2.83752615e+00 
 1.82560000e-10  2.33641087e+00  2.13358913e+00  2.56832952e+00  2.83827340e+00 
 1.84560000e-10  2.33697766e+00  2.13302234e+00  2.56755583e+00  2.83900003e+00 
