 frequency       v(finalp,finaln) v(finalp,finaln)
 1.07151931e+07 -2.47242175e+03  2.27381352e+00 
 1.09647820e+07 -2.47242165e+03  2.38811442e+00 
 1.12201845e+07 -2.47242154e+03  2.50368154e+00 
 1.14815362e+07 -2.47242142e+03  2.62057616e+00 
 1.17489755e+07 -2.47242130e+03  2.73886026e+00 
 1.20226443e+07 -2.47242117e+03  2.85859655e+00 
 1.23026877e+07 -2.47242103e+03  2.97984853e+00 
 1.25892541e+07 -2.47242088e+03  3.10268048e+00 
 1.28824955e+07 -2.47242072e+03  3.22715753e+00 
 1.31825674e+07 -2.47242055e+03  3.35334568e+00 
 1.34896288e+07 -2.47242037e+03  3.48131184e+00 
 1.38038426e+07 -2.47242018e+03  3.61112386e+00 
 1.41253754e+07 -2.47241998e+03  3.74285057e+00 
 1.44543977e+07 -2.47241977e+03  3.87656180e+00 
 1.47910839e+07 -2.47241954e+03  4.01232846e+00 
 1.51356125e+07 -2.47241931e+03  4.15022254e+00 
 1.54881662e+07 -2.47241906e+03  4.29031714e+00 
 1.58489319e+07 -2.47241880e+03  4.43268654e+00 
 1.62181010e+07 -2.47241852e+03  4.57740625e+00 
 1.65958691e+07 -2.47241823e+03  4.72455297e+00 
 1.69824365e+07 -2.47241793e+03  4.87420475e+00 
 1.73780083e+07 -2.47241761e+03  5.02644091e+00 
 1.77827941e+07 -2.47241727e+03  5.18134219e+00 
 1.81970086e+07 -2.47241692e+03  5.33899071e+00 
 1.86208714e+07 -2.47241655e+03  5.49947006e+00 
 1.90546072e+07 -2.47241616e+03  5.66286532e+00 
 1.94984460e+07 -2.47241575e+03  5.82926313e+00 
 1.99526231e+07 -2.47241532e+03  5.99875172e+00 
 2.04173794e+07 -2.47241487e+03  6.17142095e+00 
 2.08929613e+07 -2.47241439e+03  6.34736236e+00 
 2.13796209e+07 -2.47241390e+03  6.52666925e+00 
 2.18776162e+07 -2.47241338e+03  6.70943668e+00 
 2.23872114e+07 -2.47241283e+03  6.89576155e+00 
 2.29086765e+07 -2.47241226e+03  7.08574265e+00 
 2.34422882e+07 -2.47241166e+03  7.27948070e+00 
 2.39883292e+07 -2.47241103e+03  7.47707843e+00 
 2.45470892e+07 -2.47241037e+03  7.67864060e+00 
 2.51188643e+07 -2.47240968e+03  7.88427406e+00 
 2.57039578e+07 -2.47240896e+03  8.09408785e+00 
 2.63026799e+07 -2.47240820e+03  8.30819319e+00 
 2.69153480e+07 -2.47240740e+03  8.52670360e+00 
 2.75422870e+07 -2.47240657e+03  8.74973492e+00 
 2.81838293e+07 -2.47240569e+03  8.97740540e+00 
 2.88403150e+07 -2.47240478e+03  9.20983572e+00 
 2.95120923e+07 -2.47240382e+03  9.44714912e+00 
 3.01995172e+07 -2.47240281e+03  9.68947140e+00 
 3.09029543e+07 -2.47240176e+03  9.93693101e+00 
 3.16227766e+07 -2.47240066e+03  1.01896591e+01 
 3.23593657e+07 -2.47239950e+03  1.04477898e+01 
 3.31131121e+07 -2.47239829e+03  1.07114597e+01 
 3.38844156e+07 -2.47239703e+03  1.09808088e+01 
 3.46736850e+07 -2.47239570e+03  1.12559798e+01 
 3.54813389e+07 -2.47239431e+03  1.15371184e+01 
 3.63078055e+07 -2.47239285e+03  1.18243739e+01 
 3.71535229e+07 -2.47239132e+03  1.21178983e+01 
 3.80189396e+07 -2.47238972e+03  1.24178474e+01 
 3.89045145e+07 -2.47238805e+03  1.27243800e+01 
 3.98107171e+07 -2.47238629e+03  1.30376587e+01 
 4.07380278e+07 -2.47238446e+03  1.33578495e+01 
 4.16869383e+07 -2.47238253e+03  1.36851221e+01 
 4.26579519e+07 -2.47238052e+03  1.40196499e+01 
 4.36515832e+07 -2.47237841e+03  1.43616103e+01 
 4.46683592e+07 -2.47237620e+03  1.47111844e+01 
 4.57088190e+07 -2.47237388e+03  1.50685575e+01 
 4.67735141e+07 -2.47237146e+03  1.54339190e+01 
 4.78630092e+07 -2.47236892e+03  1.58074626e+01 
 4.89778819e+07 -2.47236626e+03  1.61893861e+01 
 5.01187234e+07 -2.47236347e+03  1.65798919e+01 
 5.12861384e+07 -2.47236056e+03  1.69791870e+01 
 5.24807460e+07 -2.47235750e+03  1.73874830e+01 
 5.37031796e+07 -2.47235431e+03  1.78049961e+01 
 5.49540874e+07 -2.47235096e+03  1.82319476e+01 
 5.62341325e+07 -2.47234745e+03  1.86685638e+01 
 5.75439937e+07 -2.47234378e+03  1.91150759e+01 
 5.88843655e+07 -2.47233994e+03  1.95717205e+01 
 6.02559586e+07 -2.47233591e+03  2.00387396e+01 
 6.16595002e+07 -2.47233169e+03  2.05163806e+01 
 6.30957344e+07 -2.47232728e+03  2.10048964e+01 
 6.45654229e+07 -2.47232266e+03  2.15045460e+01 
 6.60693448e+07 -2.47231782e+03  2.20155940e+01 
 6.76082975e+07 -2.47231276e+03  2.25383112e+01 
 6.91830971e+07 -2.47230745e+03  2.30729744e+01 
 7.07945784e+07 -2.47230190e+03  2.36198669e+01 
 7.24435960e+07 -2.47229608e+03  2.41792784e+01 
 7.41310241e+07 -2.47229000e+03  2.47515052e+01 
 7.58577575e+07 -2.47228362e+03  2.53368504e+01 
 7.76247117e+07 -2.47227695e+03  2.59356241e+01 
 7.94328235e+07 -2.47226997e+03  2.65481434e+01 
 8.12830516e+07 -2.47226265e+03  2.71747328e+01 
 8.31763771e+07 -2.47225500e+03  2.78157242e+01 
 8.51138038e+07 -2.47224698e+03  2.84714571e+01 
 8.70963590e+07 -2.47223859e+03  2.91422788e+01 
 8.91250938e+07 -2.47222981e+03  2.98285445e+01 
 9.12010839e+07 -2.47222061e+03  3.05306179e+01 
 9.33254301e+07 -2.47221099e+03  3.12488706e+01 
 9.54992586e+07 -2.47220091e+03  3.19836832e+01 
 9.77237221e+07 -2.47219036e+03  3.27354448e+01 
 1.00000000e+08 -2.47217931e+03  3.35045534e+01 
 1.02329299e+08 -2.47216775e+03  3.42914165e+01 
 1.04712855e+08 -2.47215565e+03  3.50964508e+01 
 1.07151931e+08 -2.47214298e+03  3.59200825e+01 
 1.09647820e+08 -2.47212971e+03  3.67627478e+01 
 1.12201845e+08 -2.47211583e+03  3.76248930e+01 
 1.14815362e+08 -2.47210129e+03  3.85069746e+01 
 1.17489755e+08 -2.47208608e+03  3.94094595e+01 
 1.20226443e+08 -2.47207015e+03  4.03328258e+01 
 1.23026877e+08 -2.47205347e+03  4.12775623e+01 
 1.25892541e+08 -2.47203602e+03  4.22441692e+01 
 1.28824955e+08 -2.47201774e+03  4.32331581e+01 
 1.31825674e+08 -2.47199861e+03  4.42450528e+01 
 1.34896288e+08 -2.47197858e+03  4.52803888e+01 
 1.38038426e+08 -2.47195762e+03  4.63397142e+01 
 1.41253754e+08 -2.47193567e+03  4.74235897e+01 
 1.44543977e+08 -2.47191269e+03  4.85325890e+01 
 1.47910839e+08 -2.47188864e+03  4.96672990e+01 
 1.51356125e+08 -2.47186346e+03  5.08283202e+01 
 1.54881662e+08 -2.47183710e+03  5.20162668e+01 
 1.58489319e+08 -2.47180950e+03  5.32317676e+01 
 1.62181010e+08 -2.47178061e+03  5.44754654e+01 
 1.65958691e+08 -2.47175036e+03  5.57480184e+01 
 1.69824365e+08 -2.47171869e+03  5.70500995e+01 
 1.73780083e+08 -2.47168554e+03  5.83823974e+01 
 1.77827941e+08 -2.47165083e+03  5.97456167e+01 
 1.81970086e+08 -2.47161449e+03  6.11404783e+01 
 1.86208714e+08 -2.47157644e+03  6.25677195e+01 
 1.90546072e+08 -2.47153661e+03  6.40280948e+01 
 1.94984460e+08 -2.47149491e+03  6.55223760e+01 
 1.99526231e+08 -2.47145125e+03  6.70513530e+01 
 2.04173794e+08 -2.47140554e+03  6.86158334e+01 
 2.08929613e+08 -2.47135768e+03  7.02166439e+01 
 2.13796209e+08 -2.47130758e+03  7.18546299e+01 
 2.18776162e+08 -2.47125512e+03  7.35306565e+01 
 2.23872114e+08 -2.47120019e+03  7.52456085e+01 
 2.29086765e+08 -2.47114268e+03  7.70003912e+01 
 2.34422882e+08 -2.47108247e+03  7.87959308e+01 
 2.39883292e+08 -2.47101942e+03  8.06331745e+01 
 2.45470892e+08 -2.47095342e+03  8.25130917e+01 
 2.51188643e+08 -2.47088430e+03  8.44366737e+01 
 2.57039578e+08 -2.47081194e+03  8.64049347e+01 
 2.63026799e+08 -2.47073618e+03  8.84189122e+01 
 2.69153480e+08 -2.47065685e+03  9.04796674e+01 
 2.75422870e+08 -2.47057379e+03  9.25882859e+01 
 2.81838293e+08 -2.47048682e+03  9.47458781e+01 
 2.88403150e+08 -2.47039576e+03  9.69535799e+01 
 2.95120923e+08 -2.47030042e+03  9.92125531e+01 
 3.01995172e+08 -2.47020058e+03  1.01523986e+02 
 3.09029543e+08 -2.47009606e+03  1.03889094e+02 
 3.16227766e+08 -2.46998661e+03  1.06309121e+02 
 3.23593657e+08 -2.46987201e+03  1.08785338e+02 
 3.31131121e+08 -2.46975202e+03  1.11319046e+02 
 3.38844156e+08 -2.46962638e+03  1.13911574e+02 
 3.46736850e+08 -2.46949483e+03  1.16564284e+02 
 3.54813389e+08 -2.46935709e+03  1.19278566e+02 
 3.63078055e+08 -2.46921286e+03  1.22055843e+02 
 3.71535229e+08 -2.46906185e+03  1.24897570e+02 
 3.80189396e+08 -2.46890373e+03  1.27805236e+02 
 3.89045145e+08 -2.46873817e+03  1.30780361e+02 
 3.98107171e+08 -2.46856481e+03  1.33824501e+02 
 4.07380278e+08 -2.46838329e+03  1.36939249e+02 
 4.16869383e+08 -2.46819324e+03  1.40126229e+02 
 4.26579519e+08 -2.46799423e+03  1.43387105e+02 
 4.36515832e+08 -2.46778586e+03  1.46723579e+02 
 4.46683592e+08 -2.46756768e+03  1.50137387e+02 
 4.57088190e+08 -2.46733924e+03  1.53630309e+02 
 4.67735141e+08 -2.46710005e+03  1.57204160e+02 
 4.78630092e+08 -2.46684959e+03  1.60860798e+02 
 4.89778819e+08 -2.46658736e+03  1.64602121e+02 
 5.01187234e+08 -2.46631278e+03  1.68430071e+02 
 5.12861384e+08 -2.46602528e+03  1.72346630e+02 
 5.24807460e+08 -2.46572426e+03  1.76353826e+02 
 5.37031796e+08 -2.46540908e+03  1.80453730e+02 
 5.49540874e+08 -2.46507906e+03  1.84648460e+02 
 5.62341325e+08 -2.46473352e+03  1.88940178e+02 
 5.75439937e+08 -2.46437173e+03  1.93331095e+02 
 5.88843655e+08 -2.46399292e+03  1.97823469e+02 
 6.02559586e+08 -2.46359630e+03  2.02419608e+02 
 6.16595002e+08 -2.46318102e+03  2.07121868e+02 
 6.30957344e+08 -2.46274622e+03  2.11932655e+02 
 6.45654229e+08 -2.46229097e+03  2.16854431e+02 
 6.60693448e+08 -2.46181431e+03  2.21889704e+02 
 6.76082975e+08 -2.46131525e+03  2.27041039e+02 
 6.91830971e+08 -2.46079274e+03  2.32311055e+02 
 7.07945784e+08 -2.46024566e+03  2.37702425e+02 
 7.24435960e+08 -2.45967288e+03  2.43217877e+02 
 7.41310241e+08 -2.45907318e+03  2.48860197e+02 
 7.58577575e+08 -2.45844531e+03  2.54632228e+02 
 7.76247117e+08 -2.45778794e+03  2.60536870e+02 
 7.94328235e+08 -2.45709970e+03  2.66577084e+02 
 8.12830516e+08 -2.45637914e+03  2.72755889e+02 
