 frequency       v(finalp,finaln) v(finalp,finaln) v(v1p,v1n)      v(v1p,v1n)      v(vga1p,vga1n)  v(vga1p,vga1n)  v(v2p,v2n)      v(v2p,v2n)      v(vga2p,vga2n)  v(vga2p,vga2n)  v(bufinp,bufinn) v(bufinp,bufinn) v(outp,outn)    v(outp,outn)   
 1.00000000e+06 -1.06771000e+03  2.02731182e+03 -3.46992217e+02 -2.13917579e+02  4.59053144e+02  2.82020143e+02  1.33885983e+02  3.90577553e+02 -7.44003566e+02 -2.15996691e+03  7.26113350e+02 -1.37857936e+03 -1.06805487e+03  2.02792569e+03 
 1.02329299e+06 -1.02792029e+03  2.11850844e+03 -3.51294258e+02 -2.11639227e+02  4.64716373e+02  2.78993610e+02  1.44438501e+02  3.93562606e+02 -8.02391854e+02 -2.17632086e+03  6.99059289e+02 -1.44059504e+03 -1.02825411e+03  2.11915047e+03 
 1.04712855e+06 -9.83596675e+02  2.20908968e+03 -3.55504688e+02 -2.09299842e+02  4.70258010e+02  2.75887327e+02  1.55079975e+02  3.96208513e+02 -8.61263827e+02 -2.19079691e+03  6.68922209e+02 -1.50219240e+03 -9.83918088e+02  2.20975970e+03 
 1.07151931e+06 -9.34774282e+02  2.29877170e+03 -3.59622080e+02 -2.06903788e+02  4.75676228e+02  2.72707081e+02  1.65791622e+02  3.98513698e+02 -9.20515481e+02 -2.20338692e+03  6.35726006e+02 -1.56317844e+03 -9.35081946e+02  2.29946951e+03 
 1.09647820e+06 -8.81510514e+02  2.38727446e+03 -3.63645265e+02 -2.04455417e+02  4.80969537e+02  2.69458633e+02  1.76554801e+02  4.00477830e+02 -9.80043651e+02 -2.21408962e+03  5.99509706e+02 -1.62336275e+03 -8.81803102e+02  2.38799975e+03 
 1.12201845e+06 -8.23884474e+02  2.47432371e+03 -3.67573321e+02 -2.01959049e+02  4.86136773e+02  2.66147702e+02  1.87351112e+02  4.02101794e+02 -1.03974655e+03 -2.22291047e+03  5.60327094e+02 -1.68255882e+03 -8.24160681e+02  2.47507609e+03 
 1.14815362e+06 -7.61996214e+02  2.55965292e+03 -3.71405565e+02 -1.99418960e+02  4.91177091e+02  2.62779944e+02  1.98162485e+02  4.03387644e+02 -1.09952425e+03 -2.22986139e+03  5.18246203e+02 -1.74058542e+03 -7.62254764e+02  2.56043193e+03 
 1.17489755e+06 -6.95965789e+02  2.64300513e+03 -3.75141547e+02 -1.96839367e+02  4.96089950e+02  2.59360932e+02  2.08971265e+02  4.04338553e+02 -1.15927918e+03 -2.23496048e+03  4.73348665e+02 -1.79726783e+03 -6.96205441e+02  2.64381022e+03 
 1.20226443e+06 -6.25932133e+02  2.72413464e+03 -3.78781036e+02 -1.94224415e+02  5.00875098e+02  2.55896142e+02  2.19760290e+02  4.04958760e+02 -1.21891653e+03 -2.23823173e+03  4.25728951e+02 -1.85243897e+03 -6.26151686e+02  2.72496520e+03 
 1.23026877e+06 -5.52051774e+02  2.80280859e+03 -3.82324014e+02 -1.91578167e+02  5.05532563e+02  2.52390936e+02  2.30512963e+02  4.05253506e+02 -1.27834466e+03 -2.23970465e+03  3.75493495e+02 -1.90594049e+03 -5.52250074e+02  2.80366392e+03 
 1.25892541e+06 -4.74497419e+02  2.87880830e+03 -3.85770662e+02 -1.88904590e+02  5.10062637e+02  2.48850548e+02  2.41213313e+02  4.05228967e+02 -1.33747543e+03 -2.23941389e+03  3.22759734e+02 -1.95762371e+03 -4.74673361e+02  2.87968766e+03 
 1.28824955e+06 -3.93456418e+02  2.95193054e+03 -3.89121349e+02 -1.86207549e+02  5.14465857e+02  2.45280074e+02  2.51846051e+02  4.04892184e+02 -1.39622450e+03 -2.23739890e+03  2.67655061e+02 -2.00735042e+03 -3.93608952e+02  2.95283312e+03 
 1.31825674e+06 -3.09129138e+02  3.02198854e+03 -3.92376624e+02 -1.83490798e+02  5.18742994e+02  2.41684461e+02  2.62396619e+02  4.04250992e+02 -1.45451162e+03 -2.23370345e+03  2.10315722e+02 -2.05499362e+03 -3.09257274e+02  3.02291346e+03 
 1.34896288e+06 -2.21727273e+02  3.08881283e+03 -3.95537200e+02 -1.80757974e+02  5.22895037e+02  2.38068494e+02  2.72851231e+02  4.03313946e+02 -1.51226083e+03 -2.22837530e+03  1.50885665e+02 -2.10043808e+03 -2.21830085e+02  3.08975918e+03 
 1.38038426e+06 -1.31472109e+02  3.15225190e+03 -3.98603943e+02 -1.78012585e+02  5.26923176e+02  2.34436794e+02  2.83196901e+02  4.02090242e+02 -1.56940063e+03 -2.22146569e+03  8.95153572e+01 -2.14358076e+03 -1.31548732e+02  3.15321872e+03 
 1.41253754e+06 -3.85927587e+01  3.21217266e+03 -4.01577864e+02 -1.75258015e+02  5.30828784e+02  2.30793808e+02  2.93421473e+02  4.00589644e+02 -1.62586413e+03 -2.21302900e+03  2.63605939e+01 -2.18433118e+03 -3.86423998e+01  3.21315895e+03 
 1.44543977e+06  5.66755884e+01  3.26846074e+03 -4.04460103e+02 -1.72497512e+02  5.34613409e+02  2.27143804e+02  3.03513635e+02  3.98822406e+02 -1.68158913e+03 -2.20312228e+03 -3.84187014e+01 -2.22261156e+03  5.66536550e+01  3.26946545e+03 
 1.47910839e+06  1.54093407e+02  3.32102053e+03 -4.07251919e+02 -1.69734186e+02  5.38278751e+02  2.23490867e+02  3.13462931e+02  3.96799201e+02 -1.73651819e+03 -2.19180487e+03 -1.04659655e+02 -2.25835688e+03  1.54099835e+02  3.32204260e+03 
 1.51356125e+06  2.53418530e+02  3.36977516e+03 -4.09954679e+02 -1.66971011e+02  5.41826651e+02  2.19838901e+02  3.23259765e+02  3.94531048e+02 -1.79059862e+03 -2.17913795e+03 -1.72197598e+02 -2.29151487e+03  2.53453903e+02  3.37081351e+03 
 1.54881662e+06  3.54407787e+02  3.41466625e+03 -4.12569848e+02 -1.64210819e+02  5.45259076e+02  2.16191619e+02  3.32895401e+02  3.92029238e+02 -1.84378251e+03 -2.16518422e+03 -2.40867177e+02 -2.32204584e+03  3.54472614e+02  3.41571977e+03 
 1.58489319e+06  4.56818568e+02  3.45565348e+03 -4.15098976e+02 -1.61456302e+02  5.48578102e+02  2.12552551e+02  3.42361952e+02  3.89305271e+02 -1.89602666e+03 -2.15000748e+03 -3.10503421e+02 -2.34992238e+03  4.56913287e+02  3.45672105e+03 
 1.62181010e+06  5.60410299e+02  3.49271413e+03 -4.17543690e+02 -1.58710013e+02  5.51785908e+02  2.08925036e+02  3.51652373e+02  3.86370790e+02 -1.94729252e+03 -2.13367228e+03 -3.80942745e+02 -2.37512901e+03  5.60535277e+02  3.49379462e+03 
 1.65958691e+06  6.64945826e+02  3.52584238e+03 -4.19905683e+02 -1.55974361e+02  5.54884755e+02  2.05312232e+02  3.60760437e+02  3.83237518e+02 -1.99754607e+03 -2.11624359e+03 -4.52023885e+02 -2.39766181e+03  6.65101360e+02  3.52693467e+03 
 1.69824365e+06  7.70192685e+02  3.55504859e+03 -4.22186704e+02 -1.53251619e+02  5.57876975e+02  2.01717109e+02  3.69680721e+02  3.79917206e+02 -2.04675773e+03 -2.09778649e+03 -5.23588769e+02 -2.41752780e+03  7.70379001e+02  3.55615155e+03 
 1.73780083e+06  8.75924259e+02  3.58035844e+03 -4.24388552e+02 -1.50543924e+02  5.60764966e+02  1.98142460e+02  3.78408575e+02  3.76421573e+02 -2.09490220e+03 -2.07836587e+03 -5.95483302e+02 -2.43474445e+03  8.76141518e+02  3.58147097e+03 
 1.77827941e+06  9.81920825e+02  3.60181203e+03 -4.26513063e+02 -1.47853277e+02  5.63551171e+02  1.94590897e+02  3.86940099e+02  3.72762264e+02 -2.14195832e+03 -2.05804616e+03 -6.67558072e+02 -2.44933903e+03  9.82169120e+02  3.60293301e+03 
 1.81970086e+06  1.08797047e+03  3.61946288e+03 -4.28562106e+02 -1.45181547e+02  5.66238075e+02  1.91064859e+02  3.95272111e+02  3.68950798e+02 -2.18790888e+03 -2.03689108e+03 -7.39668981e+02 -2.46134792e+03  1.08824983e+03  3.62059122e+03 
 1.86208714e+06  1.19386988e+03  3.63337690e+03 -4.30537573e+02 -1.42530475e+02  5.68828192e+02  1.87566615e+02  4.03402115e+02  3.64998530e+02 -2.23274046e+03 -2.01496342e+03 -8.11677781e+02 -2.47081596e+03  1.19418028e+03  3.63451155e+03 
 1.90546072e+06  1.29942503e+03  3.64363138e+03 -4.32441374e+02 -1.39901678e+02  5.71324056e+02  1.84098269e+02  4.11328264e+02  3.60916615e+02 -2.27644323e+03 -1.99232483e+03 -8.83452539e+02 -2.47779570e+03  1.29976639e+03  3.64477128e+03 
 1.94984460e+06  1.40445176e+03  3.65031385e+03 -4.34275429e+02 -1.37296647e+02  5.73728213e+02  1.80661765e+02  4.19049331e+02  3.56715975e+02 -2.31901076e+03 -1.96903563e+03 -9.54868015e+02 -2.48234665e+03  1.40482392e+03  3.65145799e+03 
 1.99526231e+06  1.50877615e+03  3.65352105e+03 -4.36041662e+02 -1.34716761e+02  5.76043214e+02  1.77258891e+02  4.26564667e+02  3.52407267e+02 -2.36043981e+03 -1.94515468e+03 -1.02580596e+03 -2.48453461e+03  1.50917893e+03  3.65466844e+03 
 2.04173794e+06  1.61223495e+03  3.65335785e+03 -4.37741997e+02 -1.32163280e+02  5.78271606e+02  1.73891284e+02  4.33874167e+02  3.48000860e+02 -2.40073014e+03 -1.92073922e+03 -1.09615536e+03 -2.48443087e+03  1.61266809e+03  3.65450753e+03 
 2.08929613e+06  1.71467572e+03  3.64993617e+03 -4.39378349e+02 -1.29637358e+02  5.80415925e+02  1.70560441e+02  4.40978235e+02  3.43506814e+02 -2.43988427e+03 -1.89584476e+03 -1.16581255e+03 -2.48211156e+03  1.71513895e+03  3.65108722e+03 
 2.13796209e+06  1.81595703e+03  3.64337397e+03 -4.40952625e+02 -1.27140041e+02  5.82478692e+02  1.67267715e+02  4.47877741e+02  3.38934860e+02 -2.47790733e+03 -1.87052498e+03 -1.23468136e+03 -2.47765688e+03  1.81645000e+03  3.64452550e+03 
 2.18776162e+06  1.91594844e+03  3.63379424e+03 -4.42466716e+02 -1.24672277e+02  5.84462407e+02  1.64014330e+02  4.54573994e+02  3.34294386e+02 -2.51480682e+03 -1.84483166e+03 -1.30267311e+03 -2.47115046e+03  1.91647079e+03  3.63494541e+03 
 2.23872114e+06  2.01453051e+03  3.62132405e+03 -4.43922493e+02 -1.22234914e+02  5.86369542e+02  1.60801383e+02  4.61068698e+02  3.29594426e+02 -2.55059245e+03 -1.81881457e+03 -1.36970656e+03 -2.46267872e+03  2.01508184e+03  3.62247404e+03 
 2.29086765e+06  2.11159467e+03  3.60609364e+03 -4.45321806e+02 -1.19828710e+02  5.88202541e+02  1.57629848e+02  4.67363924e+02  3.24843652e+02 -2.58527588e+03 -1.79252151e+03 -1.43570789e+03 -2.45233021e+03  2.11217453e+03  3.60724167e+03 
 2.34422882e+06  2.20704300e+03  3.58823552e+03 -4.46666478e+02 -1.17454334e+02  5.89963809e+02  1.54500586e+02  4.73462070e+02  3.20050362e+02 -2.61887063e+03 -1.76599819e+03 -1.50061052e+03 -2.44019504e+03  2.20765093e+03  3.58938087e+03 
 2.39883292e+06  2.30078805e+03  3.56788372e+03 -4.47958304e+02 -1.15112372e+02  5.91655717e+02  1.51414346e+02  4.79365833e+02  3.15222485e+02 -2.65139180e+03 -1.73928827e+03 -1.56435498e+03 -2.42636436e+03  2.30142355e+03  3.56902569e+03 
 2.45470892e+06  2.39275248e+03  3.54517298e+03 -4.49199049e+02 -1.12803330e+02  5.93280590e+02  1.48371775e+02  4.85078177e+02  3.10367573e+02 -2.68285598e+03 -1.71243331e+03 -1.62688867e+03 -2.41092980e+03  2.39341503e+03  3.54631093e+03 
 2.51188643e+06  2.48286876e+03  3.52023808e+03 -4.50390445e+02 -1.10527640e+02  5.94840713e+02  1.45373422e+02  4.90602302e+02  3.05492803e+02 -2.71328103e+03 -1.68547281e+03 -1.68816568e+03 -2.39398299e+03  2.48355783e+03  3.52137140e+03 
 2.57039578e+06  2.57107877e+03  3.49321320e+03 -4.51534190e+02 -1.08285662e+02  5.96338322e+02  1.42419741e+02  4.95941613e+02  3.00604980e+02 -2.74268593e+03 -1.65844420e+03 -1.74814649e+03 -2.37561519e+03  2.57179381e+03  3.49434132e+03 
 2.63026799e+06  2.65733345e+03  3.46423134e+03 -4.52631944e+02 -1.06077689e+02  5.97775606e+02  1.39511102e+02  5.01099699e+02  2.95710542e+02 -2.77109068e+03 -1.63138288e+03 -1.80679773e+03 -2.35591684e+03  2.65807387e+03  3.46535372e+03 
 2.69153480e+06  2.74159227e+03  3.43342376e+03 -4.53685333e+02 -1.03903952e+02  5.99154704e+02  1.36647789e+02  5.06080303e+02  2.90815563e+02 -2.79851609e+03 -1.60432224e+03 -1.86409185e+03 -2.33497719e+03  2.74235750e+03  3.43453992e+03 
 2.75422870e+06  2.82382288e+03  3.40091957e+03 -4.54695941e+02 -1.01764623e+02  6.00477703e+02  1.33830011e+02  5.10887297e+02  2.85925762e+02 -2.82498369e+03 -1.57729370e+03 -1.92000684e+03 -2.31288404e+03  2.82461232e+03  3.40202906e+03 
 2.81838293e+06  2.90400060e+03  3.36684525e+03 -4.55665315e+02 -9.96598162e+01  6.01746638e+02  1.31057904e+02  5.15524664e+02  2.81046506e+02 -2.85051558e+03 -1.55032675e+03 -1.97452592e+03 -2.28972341e+03  2.90481366e+03  3.36794767e+03 
 2.88403150e+06  2.98210797e+03  3.33132436e+03 -4.56594962e+02 -9.75895960e+01  6.02963492e+02  1.28331536e+02  5.19996472e+02  2.76182827e+02 -2.87513436e+03 -1.52344902e+03 -2.02763721e+03 -2.26557930e+03  2.98294403e+03  3.33241934e+03 
 2.95120923e+06  3.05813425e+03  3.29447717e+03 -4.57486349e+02 -9.55539777e+01  6.04130195e+02  1.25650913e+02  5.24306858e+02  2.71339423e+02 -2.89886295e+03 -1.49668628e+03 -2.07933343e+03 -2.24053351e+03  3.05899271e+03  3.29556436e+03 
 3.01995172e+06  3.13207502e+03  3.25642040e+03 -4.58340903e+02 -9.35529311e+01  6.05248620e+02  1.23015980e+02  5.28460008e+02  2.66520673e+02 -2.92172457e+03 -1.47006257e+03 -2.12961155e+03 -2.21466542e+03  3.13295526e+03  3.25749951e+03 
 3.09029543e+06  3.20393163e+03  3.21726703e+03 -4.59160008e+02 -9.15863842e+01  6.06320591e+02  1.20426628e+02  5.32460141e+02  2.61730646e+02 -2.94374259e+03 -1.44360019e+03 -2.17847250e+03 -2.18805185e+03  3.20483305e+03  3.21833780e+03 
 3.16227766e+06  3.27371084e+03  3.17712612e+03 -4.59945010e+02 -8.96542260e+01  6.07347875e+02  1.17882699e+02  5.36311494e+02  2.56973113e+02 -2.96494046e+03 -1.41731983e+03 -2.22592086e+03 -2.16076696e+03  3.27463282e+03  3.17818831e+03 
 3.23593657e+06  3.34142428e+03  3.13610262e+03 -4.60697214e+02 -8.77563092e+01  6.08332186e+02  1.15383987e+02  5.40018305e+02  2.52251556e+02 -2.98534165e+03 -1.39124057e+03 -2.27196456e+03 -2.13288214e+03  3.34236622e+03  3.13715604e+03 
