 frequency       v(finalp,finaln) v(finalp,finaln)
 1.00000000e+06  8.43877898e+02  2.94920678e+03 
 1.02329299e+06  9.31320865e+02  2.96124949e+03 
 1.04712855e+06  1.01848209e+03  2.97020593e+03 
 1.07151931e+06  1.10520451e+03  2.97615194e+03 
 1.09647820e+06  1.19134015e+03  2.97917119e+03 
 1.12201845e+06  1.27675040e+03  2.97935423e+03 
 1.14815362e+06  1.36130619e+03  2.97679755e+03 
 1.17489755e+06  1.44488807e+03  2.97160263e+03 
 1.20226443e+06  1.52738620e+03  2.96387514e+03 
 1.23026877e+06  1.60870031e+03  2.95372399e+03 
 1.25892541e+06  1.68873954e+03  2.94126065e+03 
 1.28824955e+06  1.76742227e+03  2.92659830e+03 
 1.31825674e+06  1.84467585e+03  2.90985121e+03 
 1.34896288e+06  1.92043635e+03  2.89113403e+03 
 1.38038426e+06  1.99464824e+03  2.87056126e+03 
 1.41253754e+06  2.06726401e+03  2.84824664e+03 
 1.44543977e+06  2.13824382e+03  2.82430272e+03 
 1.47910839e+06  2.20755511e+03  2.79884039e+03 
 1.51356125e+06  2.27517221e+03  2.77196850e+03 
 1.54881662e+06  2.34107588e+03  2.74379352e+03 
 1.58489319e+06  2.40525298e+03  2.71441924e+03 
 1.62181010e+06  2.46769597e+03  2.68394653e+03 
 1.65958691e+06  2.52840256e+03  2.65247313e+03 
 1.69824365e+06  2.58737530e+03  2.62009347e+03 
 1.73780083e+06  2.64462113e+03  2.58689853e+03 
 1.77827941e+06  2.70015110e+03  2.55297574e+03 
 1.81970086e+06  2.75397989e+03  2.51840893e+03 
 1.86208714e+06  2.80612554e+03  2.48327823e+03 
 1.90546072e+06  2.85660907e+03  2.44766010e+03 
 1.94984460e+06  2.90545416e+03  2.41162733e+03 
 1.99526231e+06  2.95268684e+03  2.37524900e+03 
 2.04173794e+06  2.99833521e+03  2.33859059e+03 
 2.08929613e+06  3.04242916e+03  2.30171399e+03 
 2.13796209e+06  3.08500013e+03  2.26467758e+03 
 2.18776162e+06  3.12608083e+03  2.22753629e+03 
 2.23872114e+06  3.16570508e+03  2.19034172e+03 
 2.29086765e+06  3.20390755e+03  2.15314220e+03 
 2.34422882e+06  3.24072358e+03  2.11598292e+03 
 2.39883292e+06  3.27618903e+03  2.07890601e+03 
 2.45470892e+06  3.31034011e+03  2.04195066e+03 
 2.51188643e+06  3.34321322e+03  2.00515325e+03 
 2.57039578e+06  3.37484481e+03  1.96854742e+03 
 2.63026799e+06  3.40527130e+03  1.93216424e+03 
 2.69153480e+06  3.43452893e+03  1.89603227e+03 
 2.75422870e+06  3.46265370e+03  1.86017773e+03 
 2.81838293e+06  3.48968124e+03  1.82462458e+03 
 2.88403150e+06  3.51564676e+03  1.78939461e+03 
 2.95120923e+06  3.54058499e+03  1.75450762e+03 
 3.01995172e+06  3.56453011e+03  1.71998145e+03 
 3.09029543e+06  3.58751569e+03  1.68583213e+03 
 3.16227766e+06  3.60957464e+03  1.65207399e+03 
 3.23593657e+06  3.63073922e+03  1.61871970e+03 
 3.31131121e+06  3.65104096e+03  1.58578043e+03 
 3.38844156e+06  3.67051063e+03  1.55326592e+03 
 3.46736850e+06  3.68917829e+03  1.52118454e+03 
 3.54813389e+06  3.70707317e+03  1.48954343e+03 
 3.63078055e+06  3.72422374e+03  1.45834851e+03 
 3.71535229e+06  3.74065768e+03  1.42760462e+03 
 3.80189396e+06  3.75640186e+03  1.39731558e+03 
 3.89045145e+06  3.77148236e+03  1.36748422e+03 
 3.98107171e+06  3.78592444e+03  1.33811249e+03 
 4.07380278e+06  3.79975260e+03  1.30920153e+03 
 4.16869383e+06  3.81299051e+03  1.28075168e+03 
 4.26579519e+06  3.82566110e+03  1.25276258e+03 
 4.36515832e+06  3.83778651e+03  1.22523322e+03 
 4.46683592e+06  3.84938811e+03  1.19816197e+03 
 4.57088190e+06  3.86048655e+03  1.17154663e+03 
 4.67735141e+06  3.87110173e+03  1.14538453e+03 
 4.78630092e+06  3.88125282e+03  1.11967247e+03 
 4.89778819e+06  3.89095831e+03  1.09440685e+03 
 5.01187234e+06  3.90023599e+03  1.06958369e+03 
 5.12861384e+06  3.90910298e+03  1.04519861e+03 
 5.24807460e+06  3.91757573e+03  1.02124694e+03 
 5.37031796e+06  3.92567006e+03  9.97723687e+02 
 5.49540874e+06  3.93340118e+03  9.74623615e+02 
 5.62341325e+06  3.94078366e+03  9.51941236e+02 
 5.75439937e+06  3.94783152e+03  9.29670847e+02 
 5.88843655e+06  3.95455817e+03  9.07806557e+02 
 6.02559586e+06  3.96097648e+03  8.86342303e+02 
 6.16595002e+06  3.96709878e+03  8.65271875e+02 
 6.30957344e+06  3.97293687e+03  8.44588929e+02 
 6.45654229e+06  3.97850203e+03  8.24287011e+02 
 6.60693448e+06  3.98380507e+03  8.04359565e+02 
