 frequency       v(finalp,finaln) v(finalp,finaln) v(v1p,v1n)      v(v1p,v1n)      v(vga1p,vga1n)  v(vga1p,vga1n)  v(v2p,v2n)      v(v2p,v2n)      v(vga2p,vga2n)  v(vga2p,vga2n)  v(bufinp,bufinn) v(bufinp,bufinn) v(outp,outn)    v(outp,outn)   
 1.62181010e+06  2.08045674e+03  7.33454069e+03 -5.37506898e+02 -1.20236120e+02  1.45769333e+03  3.24593893e+02  1.31302021e+03  6.17599078e+02 -5.91892720e+03 -2.77344957e+03 -1.43483360e+03 -5.05958707e+03  2.08045657e+03  7.33454073e+03 
 1.65958691e+06  2.29756166e+03  7.35234806e+03 -5.38662770e+02 -1.17750532e+02  1.46080200e+03  3.17875282e+02  1.32178120e+03  6.06127301e+02 -5.95812512e+03 -2.72181633e+03 -1.58458874e+03 -5.07188213e+03  2.29756149e+03  7.35234811e+03 
 1.69824365e+06  2.51313875e+03  7.36280897e+03 -5.39771269e+02 -1.15305614e+02  1.46378316e+03  3.11266918e+02  1.33020697e+03  5.94758665e+02 -5.99581957e+03 -2.67065467e+03 -1.73329007e+03 -5.07910987e+03  2.51313857e+03  7.36280902e+03 
 1.73780083e+06  2.72685241e+03  7.36615644e+03 -5.40834145e+02 -1.12901396e+02  1.46664153e+03  3.04768851e+02  1.33830785e+03  5.83499802e+02 -6.03205730e+03 -2.61999398e+03 -1.88070609e+03 -5.08143104e+03  2.72685223e+03  7.36615651e+03 
 1.77827941e+06  2.93839039e+03  7.36263670e+03 -5.41853098e+02 -1.10537856e+02  1.46938169e+03  2.98380992e+02  1.34609412e+03  5.72356750e+02 -6.06688451e+03 -2.56986098e+03 -2.02662143e+03 -5.07901548e+03  2.93839021e+03  7.36263677e+03 
 1.81970086e+06  3.14746385e+03  7.35250701e+03 -5.42829781e+02 -1.08214919e+02  1.47200809e+03  2.92103112e+02  1.35357588e+03  5.61334973e+02 -6.10034685e+03 -2.52027985e+03 -2.17083682e+03 -5.07204065e+03  3.14746366e+03  7.35250709e+03 
 1.86208714e+06  3.35380730e+03  7.33603374e+03 -5.43765799e+02 -1.05932464e+02  1.47452507e+03  2.85934861e+02  1.36076313e+03  5.50439399e+02 -6.13248928e+03 -2.47127234e+03 -2.31316916e+03 -5.06069030e+03  3.35380711e+03  7.33603383e+03 
 1.90546072e+06  3.55717836e+03  7.31349039e+03 -5.44662708e+02 -1.03690326e+02  1.47693681e+03  2.79875772e+02  1.36766569e+03  5.39674440e+02 -6.16335601e+03 -2.42285793e+03 -2.45345122e+03 -5.04515309e+03  3.55717816e+03  7.31349048e+03 
 1.94984460e+06  3.75735737e+03  7.28515581e+03 -5.45522015e+02 -1.01488302e+02  1.47924738e+03  2.73925268e+02  1.37429319e+03  5.29044025e+02 -6.19299047e+03 -2.37505389e+03 -2.59153151e+03 -5.02562137e+03  3.75735717e+03  7.28515591e+03 
 1.99526231e+06  3.95414692e+03  7.25131247e+03 -5.46345182e+02 -9.93261501e+01  1.48146072e+03  2.68082679e+02  1.38065510e+03  5.18551625e+02 -6.22143522e+03 -2.32787550e+03 -2.72727383e+03 -5.00229000e+03  3.95414672e+03  7.25131257e+03 
