 frequency       v(finalp,finaln) v(finalp,finaln)
 1.12201845e+07  9.51975296e-04 -1.13623806e-02 
 1.14815362e+07  9.91799415e-04 -1.16418233e-02 
 1.17489755e+07  1.03309236e-03 -1.19286982e-02 
 1.20226443e+07  1.07588993e-03 -1.22232300e-02 
 1.23026877e+07  1.12022708e-03 -1.25256513e-02 
 1.25892541e+07  1.16613783e-03 -1.28362022e-02 
 1.28824955e+07  1.21365496e-03 -1.31551307e-02 
 1.31825674e+07  1.26280985e-03 -1.34826931e-02 
 1.34896288e+07  1.31363226e-03 -1.38191540e-02 
 1.38038426e+07  1.36615000e-03 -1.41647864e-02 
 1.41253754e+07  1.42038875e-03 -1.45198722e-02 
 1.44543977e+07  1.47637174e-03 -1.48847022e-02 
 1.47910839e+07  1.53411945e-03 -1.52595760e-02 
 1.51356125e+07  1.59364931e-03 -1.56448026e-02 
 1.54881662e+07  1.65497538e-03 -1.60407006e-02 
 1.58489319e+07  1.71810798e-03 -1.64475976e-02 
 1.62181010e+07  1.78305338e-03 -1.68658312e-02 
 1.65958691e+07  1.84981341e-03 -1.72957486e-02 
 1.69824365e+07  1.91838506e-03 -1.77377066e-02 
 1.73780083e+07  1.98876014e-03 -1.81920721e-02 
 1.77827941e+07  2.06092485e-03 -1.86592217e-02 
 1.81970086e+07  2.13485939e-03 -1.91395418e-02 
 1.86208714e+07  2.21053754e-03 -1.96334290e-02 
 1.90546072e+07  2.28792626e-03 -2.01412893e-02 
 1.94984460e+07  2.36698528e-03 -2.06635387e-02 
 1.99526231e+07  2.44766665e-03 -2.12006028e-02 
 2.04173794e+07  2.52991440e-03 -2.17529166e-02 
 2.08929613e+07  2.61366409e-03 -2.23209248e-02 
 2.13796209e+07  2.69884244e-03 -2.29050809e-02 
 2.18776162e+07  2.78536694e-03 -2.35058475e-02 
 2.23872114e+07  2.87314551e-03 -2.41236962e-02 
 2.29086765e+07  2.96207615e-03 -2.47591066e-02 
 2.34422882e+07  3.05204664e-03 -2.54125670e-02 
 2.39883292e+07  3.14293422e-03 -2.60845731e-02 
 2.45470892e+07  3.23460534e-03 -2.67756285e-02 
 2.51188643e+07  3.32691546e-03 -2.74862438e-02 
 2.57039578e+07  3.41970880e-03 -2.82169364e-02 
 2.63026799e+07  3.51281825e-03 -2.89682303e-02 
 2.69153480e+07  3.60606520e-03 -2.97406554e-02 
 2.75422870e+07  3.69925947e-03 -3.05347474e-02 
 2.81838293e+07  3.79219929e-03 -3.13510470e-02 
 2.88403150e+07  3.88467130e-03 -3.21901002e-02 
 2.95120923e+07  3.97645060e-03 -3.30524572e-02 
 3.01995172e+07  4.06730084e-03 -3.39386726e-02 
 3.09029543e+07  4.15697434e-03 -3.48493047e-02 
 3.16227766e+07  4.24521227e-03 -3.57849155e-02 
 3.23593657e+07  4.33174486e-03 -3.67460700e-02 
 3.31131121e+07  4.41629161e-03 -3.77333366e-02 
 3.38844156e+07  4.49856159e-03 -3.87472862e-02 
 3.46736850e+07  4.57825374e-03 -3.97884928e-02 
 3.54813389e+07  4.65505712e-03 -4.08575325e-02 
 3.63078055e+07  4.72865131e-03 -4.19549845e-02 
 3.71535229e+07  4.79870668e-03 -4.30814302e-02 
 3.80189396e+07  4.86488479e-03 -4.42374537e-02 
 3.89045145e+07  4.92683864e-03 -4.54236421e-02 
 3.98107171e+07  4.98421308e-03 -4.66405853e-02 
 4.07380278e+07  5.03664502e-03 -4.78888763e-02 
 4.16869383e+07  5.08376377e-03 -4.91691118e-02 
 4.26579519e+07  5.12519127e-03 -5.04818923e-02 
 4.36515832e+07  5.16054226e-03 -5.18278227e-02 
 4.46683592e+07  5.18942448e-03 -5.32075124e-02 
 4.57088190e+07  5.21143876e-03 -5.46215762e-02 
 4.67735141e+07  5.22617908e-03 -5.60706349e-02 
 4.78630092e+07  5.23323255e-03 -5.75553153e-02 
 4.89778819e+07  5.23217933e-03 -5.90762515e-02 
 5.01187234e+07  5.22259252e-03 -6.06340853e-02 
 5.12861384e+07  5.20403792e-03 -6.22294666e-02 
 5.24807460e+07  5.17607372e-03 -6.38630543e-02 
 5.37031796e+07  5.13825018e-03 -6.55355173e-02 
 5.49540874e+07  5.09010914e-03 -6.72475346e-02 
 5.62341325e+07  5.03118352e-03 -6.89997961e-02 
 5.75439937e+07  4.96099671e-03 -7.07930036e-02 
 5.88843655e+07  4.87906190e-03 -7.26278713e-02 
