 time            v(pkd)          v(agc)         
 1.02280000e-07  8.02074715e-01  1.49647454e+00 
 1.03280000e-07  8.02074713e-01  1.49647454e+00 
 1.04280000e-07  8.02074712e-01  1.49647454e+00 
 1.05280000e-07  8.02074710e-01  1.49647454e+00 
 1.06280000e-07  8.02074709e-01  1.49647454e+00 
 1.07280000e-07  8.02074707e-01  1.49647455e+00 
 1.08280000e-07  8.02074706e-01  1.49647455e+00 
 1.09280000e-07  8.02074705e-01  1.49647455e+00 
 1.10280000e-07  8.02074703e-01  1.49647455e+00 
 1.11280000e-07  8.02074702e-01  1.49647455e+00 
 1.12280000e-07  8.02074701e-01  1.49647455e+00 
 1.13280000e-07  8.02074700e-01  1.49647455e+00 
 1.14280000e-07  8.02074699e-01  1.49647455e+00 
 1.15280000e-07  8.02074697e-01  1.49647455e+00 
 1.16280000e-07  8.02074696e-01  1.49647455e+00 
 1.17280000e-07  8.02074695e-01  1.49647455e+00 
 1.18280000e-07  8.02074694e-01  1.49647455e+00 
 1.19280000e-07  8.02074693e-01  1.49647455e+00 
 1.20280000e-07  8.02074692e-01  1.49647455e+00 
 1.21280000e-07  8.02074691e-01  1.49647455e+00 
 1.22280000e-07  8.02074690e-01  1.49647455e+00 
 1.23280000e-07  8.02074689e-01  1.49647455e+00 
 1.24280000e-07  8.02074688e-01  1.49647456e+00 
 1.25280000e-07  8.02074687e-01  1.49647456e+00 
 1.26280000e-07  8.02074687e-01  1.49647456e+00 
 1.27280000e-07  8.02074686e-01  1.49647456e+00 
 1.28280000e-07  8.02074685e-01  1.49647456e+00 
 1.29280000e-07  8.02074684e-01  1.49647456e+00 
 1.30280000e-07  8.02074683e-01  1.49647456e+00 
 1.31280000e-07  8.02074682e-01  1.49647456e+00 
 1.32280000e-07  8.02074682e-01  1.49647456e+00 
 1.33280000e-07  8.02074681e-01  1.49647456e+00 
 1.34280000e-07  8.02074680e-01  1.49647456e+00 
 1.35280000e-07  8.02074680e-01  1.49647456e+00 
 1.36280000e-07  8.02074679e-01  1.49647456e+00 
 1.37280000e-07  8.02074678e-01  1.49647456e+00 
 1.38280000e-07  8.02074678e-01  1.49647456e+00 
 1.39280000e-07  8.02074677e-01  1.49647456e+00 
 1.40280000e-07  8.02074676e-01  1.49647456e+00 
 1.41280000e-07  8.02074676e-01  1.49647456e+00 
 1.42280000e-07  8.02074675e-01  1.49647456e+00 
 1.43280000e-07  8.02074674e-01  1.49647456e+00 
 1.44280000e-07  8.02074674e-01  1.49647456e+00 
 1.45280000e-07  8.02074673e-01  1.49647456e+00 
 1.46280000e-07  8.02074673e-01  1.49647456e+00 
 1.47280000e-07  8.02074672e-01  1.49647456e+00 
 1.48280000e-07  8.02074672e-01  1.49647456e+00 
 1.49280000e-07  8.02074671e-01  1.49647456e+00 
 1.50280000e-07  8.02074671e-01  1.49647456e+00 
 1.51280000e-07  8.02074670e-01  1.49647456e+00 
 1.52280000e-07  8.02074670e-01  1.49647457e+00 
 1.53280000e-07  8.02074669e-01  1.49647457e+00 
 1.54280000e-07  8.02074669e-01  1.49647457e+00 
 1.55280000e-07  8.02074668e-01  1.49647457e+00 
