 frequency       v(finalp,finaln) v(finalp,finaln)
 1.04712855e+07 -8.22065900e+03 -1.29390965e+03 
 1.07151931e+07 -8.23153581e+03 -1.30178917e+03 
 1.09647820e+07 -8.24280128e+03 -1.31012164e+03 
 1.12201845e+07 -8.25447108e+03 -1.31889691e+03 
 1.14815362e+07 -8.26656103e+03 -1.32810426e+03 
 1.17489755e+07 -8.27908714e+03 -1.33773235e+03 
 1.20226443e+07 -8.29206549e+03 -1.34776918e+03 
 1.23026877e+07 -8.30551230e+03 -1.35820204e+03 
 1.25892541e+07 -8.31944384e+03 -1.36901751e+03 
 1.28824955e+07 -8.33387642e+03 -1.38020136e+03 
 1.31825674e+07 -8.34882634e+03 -1.39173859e+03 
 1.34896288e+07 -8.36430989e+03 -1.40361332e+03 
 1.38038426e+07 -8.38034325e+03 -1.41580880e+03 
 1.41253754e+07 -8.39694246e+03 -1.42830737e+03 
 1.44543977e+07 -8.41412339e+03 -1.44109039e+03 
 1.47910839e+07 -8.43190167e+03 -1.45413828e+03 
 1.51356125e+07 -8.45029261e+03 -1.46743042e+03 
 1.54881662e+07 -8.46931117e+03 -1.48094517e+03 
 1.58489319e+07 -8.48897185e+03 -1.49465984e+03 
 1.62181010e+07 -8.50928866e+03 -1.50855067e+03 
 1.65958691e+07 -8.53027500e+03 -1.52259281e+03 
 1.69824365e+07 -8.55194362e+03 -1.53676034e+03 
 1.73780083e+07 -8.57430649e+03 -1.55102622e+03 
 1.77827941e+07 -8.59737475e+03 -1.56536236e+03 
 1.81970086e+07 -8.62115861e+03 -1.57973957e+03 
 1.86208714e+07 -8.64566724e+03 -1.59412760e+03 
 1.90546072e+07 -8.67090869e+03 -1.60849520e+03 
 1.94984460e+07 -8.69688977e+03 -1.62281009e+03 
 1.99526231e+07 -8.72361601e+03 -1.63703906e+03 
 2.04173794e+07 -8.75109150e+03 -1.65114800e+03 
 2.08929613e+07 -8.77931881e+03 -1.66510193e+03 
 2.13796209e+07 -8.80829892e+03 -1.67886514e+03 
 2.18776162e+07 -8.83803111e+03 -1.69240120e+03 
 2.23872114e+07 -8.86851286e+03 -1.70567311e+03 
 2.29086765e+07 -8.89973980e+03 -1.71864333e+03 
 2.34422882e+07 -8.93170559e+03 -1.73127397e+03 
 2.39883292e+07 -8.96440189e+03 -1.74352686e+03 
 2.45470892e+07 -8.99781827e+03 -1.75536366e+03 
 2.51188643e+07 -9.03194216e+03 -1.76674605e+03 
 2.57039578e+07 -9.06675882e+03 -1.77763585e+03 
 2.63026799e+07 -9.10225130e+03 -1.78799515e+03 
 2.69153480e+07 -9.13840042e+03 -1.79778650e+03 
 2.75422870e+07 -9.17518477e+03 -1.80697305e+03 
 2.81838293e+07 -9.21258068e+03 -1.81551872e+03 
 2.88403150e+07 -9.25056231e+03 -1.82338840e+03 
 2.95120923e+07 -9.28910162e+03 -1.83054805e+03 
 3.01995172e+07 -9.32816849e+03 -1.83696494e+03 
 3.09029543e+07 -9.36773069e+03 -1.84260777e+03 
 3.16227766e+07 -9.40775409e+03 -1.84744687e+03 
 3.23593657e+07 -9.44820263e+03 -1.85145431e+03 
 3.31131121e+07 -9.48903854e+03 -1.85460411e+03 
 3.38844156e+07 -9.53022240e+03 -1.85687231e+03 
 3.46736850e+07 -9.57171333e+03 -1.85823718e+03 
 3.54813389e+07 -9.61346909e+03 -1.85867926e+03 
 3.63078055e+07 -9.65544631e+03 -1.85818155e+03 
 3.71535229e+07 -9.69760061e+03 -1.85672951e+03 
 3.80189396e+07 -9.73988683e+03 -1.85431121e+03 
 3.89045145e+07 -9.78225919e+03 -1.85091735e+03 
 3.98107171e+07 -9.82467150e+03 -1.84654134e+03 
 4.07380278e+07 -9.86707737e+03 -1.84117925e+03 
 4.16869383e+07 -9.90943039e+03 -1.83482989e+03 
 4.26579519e+07 -9.95168436e+03 -1.82749479e+03 
 4.36515832e+07 -9.99379346e+03 -1.81917812e+03 
 4.46683592e+07 -1.00357125e+04 -1.80988668e+03 
 4.57088190e+07 -1.00773970e+04 -1.79962984e+03 
 4.67735141e+07 -1.01188035e+04 -1.78841944e+03 
 4.78630092e+07 -1.01598897e+04 -1.77626971e+03 
 4.89778819e+07 -1.02006144e+04 -1.76319714e+03 
 5.01187234e+07 -1.02409383e+04 -1.74922038e+03 
 5.12861384e+07 -1.02808231e+04 -1.73436011e+03 
 5.24807460e+07 -1.03202327e+04 -1.71863884e+03 
 5.37031796e+07 -1.03591326e+04 -1.70208085e+03 
 5.49540874e+07 -1.03974902e+04 -1.68471196e+03 
 5.62341325e+07 -1.04352750e+04 -1.66655938e+03 
 5.75439937e+07 -1.04724584e+04 -1.64765158e+03 
 5.88843655e+07 -1.05090141e+04 -1.62801808e+03 
 6.02559586e+07 -1.05449179e+04 -1.60768929e+03 
 6.16595002e+07 -1.05801476e+04 -1.58669638e+03 
 6.30957344e+07 -1.06146833e+04 -1.56507105e+03 
 6.45654229e+07 -1.06485074e+04 -1.54284543e+03 
 6.60693448e+07 -1.06816040e+04 -1.52005190e+03 
 6.76082975e+07 -1.07139598e+04 -1.49672294e+03 
 6.91830971e+07 -1.07455633e+04 -1.47289099e+03 
 7.07945784e+07 -1.07764049e+04 -1.44858831e+03 
 7.24435960e+07 -1.08064773e+04 -1.42384687e+03 
 7.41310241e+07 -1.08357747e+04 -1.39869822e+03 
 7.58577575e+07 -1.08642933e+04 -1.37317337e+03 
 7.76247117e+07 -1.08920310e+04 -1.34730272e+03 
 7.94328235e+07 -1.09189873e+04 -1.32111596e+03 
 8.12830516e+07 -1.09451632e+04 -1.29464196e+03 
 8.31763771e+07 -1.09705613e+04 -1.26790875e+03 
 8.51138038e+07 -1.09951853e+04 -1.24094342e+03 
 8.70963590e+07 -1.10190404e+04 -1.21377209e+03 
 8.91250938e+07 -1.10421328e+04 -1.18641983e+03 
 9.12010839e+07 -1.10644699e+04 -1.15891069e+03 
 9.33254301e+07 -1.10860599e+04 -1.13126760e+03 
 9.54992586e+07 -1.11069120e+04 -1.10351240e+03 
 9.77237221e+07 -1.11270362e+04 -1.07566580e+03 
 1.00000000e+08 -1.11464431e+04 -1.04774740e+03 
 1.02329299e+08 -1.11651440e+04 -1.01977564e+03 
 1.04712855e+08 -1.11831508e+04 -9.91767879e+02 
 1.07151931e+08 -1.12004756e+04 -9.63740322e+02 
 1.09647820e+08 -1.12171313e+04 -9.35708099e+02 
 1.12201845e+08 -1.12331307e+04 -9.07685252e+02 
 1.14815362e+08 -1.12484871e+04 -8.79684764e+02 
 1.17489755e+08 -1.12632140e+04 -8.51718584e+02 
 1.20226443e+08 -1.12773249e+04 -8.23797656e+02 
 1.23026877e+08 -1.12908334e+04 -7.95931945e+02 
 1.25892541e+08 -1.13037532e+04 -7.68130474e+02 
 1.28824955e+08 -1.13160980e+04 -7.40401350e+02 
 1.31825674e+08 -1.13278815e+04 -7.12751807e+02 
 1.34896288e+08 -1.13391171e+04 -6.85188235e+02 
 1.38038426e+08 -1.13498183e+04 -6.57716219e+02 
 1.41253754e+08 -1.13599982e+04 -6.30340573e+02 
 1.44543977e+08 -1.13696701e+04 -6.03065378e+02 
 1.47910839e+08 -1.13788468e+04 -5.75894017e+02 
 1.51356125e+08 -1.13875410e+04 -5.48829211e+02 
 1.54881662e+08 -1.13957650e+04 -5.21873054e+02 
 1.58489319e+08 -1.14035311e+04 -4.95027045e+02 
 1.62181010e+08 -1.14108513e+04 -4.68292126e+02 
 1.65958691e+08 -1.14177372e+04 -4.41668710e+02 
 1.69824365e+08 -1.14242002e+04 -4.15156714e+02 
 1.73780083e+08 -1.14302513e+04 -3.88755589e+02 
 1.77827941e+08 -1.14359016e+04 -3.62464347e+02 
 1.81970086e+08 -1.14411615e+04 -3.36281589e+02 
 1.86208714e+08 -1.14460414e+04 -3.10205530e+02 
 1.90546072e+08 -1.14505513e+04 -2.84234023e+02 
 1.94984460e+08 -1.14547010e+04 -2.58364582e+02 
 1.99526231e+08 -1.14584999e+04 -2.32594400e+02 
 2.04173794e+08 -1.14619574e+04 -2.06920368e+02 
 2.08929613e+08 -1.14650825e+04 -1.81339095e+02 
 2.13796209e+08 -1.14678840e+04 -1.55846920e+02 
 2.18776162e+08 -1.14703704e+04 -1.30439924e+02 
 2.23872114e+08 -1.14725502e+04 -1.05113946e+02 
