 time            v(finalp)       v(finaln)      
 7.46178665e-09  2.72453382e+00  2.72958544e+00 
 7.46203665e-09  2.72506850e+00  2.72893498e+00 
 7.46228665e-09  2.72557828e+00  2.72830864e+00 
 7.46253665e-09  2.72606599e+00  2.72770311e+00 
 7.46278665e-09  2.72653378e+00  2.72711585e+00 
 7.46303665e-09  2.72698314e+00  2.72654499e+00 
 7.46328665e-09  2.72741499e+00  2.72598935e+00 
 7.46353665e-09  2.72782983e+00  2.72544833e+00 
 7.46378665e-09  2.72822778e+00  2.72492181e+00 
 7.46403665e-09  2.72860873e+00  2.72441004e+00 
 7.46428665e-09  2.72897239e+00  2.72391356e+00 
 7.46453665e-09  2.72931841e+00  2.72343304e+00 
 7.46478665e-09  2.72964645e+00  2.72296922e+00 
 7.46503665e-09  2.72995622e+00  2.72252280e+00 
 7.46528665e-09  2.73024751e+00  2.72209436e+00 
 7.46553665e-09  2.73052030e+00  2.72168431e+00 
 7.46578665e-09  2.73077468e+00  2.72129287e+00 
 7.46603665e-09  2.73101093e+00  2.72092003e+00 
 7.46628665e-09  2.73122950e+00  2.72056554e+00 
 7.46653665e-09  2.73143100e+00  2.72022893e+00 
 7.46678665e-09  2.73161616e+00  2.71990956e+00 
 7.46703665e-09  2.73178586e+00  2.71960660e+00 
 7.46728665e-09  2.73194104e+00  2.71931912e+00 
 7.46753665e-09  2.73208274e+00  2.71904608e+00 
 7.46778665e-09  2.73221202e+00  2.71878641e+00 
 7.46803665e-09  2.73232997e+00  2.71853902e+00 
 7.46828665e-09  2.73243763e+00  2.71830286e+00 
 7.46853665e-09  2.73253603e+00  2.71807693e+00 
 7.46878665e-09  2.73262615e+00  2.71786030e+00 
 7.46903665e-09  2.73270888e+00  2.71765213e+00 
 7.46928665e-09  2.73278501e+00  2.71745169e+00 
 7.46953665e-09  2.73285528e+00  2.71725834e+00 
 7.46978665e-09  2.73292029e+00  2.71707156e+00 
 7.47003665e-09  2.73298056e+00  2.71689093e+00 
 7.47028665e-09  2.73303654e+00  2.71671609e+00 
 7.47053665e-09  2.73308855e+00  2.71654679e+00 
 7.47078665e-09  2.73313687e+00  2.71638283e+00 
 7.47103665e-09  2.73318171e+00  2.71622405e+00 
 7.47128665e-09  2.73322320e+00  2.71607035e+00 
 7.47153665e-09  2.73326147e+00  2.71592164e+00 
 7.47178665e-09  2.73329657e+00  2.71577785e+00 
 7.47203665e-09  2.73332859e+00  2.71563892e+00 
 7.47228665e-09  2.73335756e+00  2.71550477e+00 
 7.47253665e-09  2.73338353e+00  2.71537535e+00 
 7.47278665e-09  2.73340657e+00  2.71525057e+00 
 7.47303665e-09  2.73342674e+00  2.71513032e+00 
 7.47328665e-09  2.73344413e+00  2.71501449e+00 
 7.47353665e-09  2.73345883e+00  2.71490295e+00 
 7.47378665e-09  2.73347095e+00  2.71479557e+00 
 7.47403665e-09  2.73348063e+00  2.71469218e+00 
 7.47428665e-09  2.73348801e+00  2.71459263e+00 
 7.47453665e-09  2.73349323e+00  2.71449674e+00 
 7.47478665e-09  2.73349644e+00  2.71440433e+00 
 7.47503665e-09  2.73349781e+00  2.71431523e+00 
 7.47528665e-09  2.73349748e+00  2.71422926e+00 
 7.47553665e-09  2.73349562e+00  2.71414624e+00 
 7.47578665e-09  2.73349235e+00  2.71406602e+00 
 7.47603665e-09  2.73348781e+00  2.71398843e+00 
 7.47628665e-09  2.73348214e+00  2.71391332e+00 
 7.47653665e-09  2.73347543e+00  2.71384055e+00 
 7.47678665e-09  2.73346779e+00  2.71376999e+00 
 7.47703665e-09  2.73345930e+00  2.71370152e+00 
 7.47728665e-09  2.73345003e+00  2.71363503e+00 
 7.47753665e-09  2.73344006e+00  2.71357043e+00 
 7.47778665e-09  2.73342944e+00  2.71350763e+00 
 7.47803665e-09  2.73341820e+00  2.71344654e+00 
 7.47828665e-09  2.73340640e+00  2.71338711e+00 
 7.47853665e-09  2.73339406e+00  2.71332926e+00 
 7.47878665e-09  2.73338121e+00  2.71327294e+00 
 7.47903665e-09  2.73336788e+00  2.71321809e+00 
 7.47928665e-09  2.73335409e+00  2.71316466e+00 
 7.47953665e-09  2.73333985e+00  2.71311261e+00 
 7.47976782e-09  2.73332631e+00  2.71306567e+00 
 7.47999900e-09  2.73331242e+00  2.71301982e+00 
 7.47999910e-09  2.73331241e+00  2.71301980e+00 
 7.47999930e-09  2.73331240e+00  2.71301976e+00 
 7.47999965e-09  2.73331238e+00  2.71301970e+00 
 7.48000000e-09  2.73331236e+00  2.71301963e+00 
 7.48000007e-09  2.73331235e+00  2.71301961e+00 
 7.48000021e-09  2.73331235e+00  2.71301959e+00 
 7.48000049e-09  2.73331233e+00  2.71301953e+00 
 7.48000105e-09  2.73331229e+00  2.71301942e+00 
 7.48000217e-09  2.73331223e+00  2.71301920e+00 
 7.48000441e-09  2.73331209e+00  2.71301876e+00 
 7.48000889e-09  2.73331182e+00  2.71301789e+00 
 7.48001785e-09  2.73331127e+00  2.71301613e+00 
 7.48003577e-09  2.73331018e+00  2.71301263e+00 
 7.48007161e-09  2.73330799e+00  2.71300565e+00 
 7.48014329e-09  2.73330358e+00  2.71299175e+00 
 7.48028665e-09  2.73329468e+00  2.71296427e+00 
 7.48053665e-09  2.73327886e+00  2.71291728e+00 
 7.48078665e-09  2.73326269e+00  2.71287144e+00 
 7.48103665e-09  2.73324620e+00  2.71282671e+00 
 7.48128665e-09  2.73322940e+00  2.71278304e+00 
 7.48153665e-09  2.73321231e+00  2.71274040e+00 
 7.48178665e-09  2.73319494e+00  2.71269875e+00 
 7.48203665e-09  2.73317733e+00  2.71265802e+00 
 7.48228665e-09  2.73315948e+00  2.71261820e+00 
 7.48253665e-09  2.73314142e+00  2.71257922e+00 
 7.48278665e-09  2.73312317e+00  2.71254107e+00 
 7.48303665e-09  2.73310474e+00  2.71250368e+00 
 7.48328665e-09  2.73308614e+00  2.71246704e+00 
 7.48353665e-09  2.73306740e+00  2.71243110e+00 
 7.48378665e-09  2.73304853e+00  2.71239584e+00 
 7.48403665e-09  2.73302955e+00  2.71236122e+00 
 7.48428665e-09  2.73301045e+00  2.71232720e+00 
 7.48453665e-09  2.73299126e+00  2.71229378e+00 
 7.48478665e-09  2.73297199e+00  2.71226091e+00 
 7.48503665e-09  2.73295264e+00  2.71222858e+00 
 7.48528665e-09  2.73293323e+00  2.71219676e+00 
 7.48553665e-09  2.73291375e+00  2.71216543e+00 
 7.48578665e-09  2.73289422e+00  2.71213458e+00 
 7.48603665e-09  2.73287464e+00  2.71210418e+00 
 7.48628665e-09  2.73285502e+00  2.71207421e+00 
 7.48653665e-09  2.73283536e+00  2.71204467e+00 
 7.48678665e-09  2.73281566e+00  2.71201553e+00 
 7.48703665e-09  2.73279594e+00  2.71198677e+00 
 7.48728665e-09  2.73277619e+00  2.71195839e+00 
 7.48753665e-09  2.73275641e+00  2.71193037e+00 
 7.48778665e-09  2.73273661e+00  2.71190270e+00 
 7.48803665e-09  2.73271680e+00  2.71187536e+00 
 7.48828665e-09  2.73269697e+00  2.71184834e+00 
 7.48853665e-09  2.73267713e+00  2.71182163e+00 
 7.48878665e-09  2.73265728e+00  2.71179522e+00 
 7.48903665e-09  2.73263743e+00  2.71176909e+00 
 7.48928665e-09  2.73261757e+00  2.71174324e+00 
 7.48953665e-09  2.73259772e+00  2.71171766e+00 
 7.48978665e-09  2.73257787e+00  2.71169233e+00 
 7.49003665e-09  2.73255802e+00  2.71166724e+00 
 7.49028665e-09  2.73253818e+00  2.71164240e+00 
 7.49053665e-09  2.73251836e+00  2.71161778e+00 
 7.49078665e-09  2.73249855e+00  2.71159338e+00 
 7.49103665e-09  2.73247875e+00  2.71156919e+00 
 7.49128665e-09  2.73245897e+00  2.71154521e+00 
 7.49153665e-09  2.73243921e+00  2.71152142e+00 
 7.49178665e-09  2.73241947e+00  2.71149783e+00 
 7.49203665e-09  2.73239975e+00  2.71147442e+00 
 7.49228665e-09  2.73238006e+00  2.71145118e+00 
 7.49253665e-09  2.73236039e+00  2.71142812e+00 
 7.49278665e-09  2.73234075e+00  2.71140522e+00 
 7.49303665e-09  2.73232114e+00  2.71138249e+00 
 7.49328665e-09  2.73230155e+00  2.71135991e+00 
 7.49353665e-09  2.73228200e+00  2.71133748e+00 
 7.49378665e-09  2.73226248e+00  2.71131520e+00 
 7.49403665e-09  2.73224299e+00  2.71129306e+00 
 7.49428665e-09  2.73222353e+00  2.71127106e+00 
 7.49453665e-09  2.73220411e+00  2.71124919e+00 
 7.49478665e-09  2.73218472e+00  2.71122746e+00 
 7.49503665e-09  2.73216537e+00  2.71120585e+00 
 7.49528665e-09  2.73214605e+00  2.71118437e+00 
 7.49553665e-09  2.73212676e+00  2.71116300e+00 
 7.49578665e-09  2.73210752e+00  2.71114176e+00 
 7.49603665e-09  2.73208831e+00  2.71112063e+00 
 7.49628665e-09  2.73206914e+00  2.71109961e+00 
 7.49653665e-09  2.73205001e+00  2.71107870e+00 
 7.49678665e-09  2.73203092e+00  2.71105789e+00 
 7.49703665e-09  2.73201187e+00  2.71103719e+00 
 7.49728665e-09  2.73199286e+00  2.71101660e+00 
 7.49753665e-09  2.73197389e+00  2.71099610e+00 
 7.49778665e-09  2.73195496e+00  2.71097570e+00 
 7.49803665e-09  2.73193607e+00  2.71095539e+00 
 7.49828665e-09  2.73191722e+00  2.71093518e+00 
 7.49853665e-09  2.73189842e+00  2.71091506e+00 
 7.49878665e-09  2.73187966e+00  2.71089503e+00 
 7.49903665e-09  2.73186094e+00  2.71087509e+00 
 7.49928665e-09  2.73184226e+00  2.71085524e+00 
 7.49953665e-09  2.73182363e+00  2.71083547e+00 
 7.49978665e-09  2.73180504e+00  2.71081578e+00 
 7.50003665e-09  2.73178650e+00  2.71079617e+00 
 7.50028665e-09  2.73176800e+00  2.71077665e+00 
 7.50053665e-09  2.73174955e+00  2.71075720e+00 
 7.50078665e-09  2.73173114e+00  2.71073784e+00 
 7.50103665e-09  2.73171277e+00  2.71071855e+00 
 7.50128665e-09  2.73169445e+00  2.71069934e+00 
 7.50153665e-09  2.73167618e+00  2.71068020e+00 
 7.50178665e-09  2.73165795e+00  2.71066113e+00 
 7.50203665e-09  2.73163977e+00  2.71064214e+00 
 7.50228665e-09  2.73162164e+00  2.71062322e+00 
 7.50253665e-09  2.73160355e+00  2.71060437e+00 
 7.50278665e-09  2.73158551e+00  2.71058560e+00 
 7.50303665e-09  2.73156751e+00  2.71056689e+00 
 7.50328665e-09  2.73154957e+00  2.71054825e+00 
 7.50353665e-09  2.73153166e+00  2.71052968e+00 
 7.50378665e-09  2.73151381e+00  2.71051118e+00 
 7.50403665e-09  2.73149600e+00  2.71049274e+00 
 7.50428665e-09  2.73147824e+00  2.71047437e+00 
 7.50453665e-09  2.73146053e+00  2.71045606e+00 
 7.50478665e-09  2.73144287e+00  2.71043783e+00 
 7.50503665e-09  2.73142525e+00  2.71041965e+00 
 7.50528665e-09  2.73140768e+00  2.71040154e+00 
 7.50553665e-09  2.73139016e+00  2.71038349e+00 
