 frequency       v(finalp,finaln) v(finalp,finaln) v(v1p,v1n)      v(v1p,v1n)      v(vga1p,vga1n)  v(vga1p,vga1n)  v(v2p,v2n)      v(v2p,v2n)      v(vga2p,vga2n)  v(vga2p,vga2n)  v(bufinp,bufinn) v(bufinp,bufinn) v(outp,outn)    v(outp,outn)   
 1.00000000e+06 -6.75905398e+02  1.28337377e+03 -3.46992213e+02 -2.13917579e+02  3.55016153e+02  2.18104825e+02  1.03542837e+02  3.02059405e+02 -4.70985595e+02 -1.36735003e+03  4.59660333e+02 -8.72698801e+02 -6.76123716e+02  1.28376238e+03 
 1.02329299e+06 -6.50716838e+02  1.34110508e+03 -3.51294255e+02 -2.11639227e+02  3.59395902e+02  2.15764206e+02  1.11703795e+02  3.04367945e+02 -5.07947848e+02 -1.37770277e+03  4.42533971e+02 -9.11957343e+02 -6.50928159e+02  1.34151151e+03 
 1.04712855e+06 -6.22658115e+02  1.39844682e+03 -3.55504684e+02 -2.09299842e+02  3.63681617e+02  2.13361913e+02  1.19933550e+02  3.06414201e+02 -5.45216294e+02 -1.38686672e+03  4.23455927e+02 -9.50951070e+02 -6.22861583e+02  1.39887098e+03 
 1.07151931e+06 -5.91751479e+02  1.45521933e+03 -3.59622076e+02 -2.06903788e+02  3.67871884e+02  2.10902417e+02  1.28217574e+02  3.08196954e+02 -5.82725094e+02 -1.39483673e+03  4.02441329e+02 -9.89557810e+02 -5.91946244e+02  1.45566107e+03 
 1.09647820e+06 -5.58033265e+02  1.51124531e+03 -3.63645261e+02 -2.04455417e+02  3.71965549e+02  2.08390178e+02  1.36541451e+02  3.09715948e+02 -6.20408942e+02 -1.40161199e+03  3.79514882e+02 -1.02765701e+03 -5.58218486e+02  1.51170445e+03 
 1.12201845e+06 -5.21553547e+02  1.56635116e+03 -3.67573317e+02 -2.01959049e+02  3.75961715e+02  2.05829616e+02  1.44890951e+02  3.10971868e+02 -6.58203399e+02 -1.40719596e+03  3.54710634e+02 -1.06513062e+03 -5.21728398e+02  1.56682745e+03 
 1.14815362e+06 -4.82375664e+02  1.62036815e+03 -3.71405561e+02 -1.99418960e+02  3.79859727e+02  2.03225106e+02  1.53252100e+02  3.11966302e+02 -6.96045211e+02 -1.41159619e+03  3.28071652e+02 -1.10186391e+03 -4.82539338e+02  1.62086130e+03 
 1.17489755e+06 -4.40575615e+02  1.67313362e+03 -3.75141543e+02 -1.96839367e+02  3.83659165e+02  2.00580958e+02  1.61611243e+02  3.12701704e+02 -7.33872610e+02 -1.41482413e+03  2.99649613e+02 -1.13774627e+03 -4.40727325e+02  1.67364327e+03 
 1.20226443e+06 -3.96241351e+02  1.72449202e+03 -3.78781033e+02 -1.94224416e+02  3.87359836e+02  1.97901406e+02  1.69955110e+02  3.13181353e+02 -7.71625577e+02 -1.41689497e+03  2.69504321e+02 -1.17267193e+03 -3.96380337e+02  1.72501780e+03 
 1.23026877e+06 -3.49471961e+02  1.77429595e+03 -3.82324011e+02 -1.91578167e+02  3.90961763e+02  1.95190598e+02  1.78270862e+02  3.13409300e+02 -8.09246097e+02 -1.41782738e+03  2.37703154e+02 -1.20654065e+03 -3.49597493e+02  1.77483741e+03 
 1.25892541e+06 -3.00376776e+02  1.82240698e+03 -3.85770658e+02 -1.88904590e+02  3.94465168e+02  1.92452582e+02  1.86546149e+02  3.13390323e+02 -8.46678372e+02 -1.41764332e+03  2.04320454e+02 -1.23925831e+03 -3.00488154e+02  1.82296365e+03 
 1.28824955e+06 -2.49074395e+02  1.86869644e+03 -3.89121346e+02 -1.86207549e+02  3.97870470e+02  1.89691299e+02  1.94769148e+02  3.13129868e+02 -8.83869019e+02 -1.41636774e+03  1.69436866e+02 -1.27073742e+03 -2.49170956e+02  1.86926781e+03 
 1.31825674e+06 -1.95691660e+02  1.91304611e+03 -3.92376621e+02 -1.83490799e+02  4.01178263e+02  1.86910573e+02  2.02928600e+02  3.12633993e+02 -9.20767234e+02 -1.41402837e+03  1.33138640e+02 -1.30089757e+03 -1.95772776e+02  1.91363163e+03 
 1.34896288e+06 -1.40362584e+02  1.95534871e+03 -3.95537196e+02 -1.80757974e+02  4.04389312e+02  1.84114107e+02  2.11013843e+02  3.11909315e+02 -9.57324928e+02 -1.41065542e+03  9.55168997e+01 -1.32966583e+03 -1.40427668e+02  1.95594779e+03 
 1.38038426e+06 -8.32272465e+01  1.99550831e+03 -3.98603940e+02 -1.78012586e+02  4.07504538e+02  1.81305473e+02  2.19014833e+02  3.10962945e+02 -9.93496842e+02 -1.40628134e+03  5.66668990e+01 -1.35697697e+03 -8.32757524e+01  1.99612035e+03 
 1.41253754e+06 -2.44306884e+01  2.03344068e+03 -4.01577861e+02 -1.75258016e+02  4.10525004e+02  1.78488110e+02  2.26922171e+02  3.09802433e+02 -1.02924063e+03 -1.40094056e+03  1.66872619e+01 -1.38277371e+03 -2.44621132e+01  2.03406505e+03 
 1.44543977e+06  3.58782065e+01  2.06907341e+03 -4.04460100e+02 -1.72497512e+02  4.13451905e+02  1.75665320e+02  2.34727107e+02  3.08435713e+02 -1.06451691e+03 -1.39466918e+03 -2.43207730e+01 -1.40700680e+03  3.58643218e+01  2.06970944e+03 
 1.47910839e+06  9.75478084e+01  2.10234597e+03 -4.07251915e+02 -1.69734186e+02  4.16286556e+02  1.72840263e+02  2.42421555e+02  3.06871036e+02 -1.09928933e+03 -1.38750477e+03 -6.62541001e+01 -1.42963509e+03  9.75518779e+01  2.10299299e+03 
