 time            v(pkd)          v(agc)         
 0.00000000e+00  8.02074634e-01  1.53186825e+00 
 1.00000000e-11  8.02075150e-01  1.53186825e+00 
 2.00000000e-11  8.02075150e-01  1.53186824e+00 
 4.00000000e-11  8.02075149e-01  1.53186824e+00 
 8.00000000e-11  8.02075149e-01  1.53186824e+00 
 1.60000000e-10  8.02075148e-01  1.53186824e+00 
 3.20000000e-10  8.02075146e-01  1.53186824e+00 
 6.40000000e-10  8.02075142e-01  1.53186823e+00 
 1.28000000e-09  8.02075135e-01  1.53186821e+00 
 2.28000000e-09  8.02075123e-01  1.53186818e+00 
 3.28000000e-09  8.02075112e-01  1.53186815e+00 
 4.28000000e-09  8.02075101e-01  1.53186813e+00 
 5.28000000e-09  8.02075090e-01  1.53186811e+00 
 6.28000000e-09  8.02075080e-01  1.53186809e+00 
 7.28000000e-09  8.02075069e-01  1.53186807e+00 
 8.28000000e-09  8.02075059e-01  1.53186806e+00 
 9.28000000e-09  8.02075050e-01  1.53186805e+00 
 1.02800000e-08  8.02075040e-01  1.53186805e+00 
 1.12800000e-08  8.02075031e-01  1.53186804e+00 
 1.22800000e-08  8.02075022e-01  1.53186804e+00 
 1.32800000e-08  8.02075013e-01  1.53186804e+00 
 1.42800000e-08  8.02075005e-01  1.53186804e+00 
 1.52800000e-08  8.02074996e-01  1.53186805e+00 
 1.62800000e-08  8.02074988e-01  1.53186805e+00 
 1.72800000e-08  8.02074980e-01  1.53186805e+00 
 1.82800000e-08  8.02074972e-01  1.53186806e+00 
 1.92800000e-08  8.02074965e-01  1.53186806e+00 
 2.02800000e-08  8.02074957e-01  1.53186807e+00 
 2.12800000e-08  8.02074950e-01  1.53186807e+00 
 2.22800000e-08  8.02074943e-01  1.53186808e+00 
 2.32800000e-08  8.02074936e-01  1.53186808e+00 
 2.42800000e-08  8.02074929e-01  1.53186809e+00 
 2.52800000e-08  8.02074922e-01  1.53186809e+00 
 2.62800000e-08  8.02074916e-01  1.53186809e+00 
 2.72800000e-08  8.02074910e-01  1.53186810e+00 
 2.82800000e-08  8.02074904e-01  1.53186810e+00 
 2.92800000e-08  8.02074898e-01  1.53186811e+00 
 3.02800000e-08  8.02074892e-01  1.53186811e+00 
 3.12800000e-08  8.02074886e-01  1.53186811e+00 
 3.22800000e-08  8.02074880e-01  1.53186812e+00 
 3.32800000e-08  8.02074875e-01  1.53186812e+00 
 3.42800000e-08  8.02074870e-01  1.53186812e+00 
 3.52800000e-08  8.02074864e-01  1.53186812e+00 
 3.62800000e-08  8.02074859e-01  1.53186813e+00 
 3.72800000e-08  8.02074854e-01  1.53186813e+00 
