 time            v(vinp)         v(vout)        
 1.65700000e-09  7.50000000e-01  7.55614793e-01 
 1.68200000e-09  7.50000000e-01  7.55614793e-01 
 1.70700000e-09  7.50000000e-01  7.55614792e-01 
 1.73200000e-09  7.50000000e-01  7.55614792e-01 
 1.75700000e-09  7.50000000e-01  7.55614791e-01 
 1.78200000e-09  7.50000000e-01  7.55614791e-01 
 1.80700000e-09  7.50000000e-01  7.55614791e-01 
 1.83200000e-09  7.50000000e-01  7.55614790e-01 
 1.85700000e-09  7.50000000e-01  7.55614790e-01 
 1.88200000e-09  7.50000000e-01  7.55614790e-01 
 1.90700000e-09  7.50000000e-01  7.55614790e-01 
 1.93200000e-09  7.50000000e-01  7.55614789e-01 
 1.95700000e-09  7.50000000e-01  7.55614789e-01 
 1.98200000e-09  7.50000000e-01  7.55614789e-01 
 2.00700000e-09  7.50000000e-01  7.55614789e-01 
 2.03200000e-09  7.50000000e-01  7.55614789e-01 
 2.05700000e-09  7.50000000e-01  7.55614789e-01 
 2.08200000e-09  7.50000000e-01  7.55614788e-01 
 2.10700000e-09  7.50000000e-01  7.55614788e-01 
 2.13200000e-09  7.50000000e-01  7.55614788e-01 
 2.15700000e-09  7.50000000e-01  7.55614788e-01 
 2.18200000e-09  7.50000000e-01  7.55614788e-01 
 2.20700000e-09  7.50000000e-01  7.55614788e-01 
 2.23200000e-09  7.50000000e-01  7.55614788e-01 
 2.25700000e-09  7.50000000e-01  7.55614788e-01 
 2.28200000e-09  7.50000000e-01  7.55614788e-01 
 2.30700000e-09  7.50000000e-01  7.55614788e-01 
 2.33200000e-09  7.50000000e-01  7.55614788e-01 
 2.35700000e-09  7.50000000e-01  7.55614788e-01 
 2.38200000e-09  7.50000000e-01  7.55614788e-01 
 2.40700000e-09  7.50000000e-01  7.55614788e-01 
 2.43200000e-09  7.50000000e-01  7.55614788e-01 
 2.45700000e-09  7.50000000e-01  7.55614788e-01 
 2.48200000e-09  7.50000000e-01  7.55614788e-01 
 2.50700000e-09  7.50000000e-01  7.55614788e-01 
 2.53200000e-09  7.50000000e-01  7.55614788e-01 
 2.55700000e-09  7.50000000e-01  7.55614788e-01 
 2.58200000e-09  7.50000000e-01  7.55614788e-01 
 2.60700000e-09  7.50000000e-01  7.55614788e-01 
 2.63200000e-09  7.50000000e-01  7.55614788e-01 
 2.65700000e-09  7.50000000e-01  7.55614788e-01 
 2.68200000e-09  7.50000000e-01  7.55614788e-01 
 2.70700000e-09  7.50000000e-01  7.55614788e-01 
 2.73200000e-09  7.50000000e-01  7.55614788e-01 
 2.75700000e-09  7.50000000e-01  7.55614788e-01 
 2.78200000e-09  7.50000000e-01  7.55614788e-01 
 2.80700000e-09  7.50000000e-01  7.55614788e-01 
 2.83200000e-09  7.50000000e-01  7.55614788e-01 
 2.85700000e-09  7.50000000e-01  7.55614788e-01 
 2.88200000e-09  7.50000000e-01  7.55614788e-01 
 2.90700000e-09  7.50000000e-01  7.55614788e-01 
 2.93200000e-09  7.50000000e-01  7.55614788e-01 
 2.95700000e-09  7.50000000e-01  7.55614788e-01 
 2.98200000e-09  7.50000000e-01  7.55614788e-01 
 3.00700000e-09  7.50000000e-01  7.55614788e-01 
 3.03200000e-09  7.50000000e-01  7.55614788e-01 
 3.05700000e-09  7.50000000e-01  7.55614788e-01 
 3.08200000e-09  7.50000000e-01  7.55614788e-01 
 3.10700000e-09  7.50000000e-01  7.55614788e-01 
 3.13200000e-09  7.50000000e-01  7.55614788e-01 
 3.15700000e-09  7.50000000e-01  7.55614788e-01 
 3.18200000e-09  7.50000000e-01  7.55614788e-01 
 3.20700000e-09  7.50000000e-01  7.55614789e-01 
 3.23200000e-09  7.50000000e-01  7.55614789e-01 
 3.25700000e-09  7.50000000e-01  7.55614789e-01 
 3.28200000e-09  7.50000000e-01  7.55614789e-01 
 3.30700000e-09  7.50000000e-01  7.55614789e-01 
 3.33200000e-09  7.50000000e-01  7.55614789e-01 
 3.35700000e-09  7.50000000e-01  7.55614789e-01 
 3.38200000e-09  7.50000000e-01  7.55614789e-01 
 3.40700000e-09  7.50000000e-01  7.55614789e-01 
 3.43200000e-09  7.50000000e-01  7.55614789e-01 
 3.45700000e-09  7.50000000e-01  7.55614789e-01 
 3.48200000e-09  7.50000000e-01  7.55614789e-01 
 3.50700000e-09  7.50000000e-01  7.55614789e-01 
 3.53200000e-09  7.50000000e-01  7.55614789e-01 
 3.55700000e-09  7.50000000e-01  7.55614789e-01 
 3.58200000e-09  7.50000000e-01  7.55614789e-01 
 3.60700000e-09  7.50000000e-01  7.55614789e-01 
 3.63200000e-09  7.50000000e-01  7.55614789e-01 
 3.65700000e-09  7.50000000e-01  7.55614789e-01 
 3.68200000e-09  7.50000000e-01  7.55614789e-01 
 3.70700000e-09  7.50000000e-01  7.55614789e-01 
 3.73200000e-09  7.50000000e-01  7.55614789e-01 
 3.75700000e-09  7.50000000e-01  7.55614789e-01 
 3.78200000e-09  7.50000000e-01  7.55614789e-01 
 3.80700000e-09  7.50000000e-01  7.55614789e-01 
 3.83200000e-09  7.50000000e-01  7.55614789e-01 
 3.85700000e-09  7.50000000e-01  7.55614789e-01 
 3.88200000e-09  7.50000000e-01  7.55614789e-01 
 3.90700000e-09  7.50000000e-01  7.55614789e-01 
 3.93200000e-09  7.50000000e-01  7.55614789e-01 
 3.95700000e-09  7.50000000e-01  7.55614789e-01 
 3.98200000e-09  7.50000000e-01  7.55614789e-01 
 4.00700000e-09  7.50000000e-01  7.55614789e-01 
 4.03200000e-09  7.50000000e-01  7.55614789e-01 
 4.05700000e-09  7.50000000e-01  7.55614789e-01 
 4.08200000e-09  7.50000000e-01  7.55614789e-01 
 4.10700000e-09  7.50000000e-01  7.55614789e-01 
 4.13200000e-09  7.50000000e-01  7.55614789e-01 
 4.15700000e-09  7.50000000e-01  7.55614789e-01 
 4.18200000e-09  7.50000000e-01  7.55614789e-01 
 4.20700000e-09  7.50000000e-01  7.55614789e-01 
 4.23200000e-09  7.50000000e-01  7.55614789e-01 
 4.25700000e-09  7.50000000e-01  7.55614789e-01 
 4.28200000e-09  7.50000000e-01  7.55614789e-01 
 4.30700000e-09  7.50000000e-01  7.55614789e-01 
 4.33200000e-09  7.50000000e-01  7.55614789e-01 
 4.35700000e-09  7.50000000e-01  7.55614789e-01 
 4.38200000e-09  7.50000000e-01  7.55614789e-01 
 4.40700000e-09  7.50000000e-01  7.55614789e-01 
 4.43200000e-09  7.50000000e-01  7.55614789e-01 
 4.45700000e-09  7.50000000e-01  7.55614789e-01 
