 time            v(finalp)       v(finaln)      
 2.55700000e-11  2.69239403e+00  2.69222975e+00 
 2.58200000e-11  2.69239388e+00  2.69222991e+00 
 2.60700000e-11  2.69239659e+00  2.69222720e+00 
 2.63200000e-11  2.69240209e+00  2.69222170e+00 
 2.65700000e-11  2.69241013e+00  2.69221366e+00 
 2.68200000e-11  2.69242025e+00  2.69220353e+00 
 2.70700000e-11  2.69243184e+00  2.69219194e+00 
 2.73200000e-11  2.69244415e+00  2.69217964e+00 
 2.75700000e-11  2.69245635e+00  2.69216744e+00 
 2.78200000e-11  2.69246758e+00  2.69215620e+00 
 2.80700000e-11  2.69247703e+00  2.69214676e+00 
 2.83200000e-11  2.69248394e+00  2.69213984e+00 
 2.85700000e-11  2.69248774e+00  2.69213604e+00 
 2.88200000e-11  2.69248802e+00  2.69213576e+00 
 2.90700000e-11  2.69248461e+00  2.69213918e+00 
 2.93200000e-11  2.69247758e+00  2.69214621e+00 
 2.95700000e-11  2.69246727e+00  2.69215651e+00 
 2.98200000e-11  2.69245426e+00  2.69216953e+00 
 3.00700000e-11  2.69243933e+00  2.69218446e+00 
 3.03200000e-11  2.69242344e+00  2.69220035e+00 
 3.05700000e-11  2.69240765e+00  2.69221613e+00 
 3.08200000e-11  2.69239308e+00  2.69223070e+00 
 3.10700000e-11  2.69238079e+00  2.69224299e+00 
 3.13200000e-11  2.69237175e+00  2.69225204e+00 
 3.15700000e-11  2.69236672e+00  2.69225706e+00 
 3.18200000e-11  2.69236624e+00  2.69225754e+00 
 3.20700000e-11  2.69237056e+00  2.69225323e+00 
 3.23200000e-11  2.69237958e+00  2.69224420e+00 
 3.25700000e-11  2.69239291e+00  2.69223087e+00 
 3.28200000e-11  2.69240981e+00  2.69221397e+00 
 3.30700000e-11  2.69242927e+00  2.69219451e+00 
 3.33200000e-11  2.69245008e+00  2.69217370e+00 
 3.35700000e-11  2.69247085e+00  2.69215293e+00 
 3.38200000e-11  2.69249015e+00  2.69213362e+00 
 3.40700000e-11  2.69250659e+00  2.69211719e+00 
 3.43200000e-11  2.69251891e+00  2.69210487e+00 
 3.45700000e-11  2.69252607e+00  2.69209771e+00 
 3.48200000e-11  2.69252736e+00  2.69209642e+00 
 3.50700000e-11  2.69252244e+00  2.69210134e+00 
 3.53200000e-11  2.69251136e+00  2.69211242e+00 
 3.55700000e-11  2.69249463e+00  2.69212915e+00 
 3.58200000e-11  2.69247315e+00  2.69215064e+00 
 3.60700000e-11  2.69244818e+00  2.69217560e+00 
 3.63200000e-11  2.69242131e+00  2.69220247e+00 
 3.65700000e-11  2.69239429e+00  2.69222948e+00 
 3.68200000e-11  2.69236898e+00  2.69225479e+00 
 3.70700000e-11  2.69234721e+00  2.69227656e+00 
 3.73200000e-11  2.69233061e+00  2.69229316e+00 
 3.75700000e-11  2.69232056e+00  2.69230321e+00 
 3.78200000e-11  2.69231804e+00  2.69230574e+00 
 3.80700000e-11  2.69232354e+00  2.69230024e+00 
 3.83200000e-11  2.69233704e+00  2.69228674e+00 
 3.85700000e-11  2.69235794e+00  2.69226584e+00 
 3.88200000e-11  2.69238514e+00  2.69223864e+00 
 3.90700000e-11  2.69241702e+00  2.69220674e+00 
 3.93200000e-11  2.69245161e+00  2.69217215e+00 
 3.95700000e-11  2.69248664e+00  2.69213712e+00 
 3.97845000e-11  2.69251527e+00  2.69210848e+00 
 3.99990000e-11  2.69254096e+00  2.69208279e+00 
 3.99991000e-11  2.69254097e+00  2.69208278e+00 
 3.99993000e-11  2.69254099e+00  2.69208276e+00 
 3.99996500e-11  2.69254103e+00  2.69208272e+00 
 4.00000000e-11  2.69254107e+00  2.69208268e+00 
 4.00000700e-11  2.69254108e+00  2.69208268e+00 
 4.00002100e-11  2.69254109e+00  2.69208266e+00 
 4.00004900e-11  2.69254112e+00  2.69208263e+00 
 4.00010500e-11  2.69254119e+00  2.69208257e+00 
 4.00021700e-11  2.69254131e+00  2.69208244e+00 
 4.00044100e-11  2.69254156e+00  2.69208219e+00 
 4.00088900e-11  2.69254205e+00  2.69208170e+00 
 4.00178500e-11  2.69254304e+00  2.69208072e+00 
 4.00357700e-11  2.69254498e+00  2.69207877e+00 
 4.00716100e-11  2.69254877e+00  2.69207498e+00 
 4.01432900e-11  2.69255593e+00  2.69206782e+00 
 4.02866500e-11  2.69256843e+00  2.69205533e+00 
 4.05366500e-11  2.69258357e+00  2.69204020e+00 
