 frequency       v(finalp,finaln) v(finalp,finaln) v(v1p,v1n)      v(v1p,v1n)      v(vga1p,vga1n)  v(vga1p,vga1n)  v(v2p,v2n)      v(v2p,v2n)      v(vga2p,vga2n)  v(vga2p,vga2n)  v(bufinp,bufinn) v(bufinp,bufinn) v(outp,outn)    v(outp,outn)   
 1.00000000e+06  8.11946388e+02 -7.49524809e+02 -2.16878439e+02 -2.21704185e+02  4.65799315e+02  4.75176063e+02 -9.61836277e+00  4.61467624e+02  2.11973385e+01 -1.07109199e+03  5.40580777e+02 -4.98990365e+02  8.12311352e+02 -7.49847902e+02 
 1.02329299e+06  8.13616271e+02 -8.04843846e+02 -2.21983979e+02 -2.21757760e+02  4.76742356e+02  4.75268169e+02  1.03234523e+00  4.72419888e+02 -3.55060596e+00 -1.09645987e+03  5.41694060e+02 -5.35819401e+02  8.13982652e+02 -8.05191146e+02 
 1.04712855e+06  8.12717469e+02 -8.61479621e+02 -2.27089286e+02 -2.21693779e+02  4.87683874e+02  4.75108316e+02  1.21816862e+01  4.83119554e+02 -2.94534440e+01 -1.12123902e+03  5.41097294e+02 -5.73525120e+02  8.13084174e+02 -8.61851729e+02 
 1.07151931e+06  8.09134739e+02 -9.19279332e+02 -2.32188954e+02 -2.21512413e+02  4.98612280e+02  4.74696925e+02  2.38169083e+01  4.93538296e+02 -5.64813865e+01 -1.14536382e+03  5.38713756e+02 -6.12005798e+02  8.09500627e+02 -9.19676784e+02 
 1.09647820e+06  8.02764827e+02 -9.78079400e+02 -2.37277597e+02 -2.21214139e+02  5.09516041e+02  4.74035080e+02  3.59232071e+01  5.03648646e+02 -8.45998920e+01 -1.16877071e+03  5.34474703e+02 -6.51152535e+02  8.03128709e+02 -9.78502662e+02 
 1.12201845e+06  7.93517571e+02 -1.03770662e+03 -2.42349877e+02 -2.20799744e+02  5.20383726e+02  4.73124525e+02  4.84838040e+01  5.13424177e+02 -1.13769851e+02 -1.19139851e+03  5.28320109e+02 -6.90850025e+02  7.93878218e+02 -1.03815609e+03 
 1.14815362e+06  7.81316880e+02 -1.09797944e+03 -2.47400525e+02 -2.20270318e+02  5.31204059e+02  4.71967649e+02  6.14800419e+01  5.22839667e+02 -1.43947810e+02 -1.21318889e+03  5.20199313e+02 -7.30977404e+02  7.81673031e+02 -1.09845543e+03 
 1.17489755e+06  7.66101562e+02 -1.15870936e+03 -2.52424362e+02 -2.19627242e+02  5.41965958e+02  4.70567473e+02  7.48914977e+01  5.31871253e+02 -1.75086231e+02 -1.23408667e+03  5.10071576e+02 -7.71409181e+02  7.66451928e+02 -1.15921210e+03 
 1.20226443e+06  7.47825989e+02 -1.21970240e+03 -2.57416321e+02 -2.18872188e+02  5.52658586e+02  4.68927628e+02  8.86961088e+01  5.40496583e+02 -2.07133793e+02 -1.25404017e+03  4.97906519e+02 -8.12016216e+02  7.48169260e+02 -1.22023205e+03 
 1.23026877e+06  7.26460591e+02 -1.28076064e+03 -2.62371466e+02 -2.18007102e+02  5.63271391e+02  4.67052336e+02  1.02870314e+02  5.48694935e+02 -2.40035711e+02 -1.27300156e+03  4.83684453e+02 -8.52666749e+02  7.26795443e+02 -1.28131727e+03 
