 frequency       v(finalp,finaln) v(finalp,finaln) v(v1p,v1n)      v(v1p,v1n)      v(vga1p,vga1n)  v(vga1p,vga1n)  v(v2p,v2n)      v(v2p,v2n)      v(vga2p,vga2n)  v(vga2p,vga2n)  v(bufinp,bufinn) v(bufinp,bufinn) v(outp,outn)    v(outp,outn)   
 1.00000000e+06 -8.47961930e+02  8.08014917e+01 -1.18744524e+02 -1.75426491e+02  2.71101136e+02  4.00245761e+02 -9.91295329e+01  2.47295686e+02  4.14370888e+02 -1.03467216e+03  5.00759279e+02 -4.76925729e+01 -8.48471194e+02  8.08415614e+01 
 1.02329299e+06 -8.87911187e+02  1.12392071e+02 -1.22526517e+02 -1.76893246e+02  2.79732424e+02  4.03587091e+02 -9.67878178e+01  2.57311590e+02  4.04554115e+02 -1.07656568e+03  5.24351958e+02 -6.63464087e+01 -8.88444744e+02  1.12450484e+02 
 1.04712855e+06 -9.28197558e+02  1.47048020e+02 -1.26370239e+02 -1.78289402e+02  2.88504385e+02  4.06767162e+02 -9.40597790e+01  2.67484576e+02  3.93120710e+02 -1.11911507e+03  5.48143852e+02 -8.68103964e+01 -9.28755657e+02  1.47126587e+02 
 1.07151931e+06 -9.68653523e+02  1.84897181e+02 -1.30273040e+02 -1.79611776e+02  2.97410961e+02  4.09778721e+02 -9.09307308e+01  2.77797493e+02  3.80009293e+02 -1.16224852e+03  5.72036045e+02 -1.09160035e+02 -9.69236317e+02  1.84997792e+02 
 1.09647820e+06 -1.00909629e+03  2.26058633e+02 -1.34232062e+02 -1.80857296e+02  3.06445621e+02  4.12614768e+02 -8.73869082e+01  2.88231851e+02  3.65162349e+02 -1.20588861e+03  5.95920604e+02 -1.33465647e+02 -1.00970383e+03  2.26183249e+02 
 1.12201845e+06 -1.04932812e+03  2.70640980e+02 -1.38244241e+02 -1.82023020e+02  3.15601367e+02  4.15268594e+02 -8.34155977e+01  2.98767870e+02  3.48526766e+02 -1.24995254e+03  6.19680768e+02 -1.59791373e+02 -1.04996033e+03  2.70791628e+02 
 1.14815362e+06 -1.08913684e+03  3.18740611e+02 -1.42306319e+02 -1.83106146e+02  3.24870751e+02  4.17733818e+02 -7.90052651e+01  3.09384547e+02  3.30054374e+02 -1.29435236e+03  6.43191251e+02 -1.88194140e+02 -1.08979354e+03  3.18919378e+02 
 1.17489755e+06 -1.12829657e+03  3.70439974e+02 -1.46414849e+02 -1.84104033e+02  3.34245898e+02  4.20004423e+02 -7.41456790e+01  3.20059734e+02  3.09702459e+02 -1.33899538e+03  6.66318676e+02 -2.18722641e+02 -1.12897743e+03  3.70648998e+02 
 1.20226443e+06 -1.16656865e+03  4.25805870e+02 -1.50566202e+02 -1.85014212e+02  3.43718524e+02  4.22074790e+02 -6.88280287e+01  3.30770233e+02  2.87434258e+02 -1.38378450e+03  6.88922119e+02 -2.51416334e+02 -1.16727322e+03  4.26047334e+02 
 1.23026877e+06 -1.20370281e+03  4.84887809e+02 -1.54756584e+02 -1.85834405e+02  3.53279964e+02  4.23939730e+02 -6.30450337e+01  3.41491905e+02  2.63219415e+02 -1.42861868e+03  7.10853796e+02 -2.86304465e+02 -1.20443048e+03  4.85163927e+02 
 1.25892541e+06 -1.23943850e+03  5.47716449e+02 -1.58982047e+02 -1.86562534e+02  3.62921200e+02  4.25594513e+02 -5.67910446e+01  3.52199784e+02  2.37034403e+02 -1.47339346e+03  7.31959861e+02 -3.23405147e+02 -1.24018853e+03  5.48029455e+02 
 1.28824955e+06 -1.27350651e+03  6.14302145e+02 -1.63238499e+02 -1.87196735e+02  3.72632891e+02  4.27034903e+02 -5.00621329e+01  3.62868212e+02  2.08862900e+02 -1.51800146e+03  7.52081335e+02 -3.62724506e+02 -1.27427797e+03  6.14654285e+02 
 1.31825674e+06 -1.30563067e+03  6.84633646e+02 -1.67521723e+02 -1.87735372e+02  3.82405410e+02  4.28257177e+02 -4.28561678e+01  3.73470981e+02  1.78696110e+02 -1.56233303e+03  7.71055151e+02 -4.04255910e+02 -1.30642249e+03  6.85027162e+02 
 1.34896288e+06 -1.33552985e+03  7.58676961e+02 -1.71827392e+02 -1.88177043e+02  3.92228879e+02  4.29258151e+02 -3.51728806e+01  3.83981479e+02  1.46533028e+02 -1.60627684e+03  7.88715305e+02 -4.47979300e+02 -1.33634079e+03  7.59114081e+02 
 1.38038426e+06 -1.36292008e+03  8.36374421e+02 -1.76151084e+02 -1.88520591e+02  4.02093209e+02  4.30035200e+02 -2.70139128e+01  3.94372856e+02  1.12380645e+02 -1.64972054e+03  8.04894106e+02 -4.93860634e+02 -1.36374875e+03  8.36857343e+02 
 1.41253754e+06 -1.38751678e+03  9.17643966e+02 -1.80488304e+02 -1.88765113e+02  4.11988138e+02  4.30586277e+02 -1.83828493e+01  4.04618179e+02  7.62540835e+01 -1.69255150e+03  8.19423510e+02 -5.41851467e+02 -1.38836159e+03  9.18174843e+02 
 1.44543977e+06 -1.40903715e+03  1.00237867e+03 -1.84834499e+02 -1.88909961e+02  4.21903279e+02  4.30909919e+02 -9.28523441e+00  4.14690608e+02  3.81766637e+01 -1.73465743e+03  8.32136525e+02 -5.91888676e+02 -1.40989638e+03  1.00295960e+03 
 1.47910839e+06 -1.42720264e+03  1.09044655e+03 -1.89185077e+02 -1.88954752e+02  4.31828154e+02  4.31005266e+02  2.71428517e-01  4.24563563e+02 -1.82009923e+00 -1.77592719e+03  8.42868667e+02 -6.43894330e+02 -1.42807438e+03  1.09107955e+03 
