 frequency       v(finalp,finaln) v(finalp,finaln) v(v1p,v1n)      v(v1p,v1n)      v(vga1p,vga1n)  v(vga1p,vga1n)  v(v2p,v2n)      v(v2p,v2n)      v(vga2p,vga2n)  v(vga2p,vga2n)  v(bufinp,bufinn) v(bufinp,bufinn) v(outp,outn)    v(outp,outn)   
 1.00000000e+06  5.63851212e+02  2.83182672e+03 -3.32633253e+02 -9.07786967e+01  7.61849225e+02  2.05843840e+02  4.92606976e+02  4.80409069e+02 -1.70112913e+03 -1.64810788e+03 -3.79618218e+02 -1.90708037e+03  5.64299463e+02  2.83428680e+03 
 1.02329299e+06  6.44643733e+02  2.86403686e+03 -3.34368224e+02 -8.96571330e+01  7.65770262e+02  2.03280196e+02  5.04034022e+02  4.77823581e+02 -1.74026552e+03 -1.63901173e+03 -4.34023470e+02 -1.92877532e+03  6.45160546e+02  2.86652618e+03 
 1.04712855e+06  7.26518868e+02  2.89333140e+03 -3.36060410e+02 -8.85168060e+01  7.69593869e+02  2.00674992e+02  5.15302980e+02  4.74971096e+02 -1.77884992e+03 -1.62900611e+03 -4.89157795e+02 -1.94850698e+03  7.27105180e+02  2.89584752e+03 
 1.07151931e+06  8.09299377e+02  2.91968403e+03 -3.37709646e+02 -8.73595834e+01  7.73319730e+02  1.98032456e+02  5.26403445e+02  4.71862616e+02 -1.81684718e+03 -1.61812919e+03 -5.44901837e+02 -1.96625763e+03  8.09955974e+02  2.92222446e+03 
 1.09647820e+06  8.92809294e+02  2.94308116e+03 -3.39315865e+02 -8.61872989e+01  7.76947746e+02  1.95356737e+02  5.37325866e+02  4.68509505e+02 -1.85422513e+03 -1.60642034e+03 -6.01137101e+02 -1.98201813e+03  8.93536812e+02  2.94564344e+03 
 1.12201845e+06  9.76874957e+02  2.96352158e+03 -3.40879093e+02 -8.50017472e+01  7.80478027e+02  1.92651891e+02  5.48061553e+02  4.64923427e+02 -1.89095453e+03 -1.59391992e+03 -6.57746642e+02 -1.99578766e+03  9.77673883e+02  2.96610321e+03 
 1.14815362e+06  1.06132596e+03  2.98101585e+03 -3.42399441e+02 -8.38046799e+01  7.83910878e+02  1.89921875e+02  5.58602668e+02  4.61116272e+02 -1.92700909e+03 -1.58066901e+03 -7.14615706e+02 -2.00757333e+03  1.06219664e+03  2.98361436e+03 
 1.17489755e+06  1.14599604e+03  2.99558581e+03 -3.43877104e+02 -8.25978009e+01  7.87246787e+02  1.87170534e+02  5.68942224e+02  4.57100094e+02 -1.96236544e+03 -1.56670918e+03 -7.71632325e+02 -2.01738984e+03  1.14693866e+03  2.99819875e+03 
 1.20226443e+06  1.23072383e+03  3.00726388e+03 -3.45312353e+02 -8.13827636e+01  7.90486415e+02  1.84401597e+02  5.79074064e+02  4.52887044e+02 -1.99700306e+03 -1.55208231e+03 -8.28687842e+02 -2.02525904e+03  1.23173847e+03  3.00988881e+03 
 1.23026877e+06  1.31535361e+03  3.01609239e+03 -3.46705533e+02 -8.01611674e+01  7.93630586e+02  1.81618669e+02  5.88992849e+02  4.48489313e+02 -2.03090423e+03 -1.53683037e+03 -8.85677390e+02 -2.03120943e+03  1.31644019e+03  3.01872692e+03 
