
Note: No compatibility mode selected!


Circuit: transistor-level tia private fixture

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver
Note: Starting dynamic gmin stepping
Warning: Dynamic gmin stepping failed
Note: Starting true gmin stepping
Note: True gmin stepping completed

Initial Transient Solution
--------------------------

Node                                   Voltage
xq_xtian_cas.t                               0
xtian__fb                             0.769264
xq_xtian_buf.s1                     6.4433e-10
xq_xtian_buf.t                               0
xtian__fbias                          0.878771
xq_xtian_fbref.s1                  3.33658e-10
xq_xtian_fbref.t                             0
xq_xtian_fbsink.s1                  2.8986e-10
xq_xtian_fbsink.t                            0
xtian__pbias                           1.98333
xtian__ptail                            2.0933
xtian__nvin                            1.35708
xtian__cancel_gate                    0.616257
xtian__cancel_d                          0.428
xif1p__base                            3.12538
xif1p__emitter                         2.25397
xq_xif1p_ef.s1                     1.63137e-09
xq_xif1p_ef.t                                0
v1p                                    2.25424
xif1n__base                            3.12538
xif1n__emitter                         2.25397
xq_xif1n_ef.s1                     1.63137e-09
xq_xif1n_ef.t                                0
v1n                                    2.25424
xvga1__peak_nl                             3.3
xvga1__nl                              2.50756
xvga1__peak_nr                             3.3
xvga1__nr                              2.50756
xvga1__t34                             1.97711
xvga1__e1                              1.31175
xq_xvga1_1.s1                      7.55022e-10
xq_xvga1_1.t                                 0
xvga1__t56                             1.97711
xvga1__e2                              1.31175
xq_xvga1_2.s1                      7.55022e-10
xq_xvga1_2.t                                 0
xq_xvga1_3.s1                      1.65757e-09
xq_xvga1_3.t                                 0
xq_xvga1_4.s1                      1.31887e-09
xq_xvga1_4.t                                 0
xq_xvga1_5.s1                      1.31887e-09
xq_xvga1_5.t                                 0
xq_xvga1_6.s1                      1.65757e-09
xq_xvga1_6.t                                 0
vga1p                                   1.7181
xq_xvga1_7.s1                      2.64292e-09
xq_xvga1_7.t                                 0
vga1n                                   1.7181
xq_xvga1_8.s1                      2.64292e-09
xq_xvga1_8.t                                 0
xvga1__nbias                           1.38097
xif2p__base                            3.12493
xif2p__emitter                         2.25305
xq_xif2p_ef.s1                      1.6312e-09
xq_xif2p_ef.t                                0
v2p                                    2.25559
xif2n__base                            3.12493
xif2n__emitter                         2.25305
xq_xif2n_ef.s1                      1.6312e-09
xq_xif2n_ef.t                                0
v2n                                    2.25559
xvga2__peak_nl                             3.3
xvga2__nl                              2.47773
xvga2__peak_nr                             3.3
xvga2__nr                              2.47773
xvga2__t34                             1.99449
xvga2__e1                               1.3131
xq_xvga2_1.s1                      7.59014e-10
xq_xvga2_1.t                                 0
xvga2__t56                             1.99449
xvga2__e2                               1.3131
xq_xvga2_2.s1                      7.59014e-10
xq_xvga2_2.t                                 0
