 frequency       v(finalp,finaln) v(finalp,finaln)
 1.23026877e+07  4.71936297e+03  4.45683653e+02 
 1.25892541e+07  4.72018172e+03  4.31496778e+02 
 1.28824955e+07  4.72086473e+03  4.17520453e+02 
 1.31825674e+07  4.72141196e+03  4.03747514e+02 
 1.34896288e+07  4.72182296e+03  3.90170857e+02 
 1.38038426e+07  4.72209681e+03  3.76783451e+02 
 1.41253754e+07  4.72223212e+03  3.63578337e+02 
 1.44543977e+07  4.72222699e+03  3.50548636e+02 
 1.47910839e+07  4.72207903e+03  3.37687557e+02 
 1.51356125e+07  4.72178525e+03  3.24988411e+02 
 1.54881662e+07  4.72134211e+03  3.12444616e+02 
 1.58489319e+07  4.72074539e+03  3.00049721e+02 
 1.62181010e+07  4.71999023e+03  2.87797417e+02 
 1.65958691e+07  4.71907103e+03  2.75681569e+02 
 1.69824365e+07  4.71798139e+03  2.63696240e+02 
 1.73780083e+07  4.71671407e+03  2.51835727e+02 
 1.77827941e+07  4.71526090e+03  2.40094605e+02 
 1.81970086e+07  4.71361271e+03  2.28467781e+02 
 1.86208714e+07  4.71175926e+03  2.16950557e+02 
 1.90546072e+07  4.70968908e+03  2.05538710e+02 
 1.94984460e+07  4.70738945e+03  1.94228581e+02 
 1.99526231e+07  4.70484621e+03  1.83017198e+02 
 2.04173794e+07  4.70204367e+03  1.71902407e+02 
 2.08929613e+07  4.69896445e+03  1.60883044e+02 
 2.13796209e+07  4.69558937e+03  1.49959140e+02 
 2.18776162e+07  4.69189721e+03  1.39132159e+02 
 2.23872114e+07  4.68786465e+03  1.28405300e+02 
 2.29086765e+07  4.68346602e+03  1.17783854e+02 
 2.34422882e+07  4.67867315e+03  1.07275632e+02 
 2.39883292e+07  4.67345523e+03  9.68914807e+01 
 2.45470892e+07  4.66777866e+03  8.66459089e+01 
 2.51188643e+07  4.66160692e+03  7.65578276e+01 
 2.57039578e+07  4.65490056e+03  6.66514382e+01 
 2.63026799e+07  4.64761723e+03  5.69572872e+01 
 2.69153480e+07  4.63971184e+03  4.75135103e+01 
 2.75422870e+07  4.63113695e+03  3.83672905e+01 
 2.81838293e+07  4.62184335e+03  2.95765479e+01 
 2.88403150e+07  4.61178109e+03  2.12118706e+01 
 2.95120923e+07  4.60090091e+03  1.33586791e+01 
 3.01995172e+07  4.58915638e+03  6.11958748e+00 
 3.09029543e+07  4.57650682e+03 -3.83122721e-01 
 3.16227766e+07  4.56292133e+03 -6.00506747e+00 
 3.23593657e+07  4.54838407e+03 -1.05776179e+01 
 3.31131121e+07  4.53290109e+03 -1.39064405e+01 
 3.38844156e+07  4.51650892e+03 -1.57712890e+01 
 3.46736850e+07  4.49928489e+03 -1.59278267e+01 
 3.54813389e+07  4.48135900e+03 -1.41124836e+01 
 3.63078055e+07  4.46292681e+03 -1.00515303e+01 
 3.71535229e+07  4.44426193e+03 -3.47559615e+00 
 3.80189396e+07  4.42572618e+03  5.85937428e+00 
 3.89045145e+07  4.40777454e+03  1.81444213e+01 
 3.98107171e+07  4.39095113e+03  3.34841139e+01 
 4.07380278e+07  4.37587246e+03  5.18602612e+01 
 4.16869383e+07  4.36319524e+03  7.30980385e+01 
 4.26579519e+07  4.35356815e+03  9.68418534e+01 
 4.36515832e+07  4.34757111e+03  1.22549084e+02 
 4.46683592e+07  4.34565008e+03  1.49508306e+02 
 4.57088190e+07  4.34805890e+03  1.76884303e+02 
 4.67735141e+07  4.35482093e+03  2.03785733e+02 
 4.78630092e+07  4.36571982e+03  2.29344873e+02 
 4.89778819e+07  4.38032250e+03  2.52794919e+02 
 5.01187234e+07  4.39802946e+03  2.73530756e+02 
 5.12861384e+07  4.41814131e+03  2.91143788e+02 
 5.24807460e+07  4.43992833e+03  3.05428336e+02 
 5.37031796e+07  4.46269134e+03  3.16363648e+02 
 5.49540874e+07  4.48580638e+03  3.24079609e+02 
 5.62341325e+07  4.50875108e+03  3.28815206e+02 
 5.75439937e+07  4.53111432e+03  3.30877419e+02 
 5.88843655e+07  4.55259309e+03  3.30605602e+02 
 6.02559586e+07  4.57298113e+03  3.28343749e+02 
 6.16595002e+07  4.59215353e+03  3.24421025e+02 
 6.30957344e+07  4.61005015e+03  3.19139615e+02 
 6.45654229e+07  4.62666005e+03  3.12768396e+02 
 6.60693448e+07  4.64200788e+03  3.05540858e+02 
