 time            v(bufinp)       v(bufinn)       v(outp)         v(outn)        
 2.56400000e-11  1.83208098e+00  1.76791902e+00  2.66133434e+00  2.73401373e+00 
 2.61400000e-11  1.83270101e+00  1.76729899e+00  2.66042998e+00  2.73489749e+00 
 2.66400000e-11  1.83332071e+00  1.76667929e+00  2.65952566e+00  2.73578091e+00 
 2.71400000e-11  1.83394008e+00  1.76605992e+00  2.65862148e+00  2.73666394e+00 
 2.76400000e-11  1.83455912e+00  1.76544088e+00  2.65771751e+00  2.73754653e+00 
 2.81400000e-11  1.83517781e+00  1.76482219e+00  2.65681384e+00  2.73842866e+00 
 2.86400000e-11  1.83579616e+00  1.76420384e+00  2.65591055e+00  2.73931029e+00 
 2.91400000e-11  1.83641416e+00  1.76358584e+00  2.65500770e+00  2.74019141e+00 
 2.96400000e-11  1.83703179e+00  1.76296821e+00  2.65410537e+00  2.74107198e+00 
 3.01400000e-11  1.83764906e+00  1.76235094e+00  2.65320361e+00  2.74195198e+00 
 3.06400000e-11  1.83826596e+00  1.76173404e+00  2.65230251e+00  2.74283141e+00 
 3.11400000e-11  1.83888248e+00  1.76111752e+00  2.65140212e+00  2.74371025e+00 
 3.16400000e-11  1.83949862e+00  1.76050138e+00  2.65050251e+00  2.74458848e+00 
 3.21400000e-11  1.84011437e+00  1.75988563e+00  2.64960373e+00  2.74546609e+00 
 3.26400000e-11  1.84072972e+00  1.75927028e+00  2.64870584e+00  2.74634307e+00 
 3.31400000e-11  1.84134467e+00  1.75865533e+00  2.64780890e+00  2.74721943e+00 
 3.36400000e-11  1.84195921e+00  1.75804079e+00  2.64691296e+00  2.74809513e+00 
 3.41400000e-11  1.84257334e+00  1.75742666e+00  2.64601808e+00  2.74897018e+00 
 3.46400000e-11  1.84318704e+00  1.75681296e+00  2.64512430e+00  2.74984457e+00 
 3.51400000e-11  1.84380032e+00  1.75619968e+00  2.64423168e+00  2.75071829e+00 
 3.56400000e-11  1.84441317e+00  1.75558683e+00  2.64334025e+00  2.75159133e+00 
 3.61400000e-11  1.84502558e+00  1.75497442e+00  2.64245007e+00  2.75246367e+00 
 3.66400000e-11  1.84563755e+00  1.75436245e+00  2.64156117e+00  2.75333531e+00 
 3.71400000e-11  1.84624906e+00  1.75375094e+00  2.64067358e+00  2.75420623e+00 
 3.76400000e-11  1.84686012e+00  1.75313988e+00  2.63978736e+00  2.75507642e+00 
 3.81400000e-11  1.84747072e+00  1.75252928e+00  2.63890252e+00  2.75594586e+00 
 3.86400000e-11  1.84808085e+00  1.75191915e+00  2.63801911e+00  2.75681453e+00 
 3.91400000e-11  1.84869050e+00  1.75130950e+00  2.63713713e+00  2.75768241e+00 
 3.96400000e-11  1.84929967e+00  1.75070033e+00  2.63625663e+00  2.75854948e+00 
 4.01400000e-11  1.84990836e+00  1.75009164e+00  2.63537761e+00  2.75941572e+00 
 4.06400000e-11  1.85051655e+00  1.74948345e+00  2.63450011e+00  2.76028109e+00 
 4.11400000e-11  1.85112425e+00  1.74887575e+00  2.63362413e+00  2.76114559e+00 
 4.16400000e-11  1.85173144e+00  1.74826856e+00  2.63274969e+00  2.76200917e+00 
 4.21400000e-11  1.85233812e+00  1.74766188e+00  2.63187679e+00  2.76287180e+00 
 4.26400000e-11  1.85294428e+00  1.74705572e+00  2.63100546e+00  2.76373346e+00 
 4.31400000e-11  1.85354992e+00  1.74645008e+00  2.63013570e+00  2.76459412e+00 
 4.36400000e-11  1.85415504e+00  1.74584496e+00  2.62926751e+00  2.76545374e+00 
 4.41400000e-11  1.85475961e+00  1.74524039e+00  2.62840090e+00  2.76631228e+00 
 4.46400000e-11  1.85536365e+00  1.74463635e+00  2.62753587e+00  2.76716971e+00 
 4.51400000e-11  1.85596714e+00  1.74403286e+00  2.62667243e+00  2.76802601e+00 
 4.56400000e-11  1.85657008e+00  1.74342992e+00  2.62581057e+00  2.76888112e+00 
