
Note: No compatibility mode selected!


Circuit: transistor-level tia private fixture

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
xtian__fbias                          0.878773
xq_xtian_fbref.s1                  3.33658e-10
xq_xtian_fbref.t                             0
xq_xtian_fbsink.s1                 2.89859e-10
xq_xtian_fbsink.t                            0
xtian__pbias                           1.98333
xtian__ptail                            2.0957
xtian__nvin                            1.34063
xtian__cancel_gate                     0.63247
xtian__cancel_d                       0.410394
xif1p__base                            3.12538
xif1p__emitter                         2.25398
xq_xif1p_ef.s1                     1.63137e-09
xq_xif1p_ef.t                                0
v1p                                    2.25424
xif1n__base                            3.12538
xif1n__emitter                         2.25398
xq_xif1n_ef.s1                     1.63137e-09
xq_xif1n_ef.t                                0
v1n                                    2.25424
xvga1__peak_nl                             3.3
xvga1__nl                              2.50756
xvga1__peak_nr                             3.3
xvga1__nr                              2.50756
xvga1__t34                             1.97711
xvga1__e1                              1.31176
xq_xvga1_1.s1                      7.55024e-10
xq_xvga1_1.t                                 0
xvga1__t56                             1.97711
xvga1__e2                              1.31176
xq_xvga1_2.s1                      7.55024e-10
xq_xvga1_2.t                                 0
xq_xvga1_3.s1                      1.65759e-09
xq_xvga1_3.t                                 0
xq_xvga1_4.s1                      1.31887e-09
xq_xvga1_4.t                                 0
xq_xvga1_5.s1                      1.31887e-09
xq_xvga1_5.t                                 0
xq_xvga1_6.s1                      1.65759e-09
xq_xvga1_6.t                                 0
vga1p                                   1.7181
xq_xvga1_7.s1                      2.64292e-09
xq_xvga1_7.t                                 0
vga1n                                   1.7181
xq_xvga1_8.s1                      2.64292e-09
xq_xvga1_8.t                                 0
xvga1__nbias                           1.38097
xif2p__base                            3.12493
xif2p__emitter                         2.25306
xq_xif2p_ef.s1                      1.6312e-09
xq_xif2p_ef.t                                0
v2p                                     2.2556
xif2n__base                            3.12493
xif2n__emitter                         2.25306
xq_xif2n_ef.s1                      1.6312e-09
xq_xif2n_ef.t                                0
v2n                                     2.2556
xvga2__peak_nl                             3.3
xvga2__nl                              2.47772
xvga2__peak_nr                             3.3
xvga2__nr                              2.47772
xvga2__t34                             1.99449
xvga2__e1                              1.31311
xq_xvga2_1.s1                      7.59015e-10
xq_xvga2_1.t                                 0
xvga2__t56                             1.99449
xvga2__e2                              1.31311
xq_xvga2_2.s1                      7.59015e-10
xq_xvga2_2.t                                 0
xq_xvga2_3.s1                      6.25363e-09
xq_xvga2_3.t                                 0
xq_xvga2_4.s1                      1.32042e-09
xq_xvga2_4.t                                 0
xq_xvga2_5.s1                      1.32042e-09
xq_xvga2_5.t                                 0
xq_xvga2_6.s1                      6.25363e-09
xq_xvga2_6.t                                 0
vga2p                                  1.70171
xq_xvga2_7.s1                      2.64437e-09
xq_xvga2_7.t                                 0
vga2n                                  1.70171
xq_xvga2_8.s1                      2.64437e-09
xq_xvga2_8.t                                 0
xvga2__nbias                           1.38097
xif3p__base                             3.1158
xif3p__emitter                         2.23501
xq_xif3p_ef.s1                     1.62774e-09
xq_xif3p_ef.t                                0
bufinp                                   2.235
xif3n__base                             3.1158
xif3n__emitter                         2.23501
xq_xif3n_ef.s1                     1.62774e-09
xq_xif3n_ef.t                                0
bufinn                                   2.235
xbuf__e1                               1.30934
xq_xbuf_1.s1                       2.43065e-09
xq_xbuf_1.t                                  0
xbuf__e2                               1.30934
xq_xbuf_2.s1                       2.43065e-09
xq_xbuf_2.t                                  0
xbuf__nbias                            1.38097
finalp                                  2.7806
finaln                                  2.7806
pkdtap_p                                2.7806
pkdinp                                 2.11069
pkdtap_n                                2.7806
pkdinn                                 2.11069
detn                                   2.71483
detp                                   2.71483
pkdvcc                                 2.01564
xpkd__e8                               1.20856
xq_xpkd_8.s1                       7.80348e-10
xq_xpkd_8.t                                  0
xpkd__e7                               1.20856
xq_xpkd_7.s1                       7.80348e-10
xq_xpkd_7.t                                  0
xpkd__c1                               1.27536
xpkd__e1                              0.341272
xq_xpkd_1.s1                       4.95757e-10
xq_xpkd_1.t                                  0
xpkd__c2                               1.27536
xpkd__e2                              0.341272
xq_xpkd_2.s1                       4.95757e-10
xq_xpkd_2.t                                  0
xpkd__tail                            0.195006
xq_xpkd_3.s1                       1.07915e-09
xq_xpkd_3.t                                  0
xq_xpkd_4.s1                       1.07915e-09
xq_xpkd_4.t                                  0
xq_xpkd_5.s1                       1.07915e-09
xq_xpkd_5.t                                  0
xq_xpkd_6.s1                       1.07915e-09
xq_xpkd_6.t                                  0
xpkd__nbias                            1.38097
xagc__pkd_ref_gate                     1.41631
xagc__pkd_ref                         0.689885
xagc__agc_ref_gate                     1.85497
xagc__agc_ref                          1.07691
xagc__lp_p                             2.71365
